"ENTIDAD","NOMBRE_CIENTIFICO","K1","TItulo","Short_Title"
"BAJA CALIFORNIA NORTE","Carcharhinus falciformis","TIBURON SEDOSO; TIBURON ALETA CARTON ENSENADA TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Carcharhinus falciformis en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Carcharhinus leucas","TIBURON CHATO SAN FELIPE TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Carcharhinus leucas en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Carcharhinus limbatus","TIBURON VOLADOR ENSENADA TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Carcharhinus limbatus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","CARCHARHINUS LIMBATUS","SARDINERO; TIBURON SARDINERO BAHIA DE LOS ANGELES; ENSENADA; SAN FELIPE TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de CARCHARHINUS LIMBATUS en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Carcharhinus longimanus","TIBURON ALETA BLANCA ENSENADA; VILLA DE JESUS MARIA TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Carcharhinus longimanus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Carcharhinus obscurus","TIBURON LOBERO SAN FELIPE TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Carcharhinus obscurus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Caulolatilus affinis","CONEJO SAN FELIPE OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Caulolatilus affinis en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Caulolatilus hubbsi","BLANQUILLO SAN QUINTIN PIERNA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Caulolatilus hubbsi en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Caulolatilus princeps","PIERNA SAN FELIPE PIERNA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Caulolatilus princeps en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Cephalopholis cruentata","CABRILLA BAHIA DE LOS ANGELES; EL ROSARIO; ENSENADA; ISLA CEDROS; SAN FELIPE; SAN QUINTIN; VILLA DE JESUS MARIA CABRILLA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cephalopholis cruentata en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Cephaloscyllium ventriosum","GATA BAHIA DE LOS ANGELES; EL ROSARIO; ENSENADA; ISLA CEDROS TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cephaloscyllium ventriosum en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Chaetodipterus zonatus","CORVINA RAYADA MEXICALI; SAN FELIPE CORVINA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Chaetodipterus zonatus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Chirostoma estor estor","PESCADO BLANCO BAHIA DE LOS ANGELES; EL ROSARIO; ENSENADA; ISLA CEDROS; SAN FELIPE; SAN QUINTIN; VILLA DE JESUS MARIA OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Chirostoma estor estor en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Chloroscombrus orqueta","JUREL DE CASTILLA SAN FELIPE JUREL Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Chloroscombrus orqueta en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Crassostrea gigas","OSTION JAPONES EL ROSARIO; ENSENADA; SAN QUINTIN; VILLA DE JESUS MARIA OSTION Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Crassostrea gigas en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Crassostrea spp","OSTION SE SAN QUINTIN OSTION Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Crassostrea spp en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Cynocsion sp","CORVINA SE BAHIA DE LOS ANGELES; EL ROSARIO; ENSENADA; ISLA CEDROS; MEXICALI; SAN FELIPE; SAN QUINTIN; VILLA DE JESUS MARIA CORVINA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cynocsion sp en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Cynoscion arenarius","CORVINA BLANCA SAN FELIPE CORVINA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cynoscion arenarius en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Cynoscion nothus","CORVINA PLATEADA SAN FELIPE; SAN QUINTIN CORVINA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cynoscion nothus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Cynoscion othonopterus","CORVINA GOLFINA MEXICALI; SAN FELIPE CORVINA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cynoscion othonopterus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Cynoscion parvipinnis","CORVINA AZUL SAN FELIPE CORVINA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cynoscion parvipinnis en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","CYNOSCION XANTHULUS","CORVINA ALETA AMARILLA MEXICALI; SAN FELIPE CORVINA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de CYNOSCION XANTHULUS en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Cyprinus carpio","CARPA COMUN MEXICALI CARPA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cyprinus carpio en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Cyprinus spp","CARPA SE MEXICALI CARPA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cyprinus spp en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Dasyatis dipterura","MANTA; MANTARRAYA BAHIA DE LOS ANGELES; EL ROSARIO; ENSENADA; ISLA CEDROS; SAN FELIPE; SAN QUINTIN; VILLA DE JESUS MARIA RAYA Y SIMILARES Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Dasyatis dipterura en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Dermatolepis dermatolepis","CABRILLA DE CUERO SAN FELIPE CABRILLA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Dermatolepis dermatolepis en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Diapterus peruvianus","MOJARRA ALETA AMARILLA BAHIA DE LOS ANGELES MOJARRA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Diapterus peruvianus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Diplectrum euryplectrum","EXTRANJERO BAHIA DE LOS ANGELES; SAN FELIPE; VILLA DE JESUS MARIA OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Diplectrum euryplectrum en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Diplerctrum pacificum","CABAICUCHO BAHIA DE LOS ANGELES; EL ROSARIO; ENSENADA; SAN FELIPE; SAN QUINTIN OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Diplerctrum pacificum en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Dosidicus gigas","CALAMAR GIGANTE BAHIA DE LOS ANGELES; EL ROSARIO; ENSENADA; ISLA CEDROS; SAN FELIPE; SAN QUINTIN CALAMAR Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Dosidicus gigas en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Dosinia ponderosa","ALMEJA BLANCA SAN FELIPE ALMEJA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Dosinia ponderosa en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","EGREGIA MENZIESII","ALGA EGRARIA SAN QUINTIN ALGAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de EGREGIA MENZIESII en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Engraulis spp","ANCHOVETA SE ENSENADA ANCHOVETA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Engraulis spp en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Epinephelus acanthistius","BAQUETA BAHIA DE LOS ANGELES; SAN FELIPE BAQUETA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Epinephelus acanthistius en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Epinephelus drummondhayi","ABADEJO EL ROSARIO; SAN FELIPE MERO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Epinephelus drummondhayi en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Epinephelus flavolimbatus","EXTRAVIADO SAN FELIPE MERO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Epinephelus flavolimbatus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Epinephelus spp","MERO SE BAHIA DE LOS ANGELES; EL ROSARIO; ENSENADA; ISLA CEDROS; SAN FELIPE; SAN QUINTIN; VILLA DE JESUS MARIA MERO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Epinephelus spp en BAJA CALIFORNIA NORTE"
