"ENTIDAD","NOMBRE_CIENTIFICO","K1","TItulo","Short_Title"
"MICHOACAN","Dasyatis sabina","RAYA LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) RAYA Y SIMILARES Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Dasyatis sabina en MICHOACAN"
"MICHOACAN","Epinephelus drummondhayi","ABADEJO CUITZEO MERO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Epinephelus drummondhayi en MICHOACAN"
"MICHOACAN","Euthynnus alletteratus","BONITO LAZARO CARDENAS BONITO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Euthynnus alletteratus en MICHOACAN"
"MICHOACAN","Galeichthys peruvianus","LORO SE; LORO LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Galeichthys peruvianus en MICHOACAN"
"MICHOACAN","Haemulon flaviguttatum","RONCO LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) RONCO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Haemulon flaviguttatum en MICHOACAN"
"MICHOACAN","Hoplopagrus guentheri","COCONACO LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) PARGO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Hoplopagrus guentheri en MICHOACAN"
"MICHOACAN","Hypophthalmichthys molitrix","CARPA PLATEADA LAZARO CARDENAS CARPA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Hypophthalmichthys molitrix en MICHOACAN"
"MICHOACAN","Ictalurus punctatus","BAGRE DE CANAL NUEVA ITALIA; SAHUAYO (COJUMATLAN) BAGRE Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Ictalurus punctatus en MICHOACAN"
"MICHOACAN","Ictalurus spp","BAGRE SE NUEVA ITALIA BAGRE Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Ictalurus spp en MICHOACAN"
"MICHOACAN","Ictalurus spp","BAGRE SE NUEVA ITALIA; ZITACUARO; SAHUAYO (COJUMATLAN) BAGRE Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Ictalurus spp en MICHOACAN"
"MICHOACAN","Katsuwonus pelamis","BARRILETE EL RANCHITO (COAHUAYANA) BARRILETE Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Katsuwonus pelamis en MICHOACAN"
"MICHOACAN","Lutjanus guttatus","FLAMENCO LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) GUACHINANGO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Lutjanus guttatus en MICHOACAN"
"MICHOACAN","Lutjanus inermis","RABIRRUBIA LAZARO CARDENAS RUBIA Y VILLAJAIBA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Lutjanus inermis en MICHOACAN"
"MICHOACAN","LUTJANUS SP","GUACHINANGO SE LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) GUACHINANGO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de LUTJANUS SP en MICHOACAN"
"MICHOACAN","LUTJANUS SPP","PARGO SE LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) PARGO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de LUTJANUS SPP en MICHOACAN"
"MICHOACAN","Macrobrachium carcinus","LANGOSTINO LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) LANGOSTINO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Macrobrachium carcinus en MICHOACAN"
"MICHOACAN","Macrobrachium TENELLUM","CHACAL LAZARO CARDENAS LANGOSTINO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Macrobrachium TENELLUM en MICHOACAN"
"MICHOACAN","MENTICIRRHUS NASUS","BERRUGATA SE LAZARO CARDENAS BERRUGATA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de MENTICIRRHUS NASUS en MICHOACAN"
"MICHOACAN","Microlepidotus brevipinnis","SARANGOLA EL RANCHITO (COAHUAYANA) OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Microlepidotus brevipinnis en MICHOACAN"
"MICHOACAN","Mugil curema","AGUJON; LISETA LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) OTRAS; LISA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Mugil curema en MICHOACAN"
"MICHOACAN","MUGIL SP","LISA SE LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) LISA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de MUGIL SP en MICHOACAN"
"MICHOACAN","Mustelus spp","CAZON LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) CAZON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Mustelus spp en MICHOACAN"
"MICHOACAN","Mycteroperca interstitialis","GALLINA LAZARO CARDENAS OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Mycteroperca interstitialis en MICHOACAN"
"MICHOACAN","N/D","PICUDA SE; RASPOSA; TIBURON SE; TULE LAZARO CARDENAS; CUITZEO; EL RANCHITO (COAHUAYANA) OTRAS; TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de N/D en MICHOACAN"
"MICHOACAN","N/D","PECES DE ORNATO EL RANCHITO (COAHUAYANA) PECES DE ORNATO Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de N/D en MICHOACAN"
"MICHOACAN","OCTOPUS SP","PULPO SE LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) PULPO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de OCTOPUS SP en MICHOACAN"
"MICHOACAN","ONCORHYNCHUS MYKISS","TRUCHA ARCO-IRIS NUEVA ITALIA; PATZCUARO; ZITACUARO; CUITZEO TRUCHA Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de ONCORHYNCHUS MYKISS en MICHOACAN"
"MICHOACAN","Opisthonema libertate","GARROPA EL RANCHITO (COAHUAYANA) MERO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Opisthonema libertate en MICHOACAN"
"MICHOACAN","Oreochromis spp.","TILAPIA SE ZITACUARO MOJARRA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Oreochromis spp. en MICHOACAN"
"MICHOACAN","Oreochromis spp.","TILAPIA SE LAZARO CARDENAS; NUEVA ITALIA; PATZCUARO; ZITACUARO; CUITZEO; EL RANCHITO (COAHUAYANA); SAHUAYO (COJUMATLAN) MOJARRA Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Oreochromis spp. en MICHOACAN"
"MICHOACAN","OREOCHROMIS SPP","MOJARRA SE LAZARO CARDENAS MOJARRA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de OREOCHROMIS SPP en MICHOACAN"
"MICHOACAN","OREOCHROMIS SPP","MOJARRA SE LAZARO CARDENAS MOJARRA Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de OREOCHROMIS SPP en MICHOACAN"
"MICHOACAN","PANULIRUS SP","LANGOSTA SE LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) LANGOSTA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de PANULIRUS SP en MICHOACAN"
"MICHOACAN","Paralichthyidae spp/Pleuronectidae spp","LENGUADO SE LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) LENGUADO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Paralichthyidae spp/Pleuronectidae spp en MICHOACAN"
"MICHOACAN","PLATYRHINOIDES TRISERIATUS","RAYA DIABLO EL RANCHITO (COAHUAYANA) RAYA Y SIMILARES Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de PLATYRHINOIDES TRISERIATUS en MICHOACAN"
"MICHOACAN","POLYPRION SP.","CHERNA SE LAZARO CARDENAS MERO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de POLYPRION SP. en MICHOACAN"
"MICHOACAN","RANA SPP","RANA TORO CUITZEO OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de RANA SPP en MICHOACAN"
"MICHOACAN","RANA SPP","RANA TORO; RANA SE PATZCUARO; ZITACUARO; CUITZEO OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de RANA SPP en MICHOACAN"
"MICHOACAN","Scomberomorus maculatus","SIERRA LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) SIERRA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Scomberomorus maculatus en MICHOACAN"
"MICHOACAN","Sectator ocyurus","SALEMA EL RANCHITO (COAHUAYANA) OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Sectator ocyurus en MICHOACAN"
"MICHOACAN","Sphyrna tiburo","TIBURON MARTILLO EL RANCHITO (COAHUAYANA) TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Sphyrna tiburo en MICHOACAN"
"MICHOACAN","Synodus foetens","CHILE EL RANCHITO (COAHUAYANA) OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Synodus foetens en MICHOACAN"
"MICHOACAN","Trachinotus falcatus","PALOMETA LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) PAMPANO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Trachinotus falcatus en MICHOACAN"
"MICHOACAN","Trachinotus rhodopus","RAYADO LAZARO CARDENAS; EL RANCHITO (COAHUAYANA) OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Trachinotus rhodopus en MICHOACAN"
"MICHOACAN","TRACHINOTUS SPP","PAMPANO SE LAZARO CARDENAS PAMPANO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de TRACHINOTUS SPP en MICHOACAN"
"MICHOACAN","UMBRINA CANOSAI","PARGO BLANCO LAZARO CARDENAS PARGO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de UMBRINA CANOSAI en MICHOACAN"
"MORELOS","Cherax quadricarinatus ","LANGOSTA DE AGUA DULCE CUERNAVACA LANGOSTA Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Cherax quadricarinatus  en MORELOS"
"MORELOS","Ictalurus punctatus","BAGRE DE CANAL CUERNAVACA BAGRE Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Ictalurus punctatus en MORELOS"
"MORELOS","Ictalurus spp","BAGRE SE CUERNAVACA BAGRE Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Ictalurus spp en MORELOS"
"MORELOS","Macrobrachium carcinus","LANGOSTINO CUERNAVACA LANGOSTINO Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Macrobrachium carcinus en MORELOS"
"MORELOS","N/D","PECES DE ORNATO; OTRAS ESPECIES CUERNAVACA PECES DE ORNATO; OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de N/D en MORELOS"
"MORELOS","ONCORHYNCHUS MYKISS","TRUCHA ARCO-IRIS CUERNAVACA TRUCHA Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de ONCORHYNCHUS MYKISS en MORELOS"
"MORELOS","Oreochromis spp.","TILAPIA SE CUERNAVACA MOJARRA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Oreochromis spp. en MORELOS"
"MORELOS","Oreochromis spp.","TILAPIA SE CUERNAVACA MOJARRA Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Oreochromis spp. en MORELOS"
"MORELOS","Pangasius bocourti","BASA CUERNAVACA BAGRE Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Pangasius bocourti en MORELOS"
"MORELOS","PANULIRUS SP","LANGOSTA SE CUERNAVACA LANGOSTA Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de PANULIRUS SP en MORELOS"
"MORELOS","RANA SPP","RANA TORO CUERNAVACA OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de RANA SPP en MORELOS"
"NAYARIT","Acanthurus spp","CIRUJANO CRUZ DE HUANACAXTLE OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Acanthurus spp en NAYARIT"
"NAYARIT","Acanthurus xanthopterus","BARBERO SAN BLAS; CRUZ DE HUANACAXTLE OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Acanthurus xanthopterus en NAYARIT"
"NAYARIT","Alopias vulpinus","ZORRO SAN BLAS TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Alopias vulpinus en NAYARIT"
"NAYARIT","Aluterus scriptus","BOTA PEÑITA DE JALTEMBA; SAN BLAS; CRUZ DE HUANACAXTLE OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Aluterus scriptus en NAYARIT"
"NAYARIT","Anchoa ischana","CONDOR PEÑITA DE JALTEMBA; SAN BLAS; TECUALA OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Anchoa ischana en NAYARIT"
"NAYARIT","Anisotremus interruptus","BACOCO PEÑITA DE JALTEMBA; SAN BLAS; TECUALA; SANTIAGO IXCUINTLA; CRUZ DE HUANACAXTLE OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Anisotremus interruptus en NAYARIT"
"NAYARIT","Bagre marinus","BANDERA PEÑITA DE JALTEMBA; SAN BLAS; SANTIAGO IXCUINTLA BANDERA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Bagre marinus en NAYARIT"
"NAYARIT","Bagre pinnimaculatus","CHIHUIL PEÑITA DE JALTEMBA; SAN BLAS; TECUALA; TUXPAN; SANTIAGO IXCUINTLA; CRUZ DE HUANACAXTLE BANDERA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Bagre pinnimaculatus en NAYARIT"
"NAYARIT","Bodianus spp","VIEJA CRUZ DE HUANACAXTLE OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Bodianus spp en NAYARIT"
"NAYARIT","Callinectes spp.","JAIBA TUXPAN JAIBA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Callinectes spp. en NAYARIT"
"NAYARIT","Caranx caballus","COCINERO PEÑITA DE JALTEMBA; CRUZ DE HUANACAXTLE JUREL Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Caranx caballus en NAYARIT"
"NAYARIT","Caranx sexfasciatus","OJO DE PERRA CRUZ DE HUANACAXTLE LEBRANCHA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Caranx sexfasciatus en NAYARIT"
"NAYARIT","Caranx spp","JUREL SE PEÑITA DE JALTEMBA; SAN BLAS; CRUZ DE HUANACAXTLE JUREL Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Caranx spp en NAYARIT"
"NAYARIT","CARCHARHINUS ALTIMUS","TIBURON COLORADO SAN BLAS TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de CARCHARHINUS ALTIMUS en NAYARIT"
"NAYARIT","Carcharhinus falciformis","TIBURON SEDOSO CRUZ DE HUANACAXTLE TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Carcharhinus falciformis en NAYARIT"
"NAYARIT","Carcharhinus leucas","TORO; TIBURON CHATO; TIBURON PRIETO PEÑITA DE JALTEMBA; SAN BLAS; TECUALA; SANTIAGO IXCUINTLA; CRUZ DE HUANACAXTLE TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Carcharhinus leucas en NAYARIT"
"NAYARIT","Carcharhinus limbatus","TIBURON VOLADOR SAN BLAS; SANTIAGO IXCUINTLA; CRUZ DE HUANACAXTLE TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Carcharhinus limbatus en NAYARIT"
"NAYARIT","Centropomus medius","PALETA PEÑITA DE JALTEMBA; SAN BLAS; TECUALA; TUXPAN OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Centropomus medius en NAYARIT"
"NAYARIT","Centropomus robalito","CONSTANTINO SAN BLAS; TECUALA; TUXPAN; SANTIAGO IXCUINTLA ROBALO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Centropomus robalito en NAYARIT"
"NAYARIT","Centropomus spp","ROBALO SE PEÑITA DE JALTEMBA; SAN BLAS; TECUALA; TUXPAN; SANTIAGO IXCUINTLA; CRUZ DE HUANACAXTLE ROBALO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Centropomus spp en NAYARIT"
"NAYARIT","Cephalopholis cruentata","CABRILLA SAN BLAS; CRUZ DE HUANACAXTLE CABRILLA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cephalopholis cruentata en NAYARIT"
"NAYARIT","Cephaloscyllium ventriosum","GATA SAN BLAS TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cephaloscyllium ventriosum en NAYARIT"
"NAYARIT","Chaetodipterus zonatus","CORVINA RAYADA PEÑITA DE JALTEMBA; CRUZ DE HUANACAXTLE CORVINA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Chaetodipterus zonatus en NAYARIT"
"NAYARIT","Crassostrea corteziensis","OSTION DE PLACER SAN BLAS; TECUALA; SANTIAGO IXCUINTLA OSTION Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Crassostrea corteziensis en NAYARIT"
"NAYARIT","Crassostrea iridescens","OSTION DE ROCA PEÑITA DE JALTEMBA; SAN BLAS; TECUALA; CRUZ DE HUANACAXTLE OSTION Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Crassostrea iridescens en NAYARIT"
"NAYARIT","Crassostrea spp","OSTION SE SANTIAGO IXCUINTLA OSTION Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Crassostrea spp en NAYARIT"
"NAYARIT","Cynocsion sp","CORVINA SE PEÑITA DE JALTEMBA; SAN BLAS; TECUALA; TUXPAN; SANTIAGO IXCUINTLA; CRUZ DE HUANACAXTLE CORVINA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cynocsion sp en NAYARIT"
"NAYARIT","Cynoscion arenarius","CORVINA BLANCA; TRUCHA BLANCA SAN BLAS; CRUZ DE HUANACAXTLE CORVINA; TRUCHA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cynoscion arenarius en NAYARIT"
"NAYARIT","Cynoscion nothus","CORVINA PLATEADA PEÑITA DE JALTEMBA CORVINA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cynoscion nothus en NAYARIT"
"NAYARIT","Cynoscion phoxocephalus","CABALLO PEÑITA DE JALTEMBA; SAN BLAS; SANTIAGO IXCUINTLA JUREL Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cynoscion phoxocephalus en NAYARIT"
"NAYARIT","Cynoscion spp","TRUCHA SE CRUZ DE HUANACAXTLE TRUCHA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cynoscion spp en NAYARIT"
"NAYARIT","Cyprinus spp","CARPA SE TECUALA; TUXPAN CARPA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Cyprinus spp en NAYARIT"
"NAYARIT","Dasyatis dipterura","MANTA; MANTARRAYA PEÑITA DE JALTEMBA; SAN BLAS; TECUALA; SANTIAGO IXCUINTLA; CRUZ DE HUANACAXTLE RAYA Y SIMILARES Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Dasyatis dipterura en NAYARIT"
"NAYARIT","Dasyatis sabina","RAYA SAN BLAS; CRUZ DE HUANACAXTLE RAYA Y SIMILARES Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Dasyatis sabina en NAYARIT"
"NAYARIT","Diapterus auratus","MOJARRA BLANCA TECUALA; TUXPAN MOJARRA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Diapterus auratus en NAYARIT"
"NAYARIT","Diapterus peruvianus","MOJARRA ALETA AMARILLA; MOJARRA CHINA TECUALA MOJARRA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Diapterus peruvianus en NAYARIT"
"NAYARIT","DIPLECTRUM PACIFICUM","MONDA TECUALA; SANTIAGO IXCUINTLA OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de DIPLECTRUM PACIFICUM en NAYARIT"
"NAYARIT","Epinephelus acanthistius","BAQUETA PEÑITA DE JALTEMBA; SAN BLAS; SANTIAGO IXCUINTLA; CRUZ DE HUANACAXTLE BAQUETA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Epinephelus acanthistius en NAYARIT"
"NAYARIT","Epinephelus niphobles","PALMILLA PEÑITA DE JALTEMBA OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Epinephelus niphobles en NAYARIT"
"NAYARIT","Epinephelus spp","MERO SE SAN BLAS; TECUALA; TUXPAN; SANTIAGO IXCUINTLA; CRUZ DE HUANACAXTLE MERO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Epinephelus spp en NAYARIT"
"NAYARIT","Eucinostomus argenteus","MOJARRA PLATEADA PEÑITA DE JALTEMBA; SANTIAGO IXCUINTLA; CRUZ DE HUANACAXTLE MOJARRA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Eucinostomus argenteus en NAYARIT"
"NAYARIT","Euthynnus alletteratus","BONITO PEÑITA DE JALTEMBA; CRUZ DE HUANACAXTLE BONITO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Euthynnus alletteratus en NAYARIT"
"NAYARIT","FARFANTEPENAEUS BREVIROSTRIS","CAMARON CRISTAL SAN BLAS CAMARON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de FARFANTEPENAEUS BREVIROSTRIS en NAYARIT"
"NAYARIT","Farfantepenaeus duorarum","CAMARON ROSADO SAN BLAS CAMARON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Farfantepenaeus duorarum en NAYARIT"
"NAYARIT","Galeichthys peruvianus","LORO SE PEÑITA DE JALTEMBA OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Galeichthys peruvianus en NAYARIT"
"NAYARIT","Galeocerdo cuvier","TINTORERA CRUZ DE HUANACAXTLE TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Galeocerdo cuvier en NAYARIT"
"NAYARIT","Haemulon macrostomum","BURRO PEÑITA DE JALTEMBA; SAN BLAS; TECUALA; TUXPAN; SANTIAGO IXCUINTLA; CRUZ DE HUANACAXTLE OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Haemulon macrostomum en NAYARIT"
"NAYARIT","Haemulopsis leuciscus","RONCACHO SAN BLAS RONCO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Haemulopsis leuciscus en NAYARIT"
"NAYARIT","Hemicaranx zelotes","CHOCHO PEÑITA DE JALTEMBA OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Hemicaranx zelotes en NAYARIT"
"NAYARIT","HOLACANTHUS CILIARIS","CHABELITA PEÑITA DE JALTEMBA; SAN BLAS; SANTIAGO IXCUINTLA; CRUZ DE HUANACAXTLE OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de HOLACANTHUS CILIARIS en NAYARIT"
"NAYARIT","Hoplopagrus guentheri","COCONACO PEÑITA DE JALTEMBA; SAN BLAS; SANTIAGO IXCUINTLA; CRUZ DE HUANACAXTLE PARGO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Hoplopagrus guentheri en NAYARIT"
"NAYARIT","Ictalurus spp","BAGRE SE CRUZ DE HUANACAXTLE BAGRE Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Ictalurus spp en NAYARIT"
"NAYARIT","Istiophorus spp","PEZ VELA SAN BLAS; CRUZ DE HUANACAXTLE OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Istiophorus spp en NAYARIT"
"NAYARIT","Isurus oxyrinchus","TIBURON MAKO SAN BLAS TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Isurus oxyrinchus en NAYARIT"
"NAYARIT","Katsuwonus pelamis","BARRILETE SAN BLAS; CRUZ DE HUANACAXTLE BARRILETE Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Katsuwonus pelamis en NAYARIT"
"NAYARIT","Lile stolifera","DORADO SAN BLAS; CRUZ DE HUANACAXTLE OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Lile stolifera en NAYARIT"
"NAYARIT","LITOPENAEUS STYLIROSTRIS","CAMARON AZUL SAN BLAS; TECUALA; TUXPAN CAMARON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de LITOPENAEUS STYLIROSTRIS en NAYARIT"
"NAYARIT","Litopenaeus vannamei","CAMARON BLANCO SAN BLAS; TECUALA; TUXPAN; SANTIAGO IXCUINTLA CAMARON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Litopenaeus vannamei en NAYARIT"
"NAYARIT","Litopenaeus vannamei","CAMARON BLANCO SAN BLAS; TECUALA; TUXPAN CAMARON Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Litopenaeus vannamei en NAYARIT"
"NAYARIT","Lutjanus analis","LUNAREJO PEÑITA DE JALTEMBA; SAN BLAS; CRUZ DE HUANACAXTLE PARGO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Lutjanus analis en NAYARIT"
"NAYARIT","Lutjanus argentiventris","PARGO ALAZAN; PARGO AMARILLO PEÑITA DE JALTEMBA; SAN BLAS; SANTIAGO IXCUINTLA; CRUZ DE HUANACAXTLE PARGO Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Lutjanus argentiventris en NAYARIT"
