Institution,Collection type,Collection responsible(s),Collection,Basis of record,Collector,Fecha,Collecting date,Catalog Number,Another catalog number,Sex,Preparation,Status,Life stage,Specimen count,Last modification,Expedition,Cruise number,Vessel,Site station,Replicate,Collection method,Continent,Country,State/Province,County,Ocean,Sea/Gulf,River basin,Bay/Sound,Determinator(s),Validation date,Date identified,Type status,Vernacular name,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Scientific name,Species authorship,Infraspecific epithet,Infra species authorship,Classify system,",,,,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.30.56,,,,,,1,,OGMEX X,10,B/O Justo Sierra,30,,Red de arrastre,America,Mexico,Tamaulipas,Aldama,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/2/90,,"Actinopterigio,Huachinango del Golfo,",Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,,Lutjanus campechanus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.31.190,,,,,,34,,OGMEX X,10,B/O Justo Sierra,31,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/1/90,,"Actinopterigio,Ronco canario,",Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Conodon,,Conodon nobilis,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.31.56,,,,,,3,,OGMEX X,10,B/O Justo Sierra,31,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/1/90,,"Actinopterigio,Huachinango del Golfo,",Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,,Lutjanus campechanus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.31.621,,,,,,6,,OGMEX X,10,B/O Justo Sierra,31,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/1/90,,"Erizo de mar,Equinodermo,Equinoide,",Animalia,Echinodermata,Echinoidea,,,,,,,,,,",,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.32.618,,,,,,1,,OGMEX X,10,B/O Justo Sierra,32,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/2/90,,"Estrella de mar,Asteroideo,Equinodermo,",Animalia,Echinodermata,Asteroidea,,,,,,,,,,",,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.32.624,,,,,,1,,OGMEX X,10,B/O Justo Sierra,32,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/2/90,,"Equinodermo,Holoturoideo,Pepino de mar,",Animalia,Echinodermata,Holothuroidea,,,,,,,,,,",,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.37.623,,,,,,1,,OGMEX X,10,B/O Justo Sierra,37,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Gasterí_podo,Gastrí_podo,Molusco,",Animalia,Mollusca,Gastropoda,,,,,,,,,,",,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.33.618,,,,,,8,,OGMEX X,10,B/O Justo Sierra,33,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/2/90,,"Estrella de mar,Asteroideo,Equinodermo,",Animalia,Echinodermata,Asteroidea,,,,,,,,,,",,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.33.624,,,,,,3,,OGMEX X,10,B/O Justo Sierra,33,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/2/90,,"Equinodermo,Holoturoideo,Pepino de mar,",Animalia,Echinodermata,Holothuroidea,,,,,,,,,,",,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.34.618,,,,,,3,,OGMEX X,10,B/O Justo Sierra,34,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Estrella de mar,Asteroideo,Equinodermo,",Animalia,Echinodermata,Asteroidea,,,,,,,,,,",,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.36.155,,,,,,1,,OGMEX X,10,B/O Justo Sierra,36,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Actinopterigio,Charrito garretí_n,",Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,,Trachurus lathami,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.36.207,,,,,,1,,OGMEX X,10,B/O Justo Sierra,36,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Chivo rayuelo,Actinopterigio,",Animalia,Chordata,Actinopterygii,Perciformes,Mullidae,Upeneus,,Upeneus parvus,,,,,",,,,,,,,"
