"","State/Province","Scientific name","Inicio","Fin","Titulo","Key"
"228","Campeche","Crinometra brevipinna","2005","2005","Especimen preservado de Crinometra brevipinna en Campeche","Equinodermos; Equinodermata; Presencia"
"229","Campeche","Diadema antillarum","2005","2005","Especimen preservado de Diadema antillarum en Campeche","Equinodermos; Equinodermata; Presencia"
"230","Campeche","Doraster constellatus","2003","2003","Especimen preservado de Doraster constellatus en Campeche","Equinodermos; Equinodermata; Presencia"
"231","Campeche","Echinaster brasiliensis","1978","1978","Especimen preservado de Echinaster brasiliensis en Campeche","Equinodermos; Equinodermata; Presencia"
"232","Campeche","Echinaster paucispinus","1996","1996","Especimen preservado de Echinaster paucispinus en Campeche","Equinodermos; Equinodermata; Presencia"
"233","Campeche","Echinaster sentus","","1980","Especimen preservado de Echinaster sentus en Campeche","Equinodermos; Equinodermata; Presencia"
"234","Campeche","Echinaster serpentarius","","2000","Especimen preservado de Echinaster serpentarius en Campeche","Equinodermos; Equinodermata; Presencia"
"235","Campeche","Echinolampas depressa","1985","1985","Especimen preservado de Echinolampas depressa en Campeche","Equinodermos; Equinodermata; Presencia"
"236","Campeche","Echinometra lucunter","1972","1980","Especimen preservado de Echinometra lucunter en Campeche","Equinodermos; Equinodermata; Presencia"
"237","Campeche","Eucidaris tribuloides","1996","1996","Especimen preservado de Eucidaris tribuloides en Campeche","Equinodermos; Equinodermata; Presencia"
"238","Campeche","Hansenothuria benti","2003","2003","Especimen preservado de Hansenothuria benti en Campeche","Equinodermos; Equinodermata; Presencia"
"239","Campeche","Holothuria (Cystipus) occidentalis","1999","2005","Especimen preservado de Holothuria (Cystipus) occidentalis en Campeche","Equinodermos; Equinodermata; Presencia"
"240","Campeche","Holothuria (Cystipus) pseudofossor","1973","1973","Especimen preservado de Holothuria (Cystipus) pseudofossor en Campeche","Equinodermos; Equinodermata; Presencia"
"241","Campeche","Holothuria (Halodeima) floridana","1953","1953","Especimen preservado de Holothuria (Halodeima) floridana en Campeche","Equinodermos; Equinodermata; Presencia"
"242","Campeche","Holothuria (Halodeima) grisea","1972","1984","Especimen preservado de Holothuria (Halodeima) grisea en Campeche","Equinodermos; Equinodermata; Presencia"
"243","Campeche","Holothuria (Theelothuria) princeps","1987","1987","Especimen preservado de Holothuria (Theelothuria) princeps en Campeche","Equinodermos; Equinodermata; Presencia"
"244","Campeche","Isostichopus badionotus","1972","1978","Especimen preservado de Isostichopus badionotus en Campeche","Equinodermos; Equinodermata; Presencia"
"245","Campeche","Lytechinus variegatus","1953","2000","Especimen preservado de Lytechinus variegatus en Campeche","Equinodermos; Equinodermata; Presencia"
"246","Campeche","Moira atropos","1973","1973","Especimen preservado de Moira atropos en Campeche","Equinodermos; Equinodermata; Presencia"
"247","Campeche","Neocrinus decorus","1983","1983","Especimen preservado de Neocrinus decorus en Campeche","Equinodermos; Equinodermata; Presencia"
"248","Campeche","Nymphaster arenatus","2005","2005","Especimen preservado de Nymphaster arenatus en Campeche","Equinodermos; Equinodermata; Presencia"
"249","Campeche","Ocnus pygmaeus","1974","1974","Especimen preservado de Ocnus pygmaeus en Campeche","Equinodermos; Equinodermata; Presencia"
"250","Campeche","Odontaster setosus","2003","2003","Especimen preservado de Odontaster setosus en Campeche","Equinodermos; Equinodermata; Presencia"
"251","Campeche","Ophiacantha rosea","2005","2005","Especimen preservado de Ophiacantha rosea en Campeche","Equinodermos; Equinodermata; Presencia"
"252","Campeche","Ophiactis quinqueradia","2005","2005","Especimen preservado de Ophiactis quinqueradia en Campeche","Equinodermos; Equinodermata; Presencia"
"253","Campeche","Ophiactis savignyi","1972","1973","Especimen preservado de Ophiactis savignyi en Campeche","Equinodermos; Equinodermata; Presencia"
"254","Campeche","Ophiernus adspersus","2003","2003","Especimen preservado de Ophiernus adspersus en Campeche","Equinodermos; Equinodermata; Presencia"
"255","Campeche","Ophioderma brevispinum","1985","1996","Especimen preservado de Ophioderma brevispinum en Campeche","Equinodermos; Equinodermata; Presencia"
"256","Campeche","Ophioderma cinereum","","1974","Especimen preservado de Ophioderma cinereum en Campeche","Equinodermos; Equinodermata; Presencia"
"257","Campeche","Ophioderma rubicundum","2005","2005","Especimen preservado de Ophioderma rubicundum en Campeche","Equinodermos; Equinodermata; Presencia"
"258","Campeche","Ophiolepis impressa","1985","1985","Especimen preservado de Ophiolepis impressa en Campeche","Equinodermos; Equinodermata; Presencia"
"259","Campeche","Ophiolipus agassizii","1985","1985","Especimen preservado de Ophiolipus agassizii en Campeche","Equinodermos; Equinodermata; Presencia"
"260","Campeche","Ophiomisidium pulchellum","1985","1985","Especimen preservado de Ophiomisidium pulchellum en Campeche","Equinodermos; Equinodermata; Presencia"
"261","Campeche","Ophiomusium acuferum","1999","1999","Especimen preservado de Ophiomusium acuferum en Campeche","Equinodermos; Equinodermata; Presencia"
"262","Campeche","Ophiomusium africanum","2005","2005","Especimen preservado de Ophiomusium africanum en Campeche","Equinodermos; Equinodermata; Presencia"
"263","Campeche","Ophiomusium lymani","2005","2005","Especimen preservado de Ophiomusium lymani en Campeche","Equinodermos; Equinodermata; Presencia"
"264","Campeche","Ophiomyxa flaccida","2005","2005","Especimen preservado de Ophiomyxa flaccida en Campeche","Equinodermos; Equinodermata; Presencia"
"265","Campeche","Ophiophragmus wurdemani","1972","1972","Especimen preservado de Ophiophragmus wurdemani en Campeche","Equinodermos; Equinodermata; Presencia"
"266","Campeche","Ophiopsila riisei","1953","1953","Especimen preservado de Ophiopsila riisei en Campeche","Equinodermos; Equinodermata; Presencia"
"267","Campeche","Ophiopsila vittata","1953","1953","Especimen preservado de Ophiopsila vittata en Campeche","Equinodermos; Equinodermata; Presencia"
"268","Campeche","Ophiothrix angulata","1974","2005","Especimen preservado de Ophiothrix angulata en Campeche","Equinodermos; Equinodermata; Presencia"
"269","Campeche","Ophiura fallax","1996","1996","Especimen preservado de Ophiura fallax en Campeche","Equinodermos; Equinodermata; Presencia"
"270","Campeche","Oreaster reticulatus","1947","1996","Especimen preservado de Oreaster reticulatus en Campeche","Equinodermos; Equinodermata; Presencia"
"271","Campeche","Persephonaster echinulatus","1999","1999","Especimen preservado de Persephonaster echinulatus en Campeche","Equinodermos; Equinodermata; Presencia"
"272","Campeche","Phormosoma placenta","2003","2005","Especimen preservado de Phormosoma placenta en Campeche","Equinodermos; Equinodermata; Presencia"
"273","Campeche","Protankyra ramiurna","2001","2001","Especimen preservado de Protankyra ramiurna en Campeche","Equinodermos; Equinodermata; Presencia"
"274","Campeche","Pseudarchaster gracilis","1999","2005","Especimen preservado de Pseudarchaster gracilis en Campeche","Equinodermos; Equinodermata; Presencia"
"275","Campeche","Stylocidaris lineata","2003","2003","Especimen preservado de Stylocidaris lineata en Campeche","Equinodermos; Equinodermata; Presencia"
"276","Campeche","Tethyaster grandis","1979","1994","Especimen preservado de Tethyaster grandis en Campeche","Equinodermos; Equinodermata; Presencia"
"277","Campeche","Tethyaster vestitus","1978","2003","Especimen preservado de Tethyaster vestitus en Campeche","Equinodermos; Equinodermata; Presencia"
"278","Campeche","Thyonella pervicax","1956","1956","Especimen preservado de Thyonella pervicax en Campeche","Equinodermos; Equinodermata; Presencia"
"279","Campeche","Zoroaster fulgens","1999","1999","Especimen preservado de Zoroaster fulgens en Campeche","Equinodermos; Equinodermata; Presencia"
"280","Chiapas","Astropecten armatus","1944","1944","Especimen preservado de Astropecten armatus en Chiapas","Equinodermos; Equinodermata; Presencia"
"281","Chiapas","Astropecten regalis","1956","1956","Especimen preservado de Astropecten regalis en Chiapas","Equinodermos; Equinodermata; Presencia"
"282","Chiapas","Clypeaster europacificus","1993","1993","Especimen preservado de Clypeaster europacificus en Chiapas","Equinodermos; Equinodermata; Presencia"
"283","Chiapas","Diopederma danianum","1993","1993","Especimen preservado de Diopederma danianum en Chiapas","Equinodermos; Equinodermata; Presencia"
"284","Chiapas","Echinometra vanbrunti","1956","1956","Especimen preservado de Echinometra vanbrunti en Chiapas","Equinodermos; Equinodermata; Presencia"
"285","Chiapas","Encope micropora","1982","1993","Especimen preservado de Encope micropora en Chiapas","Equinodermos; Equinodermata; Presencia"
"286","Chiapas","Heliaster microbrachius polybrachius","1956","1956","Especimen preservado de Heliaster microbrachius polybrachius en Chiapas","Equinodermos; Equinodermata; Presencia"
"287","Chiapas","Mellita eduardobarrosoi","1956","1965","Especimen preservado de Mellita eduardobarrosoi en Chiapas","Equinodermos; Equinodermata; Presencia"
"288","Chiapas","Mellita longifissa","1943","1994","Especimen preservado de Mellita longifissa en Chiapas","Equinodermos; Equinodermata; Presencia"
"289","Chiapas","Trachythyone peruana","1993","1993","Especimen preservado de Trachythyone peruana en Chiapas","Equinodermos; Equinodermata; Presencia"
"290","Colima","Acanthaster ellisii pseudoplanci","","1958","Especimen preservado de Acanthaster ellisii pseudoplanci en Colima","Equinodermos; Equinodermata; Presencia"
"291","Colima","Acanthaster planci","1997","1997","Especimen preservado de Acanthaster planci en Colima","Equinodermos; Equinodermata; Presencia"
"292","Colima","Astropecten californicus","","","Especimen preservado de Astropecten californicus en Colima","Equinodermos; Equinodermata; Presencia"
"293","Colima","Astropecten regalis","","","Especimen preservado de Astropecten regalis en Colima","Equinodermos; Equinodermata; Presencia"
"294","Colima","Centrostephanus coronatus","1994","1994","Especimen preservado de Centrostephanus coronatus en Colima","Equinodermos; Equinodermata; Presencia"
"295","Colima","Cucumaria flamma","1993","1993","Especimen preservado de Cucumaria flamma en Colima","Equinodermos; Equinodermata; Presencia"
"296","Colima","Diadema mexicanum","1958","1997","Especimen preservado de Diadema mexicanum en Colima","Equinodermos; Equinodermata; Presencia"
"297","Colima","Echinometra oblonga","1958","1992","Especimen preservado de Echinometra oblonga en Colima","Equinodermos; Equinodermata; Presencia"
"298","Colima","Echinometra vanbrunti","1958","1989","Especimen preservado de Echinometra vanbrunti en Colima","Equinodermos; Equinodermata; Presencia"
"299","Colima","Eucidaris thouarsii","1958","1999","Especimen preservado de Eucidaris thouarsii en Colima","Equinodermos; Equinodermata; Presencia"
"300","Colima","Hesperocidaris asteriscus","1958","1994","Especimen preservado de Hesperocidaris asteriscus en Colima","Equinodermos; Equinodermata; Presencia"
"301","Colima","Holothuria (Cystipus) rigida","1995","1995","Especimen preservado de Holothuria (Cystipus) rigida en Colima","Equinodermos; Equinodermata; Presencia"
"302","Colima","Holothuria (Halodeima) kefersteini","1946","1993","Especimen preservado de Holothuria (Halodeima) kefersteini en Colima","Equinodermos; Equinodermata; Presencia"
"303","Colima","Holothuria (Lessonothuria) pardalis","1990","1990","Especimen preservado de Holothuria (Lessonothuria) pardalis en Colima","Equinodermos; Equinodermata; Presencia"
"304","Colima","Holothuria (Mertensiothuria) fuscocinerea","1991","1991","Especimen preservado de Holothuria (Mertensiothuria) fuscocinerea en Colima","Equinodermos; Equinodermata; Presencia"
"305","Colima","Holothuria (Mertensiothuria) leucospilota","1958","1997","Especimen preservado de Holothuria (Mertensiothuria) leucospilota en Colima","Equinodermos; Equinodermata; Presencia"
"306","Colima","Holothuria (Platyperona) difficilis","","1991","Especimen preservado de Holothuria (Platyperona) difficilis en Colima","Equinodermos; Equinodermata; Presencia"
"307","Colima","Holothuria (Selenkothuria) lubrica","1995","1995","Especimen preservado de Holothuria (Selenkothuria) lubrica en Colima","Equinodermos; Equinodermata; Presencia"
"308","Colima","Holothuria (Semperothuria) imitans","1992","1997","Especimen preservado de Holothuria (Semperothuria) imitans en Colima","Equinodermos; Equinodermata; Presencia"
"309","Colima","Holothuria (Thymioscycia) arenicola","1991","1992","Especimen preservado de Holothuria (Thymioscycia) arenicola en Colima","Equinodermos; Equinodermata; Presencia"
"310","Colima","Holothuria (Thymioscycia) hilla","1991","1991","Especimen preservado de Holothuria (Thymioscycia) hilla en Colima","Equinodermos; Equinodermata; Presencia"
"311","Colima","Holothuria (Thymioscycia) impatiens","1994","1995","Especimen preservado de Holothuria (Thymioscycia) impatiens en Colima","Equinodermos; Equinodermata; Presencia"
"312","Colima","Isostichopus fuscus","1958","1997","Especimen preservado de Isostichopus fuscus en Colima","Equinodermos; Equinodermata; Presencia"
"313","Colima","Labidodemas americanum","1992","1992","Especimen preservado de Labidodemas americanum en Colima","Equinodermos; Equinodermata; Presencia"
"314","Colima","Labidodemas maccullochi","1994","1994","Especimen preservado de Labidodemas maccullochi en Colima","Equinodermos; Equinodermata; Presencia"
"315","Colima","Mellita longifissa","1943","1994","Especimen preservado de Mellita longifissa en Colima","Equinodermos; Equinodermata; Presencia"
"316","Colima","Mithrodia bradleyi","1944","1997","Especimen preservado de Mithrodia bradleyi en Colima","Equinodermos; Equinodermata; Presencia"
"317","Colima","Nemaster rubiginosa","1958","1958","Especimen preservado de Nemaster rubiginosa en Colima","Equinodermos; Equinodermata; Presencia"
"318","Colima","Neocucumis veleronis","1995","1995","Especimen preservado de Neocucumis veleronis en Colima","Equinodermos; Equinodermata; Presencia"
"319","Colima","Ophiactis savignyi","1945","1997","Especimen preservado de Ophiactis savignyi en Colima","Equinodermos; Equinodermata; Presencia"
"320","Colima","Ophiocoma aethiops","1958","1990","Especimen preservado de Ophiocoma aethiops en Colima","Equinodermos; Equinodermata; Presencia"
"321","Colima","Ophiocoma alexandri","1945","1985","Especimen preservado de Ophiocoma alexandri en Colima","Equinodermos; Equinodermata; Presencia"
"322","Colima","Ophiocomella schmitti","1945","1997","Especimen preservado de Ophiocomella schmitti en Colima","Equinodermos; Equinodermata; Presencia"
"323","Colima","Ophioderma panamense","1958","1958","Especimen preservado de Ophioderma panamense en Colima","Equinodermos; Equinodermata; Presencia"
"324","Colima","Ophionereis annulata","1958","1958","Especimen preservado de Ophionereis annulata en Colima","Equinodermos; Equinodermata; Presencia"
"325","Colima","Ophionereis dictyota","1958","1958","Especimen preservado de Ophionereis dictyota en Colima","Equinodermos; Equinodermata; Presencia"
"326","Colima","Ophiuroconis bispinosa","1939","1939","Especimen preservado de Ophiuroconis bispinosa en Colima","Equinodermos; Equinodermata; Presencia"
"327","Colima","Pentaceraster cumingi","1994","1994","Especimen preservado de Pentaceraster cumingi en Colima","Equinodermos; Equinodermata; Presencia"
"328","Colima","Pentamera chierchia","1999","1999","Especimen preservado de Pentamera chierchia en Colima","Equinodermos; Equinodermata; Presencia"
"329","Colima","Pharia pyramidatus","1958","1994","Especimen preservado de Pharia pyramidatus en Colima","Equinodermos; Equinodermata; Presencia"
"330","Colima","Phataria unifascialis","1943","1994","Especimen preservado de Phataria unifascialis en Colima","Equinodermos; Equinodermata; Presencia"
"331","Colima","Phyllophorus (Urodemella) zacae","1939","1939","Especimen preservado de Phyllophorus (Urodemella) zacae en Colima","Equinodermos; Equinodermata; Presencia"
"332","Colima","Pseudocnus californicus","1994","1994","Especimen preservado de Pseudocnus californicus en Colima","Equinodermos; Equinodermata; Presencia"
"333","Colima","Toxopneustes roseus","1994","1994","Especimen preservado de Toxopneustes roseus en Colima","Equinodermos; Equinodermata; Presencia"
"334","Colima","Tripneustes depressus","1958","1997","Especimen preservado de Tripneustes depressus en Colima","Equinodermos; Equinodermata; Presencia"
"335","Guerrero","Afrocucumis ovulum","1973","1973","Especimen preservado de Afrocucumis ovulum en Guerrero","Equinodermos; Equinodermata; Presencia"
"336","Guerrero","Agassizia scrobiculata","2006","2006","Especimen preservado de Agassizia scrobiculata en Guerrero","Equinodermos; Equinodermata; Presencia"
"337","Guerrero","Amphiodia platyspina","1993","1993","Especimen preservado de Amphiodia platyspina en Guerrero","Equinodermos; Equinodermata; Presencia"
"338","Guerrero","Amphiura notacantha","2006","2006","Especimen preservado de Amphiura notacantha en Guerrero","Equinodermos; Equinodermata; Presencia"
"339","Guerrero","Aporocidaris milleri","1891","1891","Especimen preservado de Aporocidaris milleri en Guerrero","Equinodermos; Equinodermata; Presencia"
"340","Guerrero","Asterina agustincasoi","1963","1964","Especimen preservado de Asterina agustincasoi en Guerrero","Equinodermos; Equinodermata; Presencia"
"341","Guerrero","Astropecten armatus","","1998","Especimen preservado de Astropecten armatus en Guerrero","Equinodermos; Equinodermata; Presencia"
"342","Guerrero","Astropecten ornatissimus","1944","1944","Especimen preservado de Astropecten ornatissimus en Guerrero","Equinodermos; Equinodermata; Presencia"
"343","Guerrero","Astropecten regalis","1957","1963","Especimen preservado de Astropecten regalis en Guerrero","Equinodermos; Equinodermata; Presencia"
"344","Guerrero","Astropyga pulvinata","","1998","Especimen preservado de Astropyga pulvinata en Guerrero","Equinodermos; Equinodermata; Presencia"
"345","Guerrero","Brissus latecarinatus","1948","1948","Especimen preservado de Brissus latecarinatus en Guerrero","Equinodermos; Equinodermata; Presencia"
"346","Guerrero","Cassidulus pacificus","","2008","Especimen preservado de Cassidulus pacificus en Guerrero","Equinodermos; Equinodermata; Presencia"
"347","Guerrero","Chiridota aponocrita","1982","1982","Especimen preservado de Chiridota aponocrita en Guerrero","Equinodermos; Equinodermata; Presencia"
"348","Guerrero","Chiridota rigida","2008","2008","Especimen preservado de Chiridota rigida en Guerrero","Equinodermos; Equinodermata; Presencia"
"349","Guerrero","Cucumaria flamma","1981","2006","Especimen preservado de Cucumaria flamma en Guerrero","Equinodermos; Equinodermata; Presencia"
"350","Guerrero","Diadema mexicanum","1947","1999","Especimen preservado de Diadema mexicanum en Guerrero","Equinodermos; Equinodermata; Presencia"
"351","Guerrero","Diopederma danianum","1998","1998","Especimen preservado de Diopederma danianum en Guerrero","Equinodermos; Equinodermata; Presencia"
"352","Guerrero","Echinometra vanbrunti","","1995","Especimen preservado de Echinometra vanbrunti en Guerrero","Equinodermos; Equinodermata; Presencia"
"353","Guerrero","Eucidaris thouarsii","1970","1999","Especimen preservado de Eucidaris thouarsii en Guerrero","Equinodermos; Equinodermata; Presencia"
"354","Guerrero","Heliaster helianthus","1939","1969","Especimen preservado de Heliaster helianthus en Guerrero","Equinodermos; Equinodermata; Presencia"
"355","Guerrero","Heliaster microbrachius polybrachius","1947","1964","Especimen preservado de Heliaster microbrachius polybrachius en Guerrero","Equinodermos; Equinodermata; Presencia"
"356","Guerrero","Hesperocidaris asteriscus","1949","1981","Especimen preservado de Hesperocidaris asteriscus en Guerrero","Equinodermos; Equinodermata; Presencia"
"357","Guerrero","Holothuria (Cystipus) rigida","1951","2008","Especimen preservado de Holothuria (Cystipus) rigida en Guerrero","Equinodermos; Equinodermata; Presencia"
"358","Guerrero","Holothuria (Halodeima) atra","1941","1941","Especimen preservado de Holothuria (Halodeima) atra en Guerrero","Equinodermos; Equinodermata; Presencia"
"359","Guerrero","Holothuria (Halodeima) kefersteini","1939","2007","Especimen preservado de Holothuria (Halodeima) kefersteini en Guerrero","Equinodermos; Equinodermata; Presencia"
"360","Guerrero","Holothuria (Mertensiothuria) leucospilota","1949","1999","Especimen preservado de Holothuria (Mertensiothuria) leucospilota en Guerrero","Equinodermos; Equinodermata; Presencia"
"361","Guerrero","Holothuria (Paraholothuria) riojai","1963","1963","Especimen preservado de Holothuria (Paraholothuria) riojai en Guerrero","Equinodermos; Equinodermata; Presencia"
"362","Guerrero","Holothuria (Platyperona) difficilis","1949","2007","Especimen preservado de Holothuria (Platyperona) difficilis en Guerrero","Equinodermos; Equinodermata; Presencia"
"363","Guerrero","Holothuria (Selenkothuria) lubrica","1939","1981","Especimen preservado de Holothuria (Selenkothuria) lubrica en Guerrero","Equinodermos; Equinodermata; Presencia"
"364","Guerrero","Holothuria (Selenkothuria) portovallartensis","1939","1963","Especimen preservado de Holothuria (Selenkothuria) portovallartensis en Guerrero","Equinodermos; Equinodermata; Presencia"
"365","Guerrero","Holothuria (Selenkothuria) theeli","2006","2006","Especimen preservado de Holothuria (Selenkothuria) theeli en Guerrero","Equinodermos; Equinodermata; Presencia"
"366","Guerrero","Holothuria (Semperothuria) imitans","1949","2007","Especimen preservado de Holothuria (Semperothuria) imitans en Guerrero","Equinodermos; Equinodermata; Presencia"
"367","Guerrero","Holothuria (Thymioscycia) arenicola","1941","2006","Especimen preservado de Holothuria (Thymioscycia) arenicola en Guerrero","Equinodermos; Equinodermata; Presencia"
"368","Guerrero","Holothuria (Thymioscycia) hilla","1949","2008","Especimen preservado de Holothuria (Thymioscycia) hilla en Guerrero","Equinodermos; Equinodermata; Presencia"
"369","Guerrero","Holothuria (Thymioscycia) impatiens","","2007","Especimen preservado de Holothuria (Thymioscycia) impatiens en Guerrero","Equinodermos; Equinodermata; Presencia"
"370","Guerrero","Isostichopus fuscus","1945","1999","Especimen preservado de Isostichopus fuscus en Guerrero","Equinodermos; Equinodermata; Presencia"
"371","Guerrero","Labidodemas americanum","1994","2007","Especimen preservado de Labidodemas americanum en Guerrero","Equinodermos; Equinodermata; Presencia"
"372","Guerrero","Labidodemas maccullochi","2008","2008","Especimen preservado de Labidodemas maccullochi en Guerrero","Equinodermos; Equinodermata; Presencia"
"373","Guerrero","Lissothuria ornata","1973","1982","Especimen preservado de Lissothuria ornata en Guerrero","Equinodermos; Equinodermata; Presencia"
"374","Guerrero","Mellita eduardobarrosoi","1960","1960","Especimen preservado de Mellita eduardobarrosoi en Guerrero","Equinodermos; Equinodermata; Presencia"
"375","Guerrero","Mellita longifissa","1949","1950","Especimen preservado de Mellita longifissa en Guerrero","Equinodermos; Equinodermata; Presencia"
"376","Guerrero","Mellita notabilis","1982","1990","Especimen preservado de Mellita notabilis en Guerrero","Equinodermos; Equinodermata; Presencia"
"377","Guerrero","Mithrodia bradleyi","","2007","Especimen preservado de Mithrodia bradleyi en Guerrero","Equinodermos; Equinodermata; Presencia"
"378","Guerrero","Neothyone gibber","1960","2008","Especimen preservado de Neothyone gibber en Guerrero","Equinodermos; Equinodermata; Presencia"
"379","Guerrero","Neothyone gibbosa","1963","2008","Especimen preservado de Neothyone gibbosa en Guerrero","Equinodermos; Equinodermata; Presencia"
"380","Guerrero","Nidorellia armata","1941","2005","Especimen preservado de Nidorellia armata en Guerrero","Equinodermos; Equinodermata; Presencia"
"381","Guerrero","Ophiactis savignyi","1939","2008","Especimen preservado de Ophiactis savignyi en Guerrero","Equinodermos; Equinodermata; Presencia"
"382","Guerrero","Ophiactis simplex","1941","2006","Especimen preservado de Ophiactis simplex en Guerrero","Equinodermos; Equinodermata; Presencia"
"383","Guerrero","Ophiocnida hispida","1993","1993","Especimen preservado de Ophiocnida hispida en Guerrero","Equinodermos; Equinodermata; Presencia"
"384","Guerrero","Ophiocoma aethiops","1949","1999","Especimen preservado de Ophiocoma aethiops en Guerrero","Equinodermos; Equinodermata; Presencia"
"385","Guerrero","Ophiocoma alexandri","1941","1994","Especimen preservado de Ophiocoma alexandri en Guerrero","Equinodermos; Equinodermata; Presencia"
"386","Guerrero","Ophioderma panamense","1949","1969","Especimen preservado de Ophioderma panamense en Guerrero","Equinodermos; Equinodermata; Presencia"
"387","Guerrero","Ophioderma teres","1949","1973","Especimen preservado de Ophioderma teres en Guerrero","Equinodermos; Equinodermata; Presencia"
"388","Guerrero","Ophioderma variegatum","1949","1964","Especimen preservado de Ophioderma variegatum en Guerrero","Equinodermos; Equinodermata; Presencia"
"389","Guerrero","Ophiolepis pacifica","1969","1969","Especimen preservado de Ophiolepis pacifica en Guerrero","Equinodermos; Equinodermata; Presencia"
"390","Guerrero","Ophiolepis variegata","1998","1998","Especimen preservado de Ophiolepis variegata en Guerrero","Equinodermos; Equinodermata; Presencia"
"391","Guerrero","Ophionereis annulata","1949","1999","Especimen preservado de Ophionereis annulata en Guerrero","Equinodermos; Equinodermata; Presencia"
"392","Guerrero","Ophionereis dictyota","","1965","Especimen preservado de Ophionereis dictyota en Guerrero","Equinodermos; Equinodermata; Presencia"
"393","Guerrero","Ophionereis perplexa","1963","1963","Especimen preservado de Ophionereis perplexa en Guerrero","Equinodermos; Equinodermata; Presencia"
"394","Guerrero","Ophiothela mirabilis","1995","2006","Especimen preservado de Ophiothela mirabilis en Guerrero","Equinodermos; Equinodermata; Presencia"
"395","Guerrero","Ophiothrix rudis","1950","1999","Especimen preservado de Ophiothrix rudis en Guerrero","Equinodermos; Equinodermata; Presencia"
"396","Guerrero","Ophiothrix spiculata","1947","1999","Especimen preservado de Ophiothrix spiculata en Guerrero","Equinodermos; Equinodermata; Presencia"
"397","Guerrero","Ophiuroconis bispinosa","2006","2006","Especimen preservado de Ophiuroconis bispinosa en Guerrero","Equinodermos; Equinodermata; Presencia"
"398","Guerrero","Pachythyone pseudolugubris","1949","2008","Especimen preservado de Pachythyone pseudolugubris en Guerrero","Equinodermos; Equinodermata; Presencia"
"399","Guerrero","Pentaceraster cumingi","","1998","Especimen preservado de Pentaceraster cumingi en Guerrero","Equinodermos; Equinodermata; Presencia"
"400","Guerrero","Pentamera chierchia","","2008","Especimen preservado de Pentamera chierchia en Guerrero","Equinodermos; Equinodermata; Presencia"
"401","Guerrero","Pharia pyramidatus","1948","1999","Especimen preservado de Pharia pyramidatus en Guerrero","Equinodermos; Equinodermata; Presencia"
"402","Guerrero","Phataria unifascialis","","1999","Especimen preservado de Phataria unifascialis en Guerrero","Equinodermos; Equinodermata; Presencia"
"403","Guerrero","Pseudocnus californicus","1949","2008","Especimen preservado de Pseudocnus californicus en Guerrero","Equinodermos; Equinodermata; Presencia"
"404","Guerrero","Psolidium dorsipes","2008","2008","Especimen preservado de Psolidium dorsipes en Guerrero","Equinodermos; Equinodermata; Presencia"
"405","Guerrero","Thyone bidentata","2007","2007","Especimen preservado de Thyone bidentata en Guerrero","Equinodermos; Equinodermata; Presencia"
"406","Guerrero","Toxopneustes roseus","1944","1995","Especimen preservado de Toxopneustes roseus en Guerrero","Equinodermos; Equinodermata; Presencia"
"407","Guerrero","Trachythyone peruana","1934","1970","Especimen preservado de Trachythyone peruana en Guerrero","Equinodermos; Equinodermata; Presencia"
"408","Guerrero","Trichometra cubensis","1944","2005","Especimen preservado de Trichometra cubensis en Guerrero","Equinodermos; Equinodermata; Presencia"
"409","Jalisco","Amphiodia sculptilis","1939","1939","Especimen preservado de Amphiodia sculptilis en Jalisco","Equinodermos; Equinodermata; Presencia"
"410","Jalisco","Asteropsis spinosa","1998","1998","Especimen preservado de Asteropsis spinosa en Jalisco","Equinodermos; Equinodermata; Presencia"
"411","Jalisco","Echinometra vanbrunti","1951","1998","Especimen preservado de Echinometra vanbrunti en Jalisco","Equinodermos; Equinodermata; Presencia"
"412","Jalisco","Eucidaris thouarsii","1998","1998","Especimen preservado de Eucidaris thouarsii en Jalisco","Equinodermos; Equinodermata; Presencia"
"413","Jalisco","Heliaster microbrachius polybrachius","","1961","Especimen preservado de Heliaster microbrachius polybrachius en Jalisco","Equinodermos; Equinodermata; Presencia"
"414","Jalisco","Heliaster polybrachius","1951","1951","Especimen preservado de Heliaster polybrachius en Jalisco","Equinodermos; Equinodermata; Presencia"
"415","Jalisco","Hesperocidaris asteriscus","1951","2004","Especimen preservado de Hesperocidaris asteriscus en Jalisco","Equinodermos; Equinodermata; Presencia"
"416","Jalisco","Holothuria (Cystipus) rigida","1951","2004","Especimen preservado de Holothuria (Cystipus) rigida en Jalisco","Equinodermos; Equinodermata; Presencia"
"417","Jalisco","Holothuria (Halodeima) atra","2003","2003","Especimen preservado de Holothuria (Halodeima) atra en Jalisco","Equinodermos; Equinodermata; Presencia"
"418","Jalisco","Holothuria (Halodeima) kefersteini","1951","2007","Especimen preservado de Holothuria (Halodeima) kefersteini en Jalisco","Equinodermos; Equinodermata; Presencia"
"419","Jalisco","Holothuria (Platyperona) difficilis","2007","2007","Especimen preservado de Holothuria (Platyperona) difficilis en Jalisco","Equinodermos; Equinodermata; Presencia"
"420","Jalisco","Holothuria (Selenkothuria) lubrica","","1979","Especimen preservado de Holothuria (Selenkothuria) lubrica en Jalisco","Equinodermos; Equinodermata; Presencia"
