"","V1","V1","V1"
"84","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"85","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"86","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"87","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"88","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"89","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"90","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"91","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"92","Baja California","Gulf of California","Pacific"
"93","Baja California","Gulf of California","Pacific"
"94","Baja California","Gulf of California","Pacific"
"95","Baja California","Gulf of California","Pacific"
"96","Baja California","Gulf of California","Pacific"
"97","Baja California","Gulf of California","Pacific"
"98","Baja California","Gulf of California","Pacific"
"99","Baja California","Gulf of California","Pacific"
"100","Baja California","Gulf of California","Pacific"
"101","Baja California","Gulf of California","Pacific"
"102","Baja California","Gulf of California","Pacific"
"103","Baja California","Gulf of California","Pacific"
"104","Baja California","Gulf of California","Pacific"
"105","Baja California","Gulf of California","Pacific"
"106","Baja California","Gulf of California","Pacific"
"107","Baja California","Gulf of California","Pacific"
"108","Baja California","Gulf of California","Pacific"
"109","Baja California","Gulf of California","Pacific"
"110","Baja California","Gulf of California","Pacific"
"111","Baja California","Gulf of California","Pacific"
"112","Baja California","Gulf of California","Pacific"
"113","Baja California","Gulf of California","Pacific"
"114","Baja California","Gulf of California","Pacific"
"115","Baja California","Gulf of California","Pacific"
"116","Baja California","Gulf of California","Pacific"
"117","Baja California","Gulf of California","Pacific"
"118","Baja California","Gulf of California","Pacific"
"119","Baja California","Gulf of California","Pacific"
"120","Baja California","Gulf of California","Pacific"
"121","Baja California","Gulf of California","Pacific"
"122","Baja California","Gulf of California","Pacific"
"123","Baja California","Gulf of California","Pacific"
"124","Baja California","Gulf of California","Pacific"
"125","Baja California","Gulf of California","Pacific"
"126","Baja California","Gulf of California","Pacific"
"127","Baja California","Gulf of California","Pacific"
"128","Baja California","Gulf of California","Pacific"
"129","Baja California","Gulf of California","Pacific"
"130","Baja California","Gulf of California","Pacific"
"131","Baja California","Gulf of California","Pacific"
"132","Baja California","Gulf of California","Pacific"
"133","Baja California","Gulf of California","Pacific"
"134","Baja California","Gulf of California","Pacific"
"135","Baja California","Gulf of California","Pacific"
"136","Baja California","Gulf of California","Pacific"
"137","Baja California","Gulf of California","Pacific"
"138","Baja California","Gulf of California","Pacific"
"139","Baja California","Gulf of California","Pacific"
"140","Baja California","Gulf of California","Pacific"
"141","Baja California","Gulf of California","Pacific"
"142","Baja California","Gulf of California","Pacific"
"143","Baja California","Gulf of California","Pacific"
"144","Baja California Sur","Gulf of California","Pacific"
"145","Baja California Sur","Gulf of California","Pacific"
"146","Baja California Sur","Gulf of California","Pacific"
"147","Baja California Sur","Gulf of California","Pacific"
"148","Baja California Sur","Gulf of California","Pacific"
"149","Baja California Sur","Gulf of California","Pacific"
"150","Baja California Sur","Gulf of California","Pacific"
"151","Baja California Sur","Gulf of California","Pacific"
"152","Baja California Sur","Gulf of California","Pacific"
"153","Baja California Sur","Gulf of California","Pacific"
"154","Baja California Sur","Gulf of California","Pacific"
"155","Baja California Sur","Gulf of California","Pacific"
"156","Baja California Sur","Gulf of California","Pacific"
"157","Baja California Sur","Gulf of California","Pacific"
"158","Baja California Sur","Gulf of California","Pacific"
"159","Baja California Sur","Gulf of California","Pacific"
"160","Baja California Sur","Gulf of California","Pacific"
"161","Baja California Sur","Gulf of California","Pacific"
"162","Baja California Sur","Gulf of California","Pacific"
"163","Baja California Sur","Gulf of California","Pacific"
"164","Baja California Sur","Gulf of California","Pacific"
"165","Baja California Sur","Gulf of California","Pacific"
"166","Baja California Sur","Gulf of California","Pacific"
"167","Baja California Sur","Gulf of California","Pacific"
"168","Baja California Sur","Gulf of California","Pacific"
"169","Baja California Sur","Gulf of California","Pacific"
"170","Baja California Sur","Gulf of California","Pacific"
"171","Baja California Sur","Gulf of California","Pacific"
"172","Baja California Sur","Gulf of California","Pacific"
"173","Baja California Sur","Gulf of California","Pacific"
"174","Baja California Sur","Gulf of California","Pacific"
"175","Baja California Sur","Gulf of California","Pacific"
"176","Baja California Sur","Gulf of California","Pacific"
"177","Baja California Sur","Gulf of California","Pacific"
"178","Baja California Sur","Gulf of California","Pacific"
"179","Baja California Sur","Gulf of California","Pacific"
"180","Baja California Sur","Gulf of California","Pacific"
"181","Baja California Sur","Gulf of California","Pacific"
"182","Baja California Sur","Gulf of California","Pacific"
"183","Baja California Sur","Gulf of California","Pacific"
"184","Baja California Sur","Gulf of California","Pacific"
"185","Baja California Sur","Gulf of California","Pacific"
"186","Baja California Sur","Gulf of California","Pacific"
"187","Baja California Sur","Gulf of California","Pacific"
"188","Baja California Sur","Gulf of California","Pacific"
"189","Baja California Sur","Gulf of California","Pacific"
"190","Baja California Sur","Gulf of California","Pacific"
"191","Baja California Sur","Gulf of California","Pacific"
"192","Baja California Sur","Gulf of California","Pacific"
"193","Baja California Sur","Gulf of California","Pacific"
"194","Baja California Sur","Gulf of California","Pacific"
"195","Baja California Sur","Gulf of California","Pacific"
"196","Baja California Sur","Gulf of California","Pacific"
"197","Baja California Sur","Gulf of California","Pacific"
"198","Baja California Sur","Gulf of California","Pacific"
"199","Baja California Sur","Gulf of California","Pacific"
"200","Baja California Sur","Gulf of California","Pacific"
"201","Baja California Sur","Gulf of California","Pacific"
"202","Baja California Sur","Gulf of California","Pacific"
"203","Baja California Sur","Gulf of California","Pacific"
"204","Baja California Sur","Gulf of California","Pacific"
"205","Baja California Sur","Gulf of California","Pacific"
"206","Baja California Sur","Gulf of California","Pacific"
"207","Baja California Sur","Gulf of California","Pacific"
"208","Baja California Sur","Gulf of California","Pacific"
"209","Campeche","Banco Campeche Caribe","Atlantic"
"210","Campeche","Banco Campeche Caribe","Atlantic"
"211","Campeche","Banco Campeche Caribe","Atlantic"
"212","Campeche","Banco Campeche Caribe","Atlantic"
"213","Campeche","Banco Campeche Caribe","Atlantic"
"214","Campeche","Banco Campeche Caribe","Atlantic"
"215","Campeche","Banco Campeche Caribe","Atlantic"
"216","Campeche","Banco Campeche Caribe","Atlantic"
"217","Campeche","Banco Campeche Caribe","Atlantic"
"218","Campeche","Banco Campeche Caribe","Atlantic"
"219","Campeche","Banco Campeche Caribe","Atlantic"
"220","Campeche","Banco Campeche Caribe","Atlantic"
"221","Campeche","Banco Campeche Caribe","Atlantic"
"222","Campeche","Banco Campeche Caribe","Atlantic"
"223","Campeche","Banco Campeche Caribe","Atlantic"
"224","Campeche","Banco Campeche Caribe","Atlantic"
"225","Campeche","Banco Campeche Caribe","Atlantic"
"226","Campeche","Banco Campeche Caribe","Atlantic"
"227","Campeche","Banco Campeche Caribe","Atlantic"
"228","Campeche","Banco Campeche Caribe","Atlantic"
"229","Campeche","Banco Campeche Caribe","Atlantic"
"230","Campeche","Banco Campeche Caribe","Atlantic"
"231","Campeche","Banco Campeche Caribe","Atlantic"
"232","Campeche","Banco Campeche Caribe","Atlantic"
"233","Campeche","Banco Campeche Caribe","Atlantic"
"234","Campeche","Banco Campeche Caribe","Atlantic"
"235","Campeche","Banco Campeche Caribe","Atlantic"
"236","Campeche","Banco Campeche Caribe","Atlantic"
"237","Campeche","Banco Campeche Caribe","Atlantic"
"238","Campeche","Banco Campeche Caribe","Atlantic"
"239","Campeche","Banco Campeche Caribe","Atlantic"
"240","Campeche","Banco Campeche Caribe","Atlantic"
"241","Campeche","Banco Campeche Caribe","Atlantic"
"242","Campeche","Banco Campeche Caribe","Atlantic"
"243","Campeche","Banco Campeche Caribe","Atlantic"
"244","Campeche","Banco Campeche Caribe","Atlantic"
"245","Campeche","Banco Campeche Caribe","Atlantic"
"246","Campeche","Banco Campeche Caribe","Atlantic"
"247","Campeche","Banco Campeche Caribe","Atlantic"
"248","Campeche","Banco Campeche Caribe","Atlantic"
"249","Campeche","Banco Campeche Caribe","Atlantic"
"250","Campeche","Banco Campeche Caribe","Atlantic"
"251","Campeche","Banco Campeche Caribe","Atlantic"
"252","Campeche","Banco Campeche Caribe","Atlantic"
"253","Campeche","Banco Campeche Caribe","Atlantic"
"254","Campeche","Banco Campeche Caribe","Atlantic"
"255","Campeche","Banco Campeche Caribe","Atlantic"
"256","Campeche","Banco Campeche Caribe","Atlantic"
"257","Campeche","Banco Campeche Caribe","Atlantic"
"258","Campeche","Banco Campeche Caribe","Atlantic"
"259","Campeche","Banco Campeche Caribe","Atlantic"
"260","Campeche","Banco Campeche Caribe","Atlantic"
"261","Campeche","Banco Campeche Caribe","Atlantic"
"262","Campeche","Banco Campeche Caribe","Atlantic"
"263","Campeche","Banco Campeche Caribe","Atlantic"
"264","Campeche","Banco Campeche Caribe","Atlantic"
"265","Campeche","Banco Campeche Caribe","Atlantic"
