MMID,area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,tonnes,landed_value
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1950,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,15000,21990000
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1951,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,15000,21990000
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1952,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,5000,7330000
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1953,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,5000,7330000
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1954,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,5500,8063000
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1955,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,5300,7769800
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1956,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,11400,16712400
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1957,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,8200,12021200
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1958,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,14900,21843400
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1959,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,19500,28587000
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1960,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,17400,25508400
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1961,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,20300,29759800
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1962,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,14800,21696800
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1963,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,19400,28440400
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1964,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,19000,27854000
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1965,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,20300,29759800
558,Mexico (Pacific),eez,Reconstructed domestic catch,3,1966,Sardinops sagax,Pacific sardine,Medium pelagics (30 - 89 cm),Herring-likes,Mexico,Industrial,Landings,Reported,18600,27267600
