MMID,area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,tonnes,landed_value
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1968,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,8200,40212800
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1968,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,1230,6031920
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1969,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,6900,37570500
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1969,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,1035,5635575
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1970,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,6700,31510100
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1970,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,1005,4726515
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1971,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,6400,31411200
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1971,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,960,4711680
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1972,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,5400,31660200
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1972,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,810,4749030
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1973,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,4700,24303700
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1973,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,705,3645555
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1974,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,6062,44573886
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1974,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,909.3,6686082.9
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1975,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,6407,51537908
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1975,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,961.05,7730686.2
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1976,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,2709,19713393
