Spp_Origen,Por_Estado,Por_Punto,,,,,,,,,,
Almeja patademula,,,,,,,,,,,,
Ancas de rana,,,,,,,,,,,,
Calamar americano,,,,,,,,,,,,
Calamar gigante,,,,,,,,,,,,
Callo de almeja,,,,,,,,,,,,
Callo de hacha,,,,,,,,,,,,
Caracol,,,,,,,,,,,,
Caraco lburro,,,,,,,,,,,,
Caraco lchico,,,,,,,,,,,,
Ostion con concha,,,,,,,,,,,,
Pulpo con visceras,,,,,,,,,,,,
Pulpo congelado,,,,,,,,,,,,
Pulpo fresco,,,,,,,,,,,,
Pulpo sin visceras,,,,,,,,,,,,
Bacalao,,,,,,,,,,,,
Bonito,,,,,,,,,,,,
Calamar,,,,,,,,,,,,
Curbina,,,,,,,,,,,,
Cherna aleta amarilla,,,,,,,,,,,,
Cherna aleta prieta,,,,,,,,,,,,
Chucumite,,,,,,,,,,,,
Filete de carpa,,,,,,,,,,,,
Filete de cazonotiburon,,,,,,,,,,,,
Filete de huachinango,,,,,,,,,,,,
Filete de mero,,,,,,,,,,,,
Filete de tilapia,,,,,,,,,,,,
Lenguado,,,,,,,,,,,,
Lisa,,,,,,,,,,,,
Lobina,,,,,,,,,,,,
Mantarraya,,,,,,,,,,,,
Medregal,,,,,,,,,,,,
Mojarra blanca,,,,,,,,,,,,
Mojarra rayada,,,,,,,,,,,,
Plateado,,,,,,,,,,,,
Raya,,,,,,,,,,,,
Robaleta,,,,,,,,,,,,
Ronco amarillo,,,,,,,,,,,,
Trucha,,,,,,,,,,,,
