Entidad,Oficina,Mes,Origen,Nombre Comun,Peso Vivo (Kg.),Peso Desem. (Kg.),Valor (pesos),Año
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Mayo,CAPTURA,ALGA GELIDIUM,"5,937.00","5,937.00","89,055.00",2013
BAJA CALIFORNIA SUR,SANTA ROSALIA,Mayo,CAPTURA,ALGA GELIDIUM,"27,082.00","162,492.00","208,607.23",2008
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Mayo,CAPTURA,ALGA GELIDIUM,"43,200.00","7,200.00","57,600.00",2010
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Mayo,CAPTURA,ALGA GELIDIUM,"55,200.00","9,200.00","64,400.00",2012
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Mayo,CAPTURA,ALGA GELIDIUM,"45,474.00","7,579.00","53,053.00",2013
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Mayo,CAPTURA,ALGA GELIDIUM,"56,629.33","13,704.33","93,680.97",2014
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Mayo,CAPTURA,ALGA GELIDIUM,"13,000.00","13,000.00","91,000.00",2010
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Mayo,CAPTURA,ALGA GELIDIUM,"1,600.00","1,600.00","12,544.00",2008
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Mayo,CAPTURA,ALGA GELIDIUM,"126,852.00","21,142.00","166,810.38",2007
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Mayo,CAPTURA,ALGA GELIDIUM,"165,684.00","27,614.00","219,681.00",2009
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Mayo,CAPTURA,ALGA GELIDIUM,"205,458.00","34,243.00","263,328.67",2006
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Mayo,CAPTURA,ALGA GELIDIUM,"11,284.00","67,704.00","87,803.06",2008
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Mayo,CAPTURA,ALGA GELIDIUM,"24,000.00","4,000.00","28,000.00",2011
BAJA CALIFORNIA,BAHIA DE LOS ANGELES,Junio,CAPTURA,ALGA SE,"1,753.92","1,753.92","11,989.17",2014
BAJA CALIFORNIA,BAHIA DE LOS ANGELES,Junio,CAPTURA,ALGA SE,"247,800.00","41,300.00","185,850.00",2009
BAJA CALIFORNIA,EL ROSARIO,Junio,CAPTURA,ALGA GELIDIUM,"168,000.00","28,000.00","196,000.00",2009
BAJA CALIFORNIA,EL ROSARIO,Junio,CAPTURA,ALGA GIGARTINA,"9,300.00","2,325.00","11,625.00",2012
BAJA CALIFORNIA,EL ROSARIO,Junio,CAPTURA,ALGA GIGARTINA,"80,000.00","20,000.00","120,000.00",2011
BAJA CALIFORNIA,EL ROSARIO,Junio,CAPTURA,ALGA GELIDIUM,"8,030.00","8,030.00","60,947.70",2007
BAJA CALIFORNIA,EL ROSARIO,Junio,CAPTURA,ALGA GELIDIUM,"18,000.00","3,000.00","21,000.00",2011
BAJA CALIFORNIA,EL ROSARIO,Junio,CAPTURA,ALGA GIGARTINA,"20,100.00","80,400.00","124,218.00",2008
BAJA CALIFORNIA,EL ROSARIO,Junio,CAPTURA,ALGA SE,"132,248.06","132,248.06","132,248.06",2013
BAJA CALIFORNIA,ENSENADA,Junio,CAPTURA,ALGA GELIDIUM,"51,915.95","13,465.95","81,409.30",2014
BAJA CALIFORNIA,ENSENADA,Junio,CAPTURA,ALGA GELIDIUM,"26,064.00","4,344.00","30,408.00",2011
BAJA CALIFORNIA,ENSENADA,Junio,CAPTURA,ALGA GELIDIUM,"33,600.00","5,600.00","39,200.00",2012
BAJA CALIFORNIA,ENSENADA,Junio,CAPTURA,ALGA GELIDIUM,"50,000.00","300,000.00","400,155.00",2008
BAJA CALIFORNIA,ENSENADA,Junio,CAPTURA,ALGA GELIDIUM,"19,200.00","3,200.00","22,400.00",2009
BAJA CALIFORNIA,ENSENADA,Junio,CAPTURA,ALGA GELIDIUM,"15,000.00","15,000.00","108,150.00",2008
BAJA CALIFORNIA,ENSENADA,Junio,CAPTURA,ALGA GELIDIUM,"37,800.00","6,300.00","44,100.00",2010
BAJA CALIFORNIA,ENSENADA,Junio,CAPTURA,ALGA GELIDIUM,"28,324.07","7,974.07","55,818.48",2013
BAJA CALIFORNIA,ISLA CEDROS,Junio,CAPTURA,ALGA GELIDIUM,"267,870.99","57,870.99","405,495.57",2014
BAJA CALIFORNIA,ISLA CEDROS,Junio,CAPTURA,ALGA GELIDIUM,"144,000.00","24,000.00","168,000.00",2012
BAJA CALIFORNIA,ISLA CEDROS,Junio,CAPTURA,ALGA GELIDIUM,"504,000.00","84,000.00","588,000.00",2009
BAJA CALIFORNIA,ISLA CEDROS,Junio,CAPTURA,ALGA SE,"12,174.00","12,174.00","25,078.44",2008
BAJA CALIFORNIA,ISLA CEDROS,Junio,CAPTURA,ALGA GELIDIUM,"324,000.00","54,000.00","378,000.00",2010
BAJA CALIFORNIA,ISLA CEDROS,Junio,CAPTURA,ALGA GELIDIUM,"240,000.00","40,000.00","301,600.00",2007
BAJA CALIFORNIA,ISLA CEDROS,Junio,CAPTURA,ALGA GELIDIUM,152.82,152.82,"1,069.74",2013
BAJA CALIFORNIA,ISLA CEDROS,Junio,CAPTURA,ALGA GELIDIUM,"168,000.00","63,000.00","441,000.00",2011
BAJA CALIFORNIA,ISLA CEDROS,Junio,CAPTURA,ALGA GELIDIUM,"192,000.00","32,000.00","237,760.00",2006
BAJA CALIFORNIA,SAN FELIPE,Junio,CAPTURA,ALGA GELIDIUM,"2,750.00","16,500.00","22,008.53",2008
BAJA CALIFORNIA,SAN QUINTIN,Junio,CAPTURA,ALGA GELIDIUM,"25,830.42","5,580.42","34,808.36",2014
BAJA CALIFORNIA,SAN QUINTIN,Junio,CAPTURA,ALGA GIGARTINA,"204,000.00","51,000.00","306,000.00",2012
BAJA CALIFORNIA,SAN QUINTIN,Junio,CAPTURA,ALGA GIGARTINA,"80,000.00","20,000.00","120,000.00",2006
BAJA CALIFORNIA,SAN QUINTIN,Junio,CAPTURA,ALGA GIGARTINA,"337,227.67","133,227.67","799,366.03",2013
BAJA CALIFORNIA,SAN QUINTIN,Junio,CAPTURA,ALGA GIGARTINA,"76,000.00","19,000.00","114,000.00",2010
BAJA CALIFORNIA,SAN QUINTIN,Junio,CAPTURA,ALGA GIGARTINA,"414,349.65","121,999.65","748,147.01",2014
BAJA CALIFORNIA,SAN QUINTIN,Junio,CAPTURA,ALGA GELIDIUM,"4,306.00","4,306.00","30,142.00",2011
BAJA CALIFORNIA,SAN QUINTIN,Junio,CAPTURA,ALGA GIGARTINA,"39,000.00","39,000.00","234,000.00",2011
BAJA CALIFORNIA,SAN QUINTIN,Junio,CAPTURA,ALGA GIGARTINA,"20,000.00","20,000.00","120,000.00",2009
BAJA CALIFORNIA,VILLA DE JESUS MARIA,Junio,CAPTURA,ALGA GIGARTINA,"16,000.00","64,000.00","74,160.00",2008
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Junio,CAPTURA,ALGA GELIDIUM,"63,018.00","10,503.00","78,037.29",2006
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Junio,CAPTURA,ALGA GELIDIUM,"225,858.00","37,643.00","237,838.05",2011
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Junio,CAPTURA,ALGA EUCHEMA,"1,008.00",252,"2,016.00",2012
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Junio,CAPTURA,ALGA GELIDIUM,"135,912.00","22,652.00","153,264.83",2012
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Junio,CAPTURA,ALGA GELIDIUM,"295,363.02","85,403.02","526,888.59",2014
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Junio,CAPTURA,ALGA GELIDIUM,"163,380.00","27,230.00","190,610.00",2010
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Junio,CAPTURA,ALGA GELIDIUM,"112,230.00","20,310.00","153,233.70",2007
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Junio,CAPTURA,ALGA GELIDIUM,"287,604.00","47,934.00","343,486.98",2013
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Junio,CAPTURA,ALGA GELIDIUM,"164,623.00","39,503.00","255,300.55",2009
BAJA CALIFORNIA SUR,PUNTA ABREOJOS,Junio,CAPTURA,ALGA LECHUGUILLA,134,134,"69,010.00",2012
BAJA CALIFORNIA SUR,SANTA ROSALIA,Junio,CAPTURA,ALGA GELIDIUM,"13,165.00","78,990.00","103,213.60",2008
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Junio,CAPTURA,ALGA GELIDIUM,"320,646.00","53,441.00","412,030.11",2007
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Junio,CAPTURA,ALGA GELIDIUM,"87,600.00","14,600.00","116,800.00",2010
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Junio,CAPTURA,ALGA GELIDIUM,"161,034.00","26,839.00","214,712.00",2006
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Junio,CAPTURA,ALGA GELIDIUM,"52,650.00","8,775.00","66,300.00",2012
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Junio,CAPTURA,ALGA GELIDIUM,"53,400.00","8,900.00","62,300.00",2011
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Junio,CAPTURA,ALGA GELIDIUM,"2,500.00","2,500.00","17,500.00",2010
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Junio,CAPTURA,ALGA GELIDIUM,"42,606.00","7,101.00","56,869.50",2013
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Junio,CAPTURA,ALGA GELIDIUM,"118,158.00","19,693.00","156,378.00",2009
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Junio,CAPTURA,ALGA GELIDIUM,"26,503.98","6,413.98","42,496.11",2014
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Junio,CAPTURA,ALGA GELIDIUM,"13,609.00","81,654.00","106,694.56",2008
BAJA CALIFORNIA,BAHIA DE LOS ANGELES,Julio,CAPTURA,ALGA SE,"25,511.52","25,511.52","173,740.28",2014
BAJA CALIFORNIA,EL ROSARIO,Julio,CAPTURA,ALGA GELIDIUM,"7,188.00","7,188.00","54,556.92",2007
BAJA CALIFORNIA,EL ROSARIO,Julio,CAPTURA,ALGA GIGARTINA,"20,000.00","20,000.00","120,000.00",2011
BAJA CALIFORNIA,EL ROSARIO,Julio,CAPTURA,ALGA GIGARTINA,"40,900.00","163,600.00","252,762.00",2008
BAJA CALIFORNIA,EL ROSARIO,Julio,CAPTURA,ALGA GELIDIUM,"99,000.00","16,500.00","115,500.00",2009
BAJA CALIFORNIA,ENSENADA,Julio,CAPTURA,ALGA GELIDIUM,"21,000.00","3,500.00","24,500.00",2010
BAJA CALIFORNIA,ENSENADA,Julio,CAPTURA,ALGA SE,"60,000.00","360,000.00","432,600.00",2008
BAJA CALIFORNIA,ENSENADA,Julio,CAPTURA,ALGA GELIDIUM,"53,063.97","11,463.97","77,398.26",2014
BAJA CALIFORNIA,ENSENADA,Julio,CAPTURA,ALGA GELIDIUM,"7,260.00","1,210.00","8,470.00",2012
BAJA CALIFORNIA,ENSENADA,Julio,CAPTURA,ALGA GELIDIUM,"1,800.00","1,800.00","12,600.00",2012
BAJA CALIFORNIA,ENSENADA,Julio,CAPTURA,ALGA GELIDIUM,"19,464.00","3,244.00","22,708.00",2011
BAJA CALIFORNIA,ENSENADA,Julio,CAPTURA,ALGA SE,"19,250.00","19,250.00","96,250.00",2012
BAJA CALIFORNIA,ENSENADA,Julio,CAPTURA,ALGA GELIDIUM,"29,228.77","8,228.77","57,601.38",2013
BAJA CALIFORNIA,ENSENADA,Julio,CAPTURA,ALGA GELIDIUM,"17,829.00","17,829.00","124,802.98",2013
BAJA CALIFORNIA,ISLA CEDROS,Julio,CAPTURA,ALGA GELIDIUM,"501,760.52","141,260.52","988,823.62",2013
BAJA CALIFORNIA,ISLA CEDROS,Julio,CAPTURA,ALGA GELIDIUM,"456,000.00","76,000.00","532,000.00",2012
BAJA CALIFORNIA,ISLA CEDROS,Julio,CAPTURA,ALGA GELIDIUM,"7,445.08","7,445.08","52,115.53",2013
BAJA CALIFORNIA,ISLA CEDROS,Julio,CAPTURA,ALGA GELIDIUM,"640,454.02","138,364.02","934,138.15",2014
BAJA CALIFORNIA,ISLA CEDROS,Julio,CAPTURA,ALGA GELIDIUM,"10,586.00","63,516.00","76,325.06",2008
BAJA CALIFORNIA,ISLA CEDROS,Julio,CAPTURA,ALGA GELIDIUM,"869,142.00","144,857.00","1,003,859.01",2007
BAJA CALIFORNIA,ISLA CEDROS,Julio,CAPTURA,ALGA GELIDIUM,"420,000.00","70,000.00","490,000.00",2009
BAJA CALIFORNIA,ISLA CEDROS,Julio,CAPTURA,ALGA GELIDIUM,"417,600.00","69,600.00","487,200.00",2006
BAJA CALIFORNIA,ISLA CEDROS,Julio,CAPTURA,ALGA GELIDIUM,"18,000.00","18,000.00","126,000.00",2010
BAJA CALIFORNIA,ISLA CEDROS,Julio,CAPTURA,ALGA GELIDIUM,"372,378.00","62,063.00","432,682.73",2011
BAJA CALIFORNIA,ISLA CEDROS,Julio,CAPTURA,ALGA GELIDIUM,"216,000.00","36,000.00","252,000.00",2010
BAJA CALIFORNIA,ISLA CEDROS,Julio,CAPTURA,ALGA SE,"68,238.00","11,373.00","73,924.50",2007
BAJA CALIFORNIA,SAN QUINTIN,Julio,CAPTURA,ALGA GELIDIUM,"2,300.00","2,300.00","16,100.00",2012
BAJA CALIFORNIA,SAN QUINTIN,Julio,CAPTURA,ALGA GIGARTINA,"302,640.00","75,660.00","453,960.00",2009
BAJA CALIFORNIA,SAN QUINTIN,Julio,CAPTURA,ALGA GELIDIUM,"4,942.86","4,942.86","33,638.05",2014
BAJA CALIFORNIA,SAN QUINTIN,Julio,CAPTURA,ALGA GIGARTINA,"58,500.00","58,500.00","351,000.00",2007
BAJA CALIFORNIA,SAN QUINTIN,Julio,CAPTURA,ALGA GIGARTINA,"152,000.00","38,000.00","228,000.00",2010
BAJA CALIFORNIA,SAN QUINTIN,Julio,CAPTURA,ALGA GIGARTINA,"96,000.00","96,000.00","666,000.00",2012
BAJA CALIFORNIA,SAN QUINTIN,Julio,CAPTURA,ALGA GIGARTINA,"216,000.00","54,000.00","324,000.00",2012
BAJA CALIFORNIA,SAN QUINTIN,Julio,CAPTURA,ALGA GIGARTINA,"128,108.77","37,733.77","247,939.39",2014
BAJA CALIFORNIA,SAN QUINTIN,Julio,CAPTURA,ALGA GELIDIUM,"15,824.00","15,824.00","110,768.00",2011
BAJA CALIFORNIA,SAN QUINTIN,Julio,CAPTURA,ALGA GIGARTINA,"298,793.64","118,043.64","708,261.81",2013
BAJA CALIFORNIA,SAN QUINTIN,Julio,CAPTURA,ALGA GIGARTINA,"60,000.00","30,000.00","180,000.00",2006
BAJA CALIFORNIA,SAN QUINTIN,Julio,CAPTURA,ALGA GIGARTINA,"20,000.00","20,000.00","120,000.00",2011
BAJA CALIFORNIA,VILLA DE JESUS MARIA,Julio,CAPTURA,ALGA SE,"22,000.00","132,000.00","101,970.00",2008
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Julio,CAPTURA,ALGA GELIDIUM,843,843,"16,860.00",2013
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Julio,CAPTURA,ALGA GELIDIUM,"113,958.00","18,993.00","112,859.09",2012
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Julio,CAPTURA,ALGA GELIDIUM,"117,294.00","19,549.00","117,299.41",2011
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Julio,CAPTURA,ALGA GELIDIUM,"441,876.00","73,646.00","460,287.50",2006
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Julio,CAPTURA,ALGA GELIDIUM,"4,500.00","4,500.00","90,000.00",2012
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Julio,CAPTURA,ALGA GELIDIUM,"245,181.58","66,516.58","445,825.96",2014
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Julio,CAPTURA,ALGA GELIDIUM,"395,196.00","65,866.00","450,177.65",2013
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Julio,CAPTURA,ALGA GELIDIUM,"50,454.00","8,409.00","63,403.86",2007
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Julio,CAPTURA,ALGA GELIDIUM,"29,891.00","5,311.00","32,551.50",2009
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Julio,CAPTURA,ALGA GELIDIUM,"93,042.00","15,507.00","111,563.00",2010
BAJA CALIFORNIA SUR,SANTA ROSALIA,Julio,CAPTURA,ALGA GELIDIUM,"18,754.00","112,524.00","142,804.21",2008
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Julio,CAPTURA,ALGA GELIDIUM,"87,078.00","14,513.00","113,201.40",2006
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Julio,CAPTURA,ALGA GELIDIUM,"164,030.00","60,530.00","475,236.10",2007
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Julio,CAPTURA,ALGA GELIDIUM,"61,800.00","10,300.00","72,100.00",2010
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Julio,CAPTURA,ALGA GELIDIUM,"64,800.00","10,800.00","75,600.00",2012
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Julio,CAPTURA,ALGA GELIDIUM,"69,380.00","16,790.00","112,939.80",2014
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Julio,CAPTURA,ALGA GELIDIUM,"67,314.00","11,219.00","78,533.00",2013
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Julio,CAPTURA,ALGA GELIDIUM,"4,100.00","24,600.00","32,144.00",2008
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Julio,CAPTURA,ALGA GELIDIUM,"18,000.00","3,000.00","21,000.00",2011
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Julio,CAPTURA,ALGA GELIDIUM,"16,200.00","16,200.00","129,600.00",2009
BAJA CALIFORNIA,EL ROSARIO,Agosto,CAPTURA,ALGA GELIDIUM,"30,000.00","5,000.00","35,000.00",2010
BAJA CALIFORNIA,EL ROSARIO,Agosto,CAPTURA,ALGA GIGARTINA,"160,000.00","40,000.00","240,000.00",2011
BAJA CALIFORNIA,EL ROSARIO,Agosto,CAPTURA,ALGA GIGARTINA,"19,920.00","79,680.00","123,105.60",2008
BAJA CALIFORNIA,EL ROSARIO,Agosto,CAPTURA,ALGA GIGARTINA,"2,000.00","2,000.00","10,000.00",2009
BAJA CALIFORNIA,EL ROSARIO,Agosto,CAPTURA,ALGA GELIDIUM,"44,100.00","44,100.00","308,700.00",2009
BAJA CALIFORNIA,EL ROSARIO,Agosto,CAPTURA,ALGA GELIDIUM,"15,019.46","15,019.46","75,097.30",2013
BAJA CALIFORNIA,ENSENADA,Agosto,CAPTURA,ALGA SE,"7,800.00","7,800.00","39,000.00",2012
BAJA CALIFORNIA,ENSENADA,Agosto,CAPTURA,ALGA GELIDIUM,"81,685.00","490,110.00","653,733.22",2008
BAJA CALIFORNIA,ENSENADA,Agosto,CAPTURA,ALGA GELIDIUM,"28,068.00","4,678.00","32,746.00",2010
BAJA CALIFORNIA,ENSENADA,Agosto,CAPTURA,ALGA GELIDIUM,"43,582.18","12,332.18","84,829.41",2014
BAJA CALIFORNIA,ENSENADA,Agosto,CAPTURA,ALGA GELIDIUM,"130,548.00","21,758.00","161,661.94",2006
BAJA CALIFORNIA,ENSENADA,Agosto,CAPTURA,ALGA GELIDIUM,"1,956.00",326,"2,282.00",2011
BAJA CALIFORNIA,ENSENADA,Agosto,CAPTURA,ALGA GELIDIUM,"5,384.00","5,384.00","37,688.00",2012
BAJA CALIFORNIA,ENSENADA,Agosto,CAPTURA,ALGA GELIDIUM,"11,559.46","11,559.46","80,916.22",2013
BAJA CALIFORNIA,ENSENADA,Agosto,CAPTURA,ALGA GELIDIUM,"21,120.00","3,520.00","24,640.00",2009
BAJA CALIFORNIA,ISLA CEDROS,Agosto,CAPTURA,ALGA GELIDIUM,"327,115.12","70,670.12","522,134.00",2014
BAJA CALIFORNIA,ISLA CEDROS,Agosto,CAPTURA,ALGA GELIDIUM,"158,962.74","44,752.74","313,269.20",2013
BAJA CALIFORNIA,ISLA CEDROS,Agosto,CAPTURA,ALGA GELIDIUM,"285,000.00","60,000.00","453,150.00",2007
BAJA CALIFORNIA,ISLA CEDROS,Agosto,CAPTURA,ALGA GELIDIUM,"375,000.00","62,500.00","437,500.00",2012
BAJA CALIFORNIA,ISLA CEDROS,Agosto,CAPTURA,ALGA GELIDIUM,"324,000.00","54,000.00","378,000.00",2010
BAJA CALIFORNIA,ISLA CEDROS,Agosto,CAPTURA,ALGA GELIDIUM,"534,000.00","89,000.00","623,000.00",2011
BAJA CALIFORNIA,ISLA CEDROS,Agosto,CAPTURA,ALGA GELIDIUM,"422,400.00","70,400.00","492,800.00",2006
BAJA CALIFORNIA,ISLA CEDROS,Agosto,CAPTURA,ALGA GELIDIUM,"378,000.00","63,000.00","441,000.00",2009
BAJA CALIFORNIA,SAN QUINTIN,Agosto,CAPTURA,ALGA GELIDIUM,"58,995.40","12,745.40","87,784.66",2014
BAJA CALIFORNIA,SAN QUINTIN,Agosto,CAPTURA,ALGA GIGARTINA,"113,635.37","113,635.37","795,447.57",2013
BAJA CALIFORNIA,SAN QUINTIN,Agosto,CAPTURA,ALGA GIGARTINA,"228,000.00","57,000.00","342,000.00",2010
BAJA CALIFORNIA,SAN QUINTIN,Agosto,CAPTURA,ALGA GELIDIUM,"10,597.48","10,597.48","74,182.34",2013
BAJA CALIFORNIA,SAN QUINTIN,Agosto,CAPTURA,ALGA GELIDIUM,"8,275.00","8,275.00","26,198.05",2008
BAJA CALIFORNIA,SAN QUINTIN,Agosto,CAPTURA,ALGA GIGARTINA,"170,076.82","50,076.82","337,739.55",2014
BAJA CALIFORNIA,SAN QUINTIN,Agosto,CAPTURA,ALGA GIGARTINA,"222,800.00","55,700.00","334,200.00",2009
BAJA CALIFORNIA,SAN QUINTIN,Agosto,CAPTURA,ALGA GIGARTINA,"164,000.00","41,000.00","246,000.00",2012
BAJA CALIFORNIA,SAN QUINTIN,Agosto,CAPTURA,ALGA GELIDIUM,"7,814.00","7,814.00","54,698.00",2011
BAJA CALIFORNIA,SAN QUINTIN,Agosto,CAPTURA,ALGA GIGARTINA,"164,800.00","41,200.00","247,200.00",2007
BAJA CALIFORNIA,SAN QUINTIN,Agosto,CAPTURA,ALGA GELIDIUM,"24,000.00","4,000.00","28,000.00",2012
BAJA CALIFORNIA,SAN QUINTIN,Agosto,CAPTURA,ALGA GIGARTINA,"30,000.00","30,000.00","210,000.00",2012
BAJA CALIFORNIA,SAN QUINTIN,Agosto,CAPTURA,ALGA GIGARTINA,"20,000.00","20,000.00","120,000.00",2011
BAJA CALIFORNIA,SAN QUINTIN,Agosto,CAPTURA,ALGA GIGARTINA,"40,000.00","10,000.00","60,000.00",2006
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Agosto,CAPTURA,ALGA GELIDIUM,"92,022.00","15,337.00","97,035.73",2012
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Agosto,CAPTURA,ALGA GELIDIUM,"21,822.00","21,822.00","312,408.00",2013
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Agosto,CAPTURA,ALGA GELIDIUM,"271,410.00","45,235.00","283,623.45",2007
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Agosto,CAPTURA,ALGA GELIDIUM,"356,328.00","59,388.00","384,602.21",2013
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Agosto,CAPTURA,ALGA GELIDIUM,"301,500.00","50,250.00","351,750.00",2009
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Agosto,CAPTURA,ALGA GELIDIUM,"177,054.00","29,509.00","206,563.00",2010
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Agosto,CAPTURA,ALGA GELIDIUM,"101,589.79","55,064.79","372,572.16",2014
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Agosto,CAPTURA,ALGA GELIDIUM,"224,538.00","37,423.00","257,470.24",2006
BAJA CALIFORNIA SUR,SANTA ROSALIA,Agosto,CAPTURA,ALGA GELIDIUM,"3,033.00","3,033.00","16,347.87",2008
BAJA CALIFORNIA SUR,SANTA ROSALIA,Agosto,CAPTURA,ALGA GELIDIUM,"22,093.00","132,558.00","173,209.12",2008
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Agosto,CAPTURA,ALGA GELIDIUM,"46,200.00","7,700.00","53,900.00",2011
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Agosto,CAPTURA,ALGA GELIDIUM,"146,879.00","28,879.00","226,035.61",2007
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Agosto,CAPTURA,ALGA GELIDIUM,"47,700.00","7,950.00","63,600.00",2010
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Agosto,CAPTURA,ALGA GELIDIUM,"112,700.00","21,950.00","175,600.00",2009
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Agosto,CAPTURA,ALGA GELIDIUM,"72,930.00","12,155.00","106,380.00",2013
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Agosto,CAPTURA,ALGA GELIDIUM,"106,560.00","17,760.00","142,080.00",2006
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Agosto,CAPTURA,ALGA GELIDIUM,628,628,"4,615.80",2008
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Agosto,CAPTURA,ALGA GELIDIUM,"7,700.00","46,200.00","60,368.00",2008
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Agosto,CAPTURA,ALGA GELIDIUM,"71,992.14","17,422.14","126,817.29",2014
VERACRUZ,ALVARADO,Agosto,CAPTURA,ALGA GIGARTINA,800,800,"6,152.00",2014
BAJA CALIFORNIA,EL ROSARIO,Septiembre,CAPTURA,ALGA GIGARTINA,"20,000.00","80,000.00","123,600.00",2008
BAJA CALIFORNIA,EL ROSARIO,Septiembre,CAPTURA,ALGA PARDA,"62,107.61","62,107.61","62,107.61",2013
BAJA CALIFORNIA,EL ROSARIO,Septiembre,CAPTURA,ALGA GELIDIUM,"2,400.00","2,400.00","16,800.00",2006
BAJA CALIFORNIA,EL ROSARIO,Septiembre,CAPTURA,ALGA GIGARTINA,"120,000.00","30,000.00","150,000.00",2010
BAJA CALIFORNIA,ENSENADA,Septiembre,CAPTURA,ALGA PARDA,"29,192.53","29,192.53","145,962.67",2013
BAJA CALIFORNIA,ENSENADA,Septiembre,CAPTURA,ALGA GELIDIUM,"11,400.00","2,900.00","20,300.00",2009
BAJA CALIFORNIA,ENSENADA,Septiembre,CAPTURA,ALGA GELIDIUM,"74,400.00","12,400.00","86,800.00",2010
BAJA CALIFORNIA,ENSENADA,Septiembre,CAPTURA,ALGA GELIDIUM,"4,978.00","4,978.00","865,960.00",2011
BAJA CALIFORNIA,ENSENADA,Septiembre,CAPTURA,ALGA GELIDIUM,"63,357.87","13,687.87","90,371.96",2014
BAJA CALIFORNIA,ENSENADA,Septiembre,CAPTURA,ALGA GELIDIUM,"16,800.00","2,800.00","19,600.00",2012
BAJA CALIFORNIA,ENSENADA,Septiembre,CAPTURA,ALGA GELIDIUM,"21,747.46","21,747.46","152,232.21",2013
BAJA CALIFORNIA,ENSENADA,Septiembre,CAPTURA,ALGA PARDA,"45,235.00","12,735.00","76,409.99",2013
BAJA CALIFORNIA,ENSENADA,Septiembre,CAPTURA,ALGA GELIDIUM,"35,000.00","210,000.00","280,108.50",2008
