"","State/Province","Scientific name","County","Inicio","Fin","Titulo","Key","State"
"623","Baja California","Pseudochama exogyra","Punta Banda","1905","1905","Especimen preservado de Pseudochama exogyra en Baja California","Moluscos; Malacologia; Presencia; Punta Banda","Punta Banda"
"624","Yucatán","Pseudochama radians","Telchac","1963","1963","Especimen preservado de Pseudochama radians en Yucatán","Moluscos; Malacologia; Presencia; Telchac","Telchac"
"625","","Pseudomiltha floridana","",NA,NA,"Especimen preservado de Pseudomiltha floridana en ","Moluscos; Malacologia; Presencia; ",""
"626","Veracruz de Ignacio de la Llave","Psoronaias morini","San Cristobal",NA,NA,"Especimen preservado de Psoronaias morini en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; San Cristobal","San Cristobal"
"627","Campeche","Psoronaias semigranosa","","1982","1982","Especimen preservado de Psoronaias semigranosa en Campeche","Moluscos; Malacologia; Presencia; ",""
"628","Tabasco","Psoronaias semigranosa","","1905","1980","Especimen preservado de Psoronaias semigranosa en Tabasco","Moluscos; Malacologia; Presencia; ",""
"629","Veracruz de Ignacio de la Llave","Psoronaias semigranosa","",NA,NA,"Especimen preservado de Psoronaias semigranosa en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; ",""
"630","Veracruz de Ignacio de la Llave","Pteria colymbus","Nautla",NA,NA,"Especimen preservado de Pteria colymbus en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Nautla","Nautla"
"631","Veracruz de Ignacio de la Llave","Pteria colymbus","Tuxpan","1946","1946","Especimen preservado de Pteria colymbus en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Tuxpan","Tuxpan"
"632","Sinaloa","Pteria sterna","Los Cerritos","1957","1957","Especimen preservado de Pteria sterna en Sinaloa","Moluscos; Malacologia; Presencia; Los Cerritos","Los Cerritos"
"633","Sinaloa","Pteria sterna","Mazatlán",NA,NA,"Especimen preservado de Pteria sterna en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"634","Sinaloa","Pteria sterna","Teacapán","1955","1955","Especimen preservado de Pteria sterna en Sinaloa","Moluscos; Malacologia; Presencia; Teacapán","Teacapán"
"635","Tabasco","Pyganodon grandis","Rio De Los Ídolos",NA,NA,"Especimen preservado de Pyganodon grandis en Tabasco","Moluscos; Malacologia; Presencia; Rio De Los Ídolos","Rio De Los Ídolos"
"636","Tabasco","Pyganodon grandis","Rio González","1980","1980","Especimen preservado de Pyganodon grandis en Tabasco","Moluscos; Malacologia; Presencia; Rio González","Rio González"
"637","Veracruz de Ignacio de la Llave","Pyganodon grandis","El Mesón","1938","1938","Especimen preservado de Pyganodon grandis en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; El Mesón","El Mesón"
"638","Veracruz de Ignacio de la Llave","Pyganodon grandis","Laguna El Marqués","1905","1905","Especimen preservado de Pyganodon grandis en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Laguna El Marqués","Laguna El Marqués"
"639","Veracruz de Ignacio de la Llave","Rangia (Rangianella) flexuosa","Alvarado","1905","1905","Especimen preservado de Rangia (Rangianella) flexuosa en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Alvarado","Alvarado"
"640","Veracruz de Ignacio de la Llave","Rangia (Rangianella) flexuosa","Puerto México",NA,NA,"Especimen preservado de Rangia (Rangianella) flexuosa en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Puerto México","Puerto México"
"641","Campeche","Reata plicatella","Isla Del Carmen","1944","1944","Especimen preservado de Reata plicatella en Campeche","Moluscos; Malacologia; Presencia; Isla Del Carmen","Isla Del Carmen"
"642","Veracruz de Ignacio de la Llave","Reata plicatella","Tuxpan","1946","1946","Especimen preservado de Reata plicatella en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Tuxpan","Tuxpan"
"643","Guerrero","Reata undulata","Acapulco",NA,NA,"Especimen preservado de Reata undulata en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"644","Sonora","Reata undulata","Guaymas","1905","1905","Especimen preservado de Reata undulata en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"645","","Rochefortia compressa","",NA,NA,"Especimen preservado de Rochefortia compressa en ","Moluscos; Malacologia; Presencia; ",""
"646","Oaxaca","Sanguinolaria (Psammotella) bertini","Salina Cruz",NA,NA,"Especimen preservado de Sanguinolaria (Psammotella) bertini en Oaxaca","Moluscos; Malacologia; Presencia; Salina Cruz","Salina Cruz"
"647","Sinaloa","Sanguinolaria (Psammotella) bertini","Mazatlán",NA,NA,"Especimen preservado de Sanguinolaria (Psammotella) bertini en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"648","Guerrero","Sanguinolaria (Sanguinolaria) ovalis","Acapulco",NA,NA,"Especimen preservado de Sanguinolaria (Sanguinolaria) ovalis en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"649","Veracruz de Ignacio de la Llave","Sanguinolaria (Sanguinolaria) sanguinolenta","Antón Lizardo",NA,NA,"Especimen preservado de Sanguinolaria (Sanguinolaria) sanguinolenta en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Antón Lizardo","Antón Lizardo"
"650","Veracruz de Ignacio de la Llave","Sanguinolaria (Sanguinolaria) sanguinolenta","Boca del Río","1905","1905","Especimen preservado de Sanguinolaria (Sanguinolaria) sanguinolenta en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Boca del Río","Boca del Río"
"651","Veracruz de Ignacio de la Llave","Sanguinolaria (Sanguinolaria) sanguinolenta","Veracruz",NA,NA,"Especimen preservado de Sanguinolaria (Sanguinolaria) sanguinolenta en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"652","Guerrero","Sanguinolaria (Sanguinolaria) tellinoides","Acapulco","1905","1905","Especimen preservado de Sanguinolaria (Sanguinolaria) tellinoides en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"653","Guerrero","Sanguinolaria (Sanguinolaria) tellinoides","Zihuatanejo","1939","1939","Especimen preservado de Sanguinolaria (Sanguinolaria) tellinoides en Guerrero","Moluscos; Malacologia; Presencia; Zihuatanejo","Zihuatanejo"
"654","Oaxaca","Sanguinolaria (Sanguinolaria) tellinoides","Salina Cruz",NA,NA,"Especimen preservado de Sanguinolaria (Sanguinolaria) tellinoides en Oaxaca","Moluscos; Malacologia; Presencia; Salina Cruz","Salina Cruz"
"655","Sonora","Sanguinolaria (Sanguinolaria) tellinoides","Guaymas",NA,NA,"Especimen preservado de Sanguinolaria (Sanguinolaria) tellinoides en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"656","Campeche","Semele (Amphidesma) purpurascens","Isla Del Carmen","1905","1939","Especimen preservado de Semele (Amphidesma) purpurascens en Campeche","Moluscos; Malacologia; Presencia; Isla Del Carmen","Isla Del Carmen"
"657","Guerrero","Semele (Amphidesma) purpurascens","Acapulco",NA,NA,"Especimen preservado de Semele (Amphidesma) purpurascens en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"658","Guerrero","Semele (Amphidesma) venusta","Acapulco",NA,NA,"Especimen preservado de Semele (Amphidesma) venusta en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"659","Baja California","Semele (Semele) bicolor","",NA,NA,"Especimen preservado de Semele (Semele) bicolor en Baja California","Moluscos; Malacologia; Presencia; ",""
"660","Guerrero","Semele (Semele) bicolor","Acapulco","1938","1938","Especimen preservado de Semele (Semele) bicolor en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"661","Guerrero","Semele (Semele) bicolor","Zihuatanejo","1905","1905","Especimen preservado de Semele (Semele) bicolor en Guerrero","Moluscos; Malacologia; Presencia; Zihuatanejo","Zihuatanejo"
"662","Sinaloa","Semele (Semele) bicolor","Mazatlán",NA,NA,"Especimen preservado de Semele (Semele) bicolor en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"663","Baja California Sur","Semele (Semele) flavescens","La Paz",NA,NA,"Especimen preservado de Semele (Semele) flavescens en Baja California Sur","Moluscos; Malacologia; Presencia; La Paz","La Paz"
"664","Campeche","Semele proficua","Isla Del Carmen","1905","1905","Especimen preservado de Semele proficua en Campeche","Moluscos; Malacologia; Presencia; Isla Del Carmen","Isla Del Carmen"
"665","Veracruz de Ignacio de la Llave","Semele proficua","Veracruz",NA,NA,"Especimen preservado de Semele proficua en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"666","","Semele rosea","Golfo De California",NA,NA,"Especimen preservado de Semele rosea en ","Moluscos; Malacologia; Presencia; Golfo De California","Golfo De California"
"667","Sinaloa","Simomactra dolabriformis","Mazatlán",NA,NA,"Especimen preservado de Simomactra dolabriformis en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"668","Sinaloa","Solen (Solen) rostriformis","Mazatlán","1905","1905","Especimen preservado de Solen (Solen) rostriformis en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"669","Distrito Federal","Sphaerium (Sphaerium) striatinum","Xochimilco","1905","1905","Especimen preservado de Sphaerium (Sphaerium) striatinum en Distrito Federal","Moluscos; Malacologia; Presencia; Xochimilco","Xochimilco"
"670","México","Sphaerium (Sphaerium) striatinum","San Vicente","1942","1942","Especimen preservado de Sphaerium (Sphaerium) striatinum en México","Moluscos; Malacologia; Presencia; San Vicente","San Vicente"
"671","Oaxaca","Sphaerium (Sphaerium) striatinum","Tuxtepec","1905","1905","Especimen preservado de Sphaerium (Sphaerium) striatinum en Oaxaca","Moluscos; Malacologia; Presencia; Tuxtepec","Tuxtepec"
"672","Veracruz de Ignacio de la Llave","Sphaerium (Sphaerium) striatinum","Orizaba","1948","1948","Especimen preservado de Sphaerium (Sphaerium) striatinum en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Orizaba","Orizaba"
"673","Campeche","Spondylus americanus","Isla Del Carmen","1939","1939","Especimen preservado de Spondylus americanus en Campeche","Moluscos; Malacologia; Presencia; Isla Del Carmen","Isla Del Carmen"
"674","Veracruz de Ignacio de la Llave","Spondylus americanus","Alvarado","1905","1905","Especimen preservado de Spondylus americanus en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Alvarado","Alvarado"
"675","Veracruz de Ignacio de la Llave","Spondylus americanus","Veracruz",NA,NA,"Especimen preservado de Spondylus americanus en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"676","Baja California Sur","Spondylus calcifer","La Paz",NA,NA,"Especimen preservado de Spondylus calcifer en Baja California Sur","Moluscos; Malacologia; Presencia; La Paz","La Paz"
"677","Guerrero","Spondylus calcifer","Acapulco",NA,NA,"Especimen preservado de Spondylus calcifer en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"678","Veracruz de Ignacio de la Llave","Spondylus ictericus","Veracruz","1905","1905","Especimen preservado de Spondylus ictericus en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"679","Baja California Sur","Spondylus princeps","Frente A Isla Montserrat","1960","1960","Especimen preservado de Spondylus princeps en Baja California Sur","Moluscos; Malacologia; Presencia; Frente A Isla Montserrat","Frente A Isla Montserrat"
"680","Baja California Sur","Spondylus princeps","Isla Espíritu Santo",NA,NA,"Especimen preservado de Spondylus princeps en Baja California Sur","Moluscos; Malacologia; Presencia; Isla Espíritu Santo","Isla Espíritu Santo"
"681","Baja California Sur","Spondylus princeps","Isla Partida","1960","1960","Especimen preservado de Spondylus princeps en Baja California Sur","Moluscos; Malacologia; Presencia; Isla Partida","Isla Partida"
"682","Baja California Sur","Spondylus princeps","La Paz",NA,NA,"Especimen preservado de Spondylus princeps en Baja California Sur","Moluscos; Malacologia; Presencia; La Paz","La Paz"
"683","Guerrero","Spondylus princeps","Acapulco",NA,NA,"Especimen preservado de Spondylus princeps en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"684","Sonora","Spondylus princeps","Guaymas","1905","1905","Especimen preservado de Spondylus princeps en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"685","Sinaloa","Srophocardia megastropha","Mazatlán",NA,NA,"Especimen preservado de Srophocardia megastropha en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"686","Veracruz de Ignacio de la Llave","Strigilla (Pisostrigilla) mirabilis","Veracruz","1905","1905","Especimen preservado de Strigilla (Pisostrigilla) mirabilis en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"687","Guerrero","Strigilla (Strigilla) chroma","Acapulco",NA,NA,"Especimen preservado de Strigilla (Strigilla) chroma en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"688","Sinaloa","Strigilla (Strigilla) chroma","Mazatlán",NA,NA,"Especimen preservado de Strigilla (Strigilla) chroma en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"689","Sinaloa","Strigilla (Strigilla) cicercula","Mazatlán",NA,NA,"Especimen preservado de Strigilla (Strigilla) cicercula en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"690","Guerrero","Strigilla (Strigilla) dichotoma","Acapulco",NA,NA,"Especimen preservado de Strigilla (Strigilla) dichotoma en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"691","Oaxaca","Tagelus (Mesopleura) bourgeoisae","Salina Cruz","1905","1905","Especimen preservado de Tagelus (Mesopleura) bourgeoisae en Oaxaca","Moluscos; Malacologia; Presencia; Salina Cruz","Salina Cruz"
"692","Sinaloa","Tagelus (Mesopleura) bourgeoisae","Mazatlán","1905","1905","Especimen preservado de Tagelus (Mesopleura) bourgeoisae en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"693","Yucatán","Tagelus (Mesopleura) divisus","Telchac","1963","1963","Especimen preservado de Tagelus (Mesopleura) divisus en Yucatán","Moluscos; Malacologia; Presencia; Telchac","Telchac"
"694","Baja California","Tagelus (Mesopleura) subteres","Punta Banda",NA,NA,"Especimen preservado de Tagelus (Mesopleura) subteres en Baja California","Moluscos; Malacologia; Presencia; Punta Banda","Punta Banda"
"695","Guerrero","Tagelus (Tagelus) affinis","Acapulco","1905","1905","Especimen preservado de Tagelus (Tagelus) affinis en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"696","Oaxaca","Tagelus (Tagelus) affinis","Salina Cruz","1905","1961","Especimen preservado de Tagelus (Tagelus) affinis en Oaxaca","Moluscos; Malacologia; Presencia; Salina Cruz","Salina Cruz"
"697","Sonora","Tagelus (Tagelus) affinis","","1905","1905","Especimen preservado de Tagelus (Tagelus) affinis en Sonora","Moluscos; Malacologia; Presencia; ",""
"698","","Tagelus (Tagelus) californianus","",NA,NA,"Especimen preservado de Tagelus (Tagelus) californianus en ","Moluscos; Malacologia; Presencia; ",""
"699","Baja California","Tagelus (Tagelus) californianus","Ensenada","1963","1963","Especimen preservado de Tagelus (Tagelus) californianus en Baja California","Moluscos; Malacologia; Presencia; Ensenada","Ensenada"
"700","Baja California Sur","Tagelus (Tagelus) californianus","La Paz",NA,NA,"Especimen preservado de Tagelus (Tagelus) californianus en Baja California Sur","Moluscos; Malacologia; Presencia; La Paz","La Paz"
"701","Sinaloa","Tagelus (Tagelus) californianus","Mazatlán","1957","1957","Especimen preservado de Tagelus (Tagelus) californianus en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"702","Sonora","Tagelus (Tagelus) californianus","Guaymas",NA,NA,"Especimen preservado de Tagelus (Tagelus) californianus en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"703","","Tagelus (Tagelus) plebeius","",NA,NA,"Especimen preservado de Tagelus (Tagelus) plebeius en ","Moluscos; Malacologia; Presencia; ",""
"704","Veracruz de Ignacio de la Llave","Tagelus (Tagelus) plebeius","Tuxpan",NA,NA,"Especimen preservado de Tagelus (Tagelus) plebeius en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Tuxpan","Tuxpan"
"705","Campeche","Tellidora cristata","Campeche",NA,NA,"Especimen preservado de Tellidora cristata en Campeche","Moluscos; Malacologia; Presencia; Campeche","Campeche"
"706","Veracruz de Ignacio de la Llave","Tellidora cristata","Veracruz",NA,NA,"Especimen preservado de Tellidora cristata en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"707","Campeche","Tellina (Angulus) mera","Campeche",NA,NA,"Especimen preservado de Tellina (Angulus) mera en Campeche","Moluscos; Malacologia; Presencia; Campeche","Campeche"
"708","Veracruz de Ignacio de la Llave","Tellina (Angulus) mera","Veracruz",NA,NA,"Especimen preservado de Tellina (Angulus) mera en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"709","Guerrero","Tellina (Angulus) meropsis","Acapulco","1905","1905","Especimen preservado de Tellina (Angulus) meropsis en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"710","Sonora","Tellina (Angulus) meropsis","Guaymas","1905","1905","Especimen preservado de Tellina (Angulus) meropsis en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"711","Guerrero","Tellina (Angulus) modesta","Acapulco","1905","1905","Especimen preservado de Tellina (Angulus) modesta en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"712","Sinaloa","Tellina (Angulus) tumbezensis","Mazatlán","1905","1905","Especimen preservado de Tellina (Angulus) tumbezensis en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"713","Campeche","Tellina (Eurytellina) alternata","Isla Del Carmen","1905","1905","Especimen preservado de Tellina (Eurytellina) alternata en Campeche","Moluscos; Malacologia; Presencia; Isla Del Carmen","Isla Del Carmen"
"714","Veracruz de Ignacio de la Llave","Tellina (Eurytellina) angulosa","Tuxpan","1905","1905","Especimen preservado de Tellina (Eurytellina) angulosa en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Tuxpan","Tuxpan"
"715","Campeche","Tellina (Eurytellina) lineata","Isla Del Carmen","1939","1939","Especimen preservado de Tellina (Eurytellina) lineata en Campeche","Moluscos; Malacologia; Presencia; Isla Del Carmen","Isla Del Carmen"
"716","Veracruz de Ignacio de la Llave","Tellina (Eurytellina) lineata","Veracruz","1939","1939","Especimen preservado de Tellina (Eurytellina) lineata en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"717","Guerrero","Tellina (Eurytellina) mantaensis","Acapulco",NA,NA,"Especimen preservado de Tellina (Eurytellina) mantaensis en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"718","Sinaloa","Tellina (Eurytellina) rubescens","Mazatlán",NA,NA,"Especimen preservado de Tellina (Eurytellina) rubescens en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"719","Guerrero","Tellina (Eurytellina) simulans","Mazatlán",NA,NA,"Especimen preservado de Tellina (Eurytellina) simulans en Guerrero","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"720","Guerrero","Tellina (Eurytellina) simulans","Zihuatanejo",NA,NA,"Especimen preservado de Tellina (Eurytellina) simulans en Guerrero","Moluscos; Malacologia; Presencia; Zihuatanejo","Zihuatanejo"
"721","Sonora","Tellina (Eurytellina) simulans","Guaymas","1905","1905","Especimen preservado de Tellina (Eurytellina) simulans en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"722","Guerrero","Tellina (Laciolina) ochracea","Acapulco","1905","1905","Especimen preservado de Tellina (Laciolina) ochracea en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"723","Veracruz de Ignacio de la Llave","Tellina (Merisca) aequistriata","Veracruz",NA,NA,"Especimen preservado de Tellina (Merisca) aequistriata en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"724","Sinaloa","Tellina (Merisca) cristallina","Mazatlán",NA,NA,"Especimen preservado de Tellina (Merisca) cristallina en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"725","Baja California","Tellina (Phyllodella) insculpta","","1905","1905","Especimen preservado de Tellina (Phyllodella) insculpta en Baja California","Moluscos; Malacologia; Presencia; ",""
"726","Colima","Tellina (Phyllodella) insculpta","Manzanillo",NA,NA,"Especimen preservado de Tellina (Phyllodella) insculpta en Colima","Moluscos; Malacologia; Presencia; Manzanillo","Manzanillo"
"727","Baja California Sur","Tellina (Phyllodina) fluctigera","Isla Espíritu Santo","1960","1960","Especimen preservado de Tellina (Phyllodina) fluctigera en Baja California Sur","Moluscos; Malacologia; Presencia; Isla Espíritu Santo","Isla Espíritu Santo"
"728","Campeche","Tellina (Phyllodina) squamifera","Campeche",NA,NA,"Especimen preservado de Tellina (Phyllodina) squamifera en Campeche","Moluscos; Malacologia; Presencia; Campeche","Campeche"
"729","Sinaloa","Tellina (Scissula) iris","Mazatlán",NA,NA,"Especimen preservado de Tellina (Scissula) iris en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"730","Quintana Roo","Tellina (Tellina) radiata","",NA,NA,"Especimen preservado de Tellina (Tellina) radiata en Quintana Roo","Moluscos; Malacologia; Presencia; ",""
"731","Veracruz de Ignacio de la Llave","Tellina (Tellina) radiata","Isla Verde","1905","1905","Especimen preservado de Tellina (Tellina) radiata en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Isla Verde","Isla Verde"
"732","Veracruz de Ignacio de la Llave","Tellina (Tellina) radiata","Veracruz","1905","1905","Especimen preservado de Tellina (Tellina) radiata en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"733","Guerrero","Tellina (Tellinella) cumingii","Acapulco","1905","1905","Especimen preservado de Tellina (Tellinella) cumingii en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"734","Veracruz de Ignacio de la Llave","Tellina (Tellinella) listeri","Veracruz",NA,NA,"Especimen preservado de Tellina (Tellinella) listeri en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"735","Colima","Tellina (Tellinidella) purpurea","Manzanillo","1905","1905","Especimen preservado de Tellina (Tellinidella) purpurea en Colima","Moluscos; Malacologia; Presencia; Manzanillo","Manzanillo"
"736","Guerrero","Tellina (Tellinidella) purpurea","Acapulco","1905","1939","Especimen preservado de Tellina (Tellinidella) purpurea en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"737","Guerrero","Tellina (Tellinidella) purpurea","Zihuatanejo","1905","1905","Especimen preservado de Tellina (Tellinidella) purpurea en Guerrero","Moluscos; Malacologia; Presencia; Zihuatanejo","Zihuatanejo"
"738","Sinaloa","Tellina (Tellinidella) purpurea","Mazatlán","1905","1905","Especimen preservado de Tellina (Tellinidella) purpurea en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"739","","Timoclea pygmaea","",NA,NA,"Especimen preservado de Timoclea pygmaea en ","Moluscos; Malacologia; Presencia; ",""
"740","Guerrero","Tivela (Planitivela) planulata","Acapulco","1905","1978","Especimen preservado de Tivela (Planitivela) planulata en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"741","Sinaloa","Tivela (Planitivela) planulata","Mazatlán",NA,NA,"Especimen preservado de Tivela (Planitivela) planulata en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"742","Guerrero","Tivela (Tivela) argentina","Zihuatanejo","1905","1905","Especimen preservado de Tivela (Tivela) argentina en Guerrero","Moluscos; Malacologia; Presencia; Zihuatanejo","Zihuatanejo"
"743","Sinaloa","Tivela (Tivela) argentina","Mazatlán","1905","1905","Especimen preservado de Tivela (Tivela) argentina en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"744","Guerrero","Tivela (Tivela) byronensis","Acapulco","1905","1962","Especimen preservado de Tivela (Tivela) byronensis en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"745","Sinaloa","Tivela (Tivela) byronensis","Mazatlán",NA,NA,"Especimen preservado de Tivela (Tivela) byronensis en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"746","Sinaloa","Tivela (Tivela) delessertii","Mazatlán",NA,NA,"Especimen preservado de Tivela (Tivela) delessertii en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"747","Guerrero","Tivela (Tivela) hindsii","Acapulco","1905","1905","Especimen preservado de Tivela (Tivela) hindsii en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"748","Sinaloa","Tivela (Tivela) hindsii","Mazatlán",NA,NA,"Especimen preservado de Tivela (Tivela) hindsii en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"749","Tamaulipas","Tivela abaconis","Tampico","1905","1905","Especimen preservado de Tivela abaconis en Tamaulipas","Moluscos; Malacologia; Presencia; Tampico","Tampico"
"750","Campeche","Trachycardium (Dallocardia) muricatum","Isla Del Carmen",NA,NA,"Especimen preservado de Trachycardium (Dallocardia) muricatum en Campeche","Moluscos; Malacologia; Presencia; Isla Del Carmen","Isla Del Carmen"
"751","Tamaulipas","Trachycardium (Dallocardia) muricatum","Tampico","1905","1905","Especimen preservado de Trachycardium (Dallocardia) muricatum en Tamaulipas","Moluscos; Malacologia; Presencia; Tampico","Tampico"
"752","Veracruz de Ignacio de la Llave","Trachycardium (Dallocardia) muricatum","Alvarado",NA,NA,"Especimen preservado de Trachycardium (Dallocardia) muricatum en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Alvarado","Alvarado"
"753","Veracruz de Ignacio de la Llave","Trachycardium (Dallocardia) muricatum","Veracruz","1905","1905","Especimen preservado de Trachycardium (Dallocardia) muricatum en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"754","Yucatán","Trachycardium (Dallocardia) muricatum","Progreso","1963","1965","Especimen preservado de Trachycardium (Dallocardia) muricatum en Yucatán","Moluscos; Malacologia; Presencia; Progreso","Progreso"
"755","Yucatán","Trachycardium (Dallocardia) muricatum","Sisal","1963","1963","Especimen preservado de Trachycardium (Dallocardia) muricatum en Yucatán","Moluscos; Malacologia; Presencia; Sisal","Sisal"
"756","","Trachycardium (Dallocardia) senticosum","",NA,NA,"Especimen preservado de Trachycardium (Dallocardia) senticosum en ","Moluscos; Malacologia; Presencia; ",""
"757","Colima","Trachycardium (Dallocardia) senticosum","Manzanillo",NA,NA,"Especimen preservado de Trachycardium (Dallocardia) senticosum en Colima","Moluscos; Malacologia; Presencia; Manzanillo","Manzanillo"
"758","Guerrero","Trachycardium (Dallocardia) senticosum","Acapulco","1939","1939","Especimen preservado de Trachycardium (Dallocardia) senticosum en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"759","Sinaloa","Trachycardium (Dallocardia) senticosum","Mazatlán",NA,NA,"Especimen preservado de Trachycardium (Dallocardia) senticosum en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"760","Baja California","Trachycardium (Mexicardia) panamense","Ensenada","1963","1963","Especimen preservado de Trachycardium (Mexicardia) panamense en Baja California","Moluscos; Malacologia; Presencia; Ensenada","Ensenada"
