"","State/Province","Scientific name","County","Inicio","Fin","Titulo","Key","State"
"520","Tamaulipas","Nodipecten nodosus","Tampico",NA,NA,"Especimen preservado de Nodipecten nodosus en Tamaulipas","Moluscos; Malacologia; Presencia; Tampico","Tampico"
"521","","Nodipecten subnodosus","Golfo De California",NA,NA,"Especimen preservado de Nodipecten subnodosus en ","Moluscos; Malacologia; Presencia; Golfo De California","Golfo De California"
"522","Baja California","Nodipecten subnodosus","Ensenada","1963","1963","Especimen preservado de Nodipecten subnodosus en Baja California","Moluscos; Malacologia; Presencia; Ensenada","Ensenada"
"523","Sinaloa","Nodipecten subnodosus","Mazatlán",NA,NA,"Especimen preservado de Nodipecten subnodosus en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"524","Sinaloa","Nodipecten subnodosus","Piaxtla","1957","1957","Especimen preservado de Nodipecten subnodosus en Sinaloa","Moluscos; Malacologia; Presencia; Piaxtla","Piaxtla"
"525","Sonora","Nodipecten subnodosus","Guaymas",NA,NA,"Especimen preservado de Nodipecten subnodosus en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"526","Veracruz de Ignacio de la Llave","Noetia (Eontia) ponderosa","Tuxpan","1905","1946","Especimen preservado de Noetia (Eontia) ponderosa en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Tuxpan","Tuxpan"
"527","Yucatán","Noetia (Eontia) ponderosa","Progreso",NA,NA,"Especimen preservado de Noetia (Eontia) ponderosa en Yucatán","Moluscos; Malacologia; Presencia; Progreso","Progreso"
"528","Colima","Noetia (Noetia) reversa","Manzanillo",NA,NA,"Especimen preservado de Noetia (Noetia) reversa en Colima","Moluscos; Malacologia; Presencia; Manzanillo","Manzanillo"
"529","Guerrero","Noetia (Noetia) reversa","Acapulco","1905","1978","Especimen preservado de Noetia (Noetia) reversa en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"530","Sinaloa","Noetia (Noetia) reversa","Mazatlán",NA,NA,"Especimen preservado de Noetia (Noetia) reversa en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"531","Sonora","Noetia (Noetia) reversa","Guaymas",NA,NA,"Especimen preservado de Noetia (Noetia) reversa en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"532","Sinaloa","Nuculana (Jupiteria) penderi","Mazatlán",NA,NA,"Especimen preservado de Nuculana (Jupiteria) penderi en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"533","Sonora","Nuculana (Nucula) costellata","Guaymas","1960","1960","Especimen preservado de Nuculana (Nucula) costellata en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"534","Baja California Sur","Nuculana (Nucula) marella","Bahía Espíritu Santo",NA,NA,"Especimen preservado de Nuculana (Nucula) marella en Baja California Sur","Moluscos; Malacologia; Presencia; Bahía Espíritu Santo","Bahía Espíritu Santo"
"535","Sonora","Nuculana (Nucula) marella","Guaymas","1961","1961","Especimen preservado de Nuculana (Nucula) marella en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"536","Sonora","Nuculana (Saccella) fastigata","Guaymas",NA,NA,"Especimen preservado de Nuculana (Saccella) fastigata en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"537","Baja California","Nuculana (Saccella) taphria","",NA,NA,"Especimen preservado de Nuculana (Saccella) taphria en Baja California","Moluscos; Malacologia; Presencia; ",""
