"","State/Province","Scientific name","County","Inicio","Fin","Titulo","Key"
"361","Campeche","Scorpaena brasiliensis","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Scorpaena brasiliensis en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"362","Campeche","Scorpaena calcarata","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Scorpaena calcarata en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"363","Campeche","Scorpaena dispar","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Scorpaena dispar en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"364","Campeche","Scorpaena grandicornis","Frente A San Julian, Laguna De Términos","1979","1979","Especimen preservado de Scorpaena grandicornis en Campeche","Peces; Ictiologia; Presencia; Frente A San Julian, Laguna De Términos"
"365","Campeche","Scorpaena plumieri","Boca De Puerto Real","1985","1985","Especimen preservado de Scorpaena plumieri en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real"
"366","Campeche","Selar crumenophthalmus","Peninsula El Palmar","1978","1978","Especimen preservado de Selar crumenophthalmus en Campeche","Peces; Ictiologia; Presencia; Peninsula El Palmar"
"367","Campeche","Selene setapinnis","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Selene setapinnis en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"368","Campeche","Selene vomer","Sonda De Campeche Frente A La Laguna De Términos","1980","1980","Especimen preservado de Selene vomer en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"369","Campeche","Serranus atrobranchus","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Serranus atrobranchus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"370","Campeche","Serranus phoebe","Sonda De Campeche","1983","1983","Especimen preservado de Serranus phoebe en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche"
"371","Campeche","Serranus psittacinus","Isla Del Carmen, Punta Arboleda","2007","2007","Especimen preservado de Serranus psittacinus en Campeche","Peces; Ictiologia; Presencia; Isla Del Carmen, Punta Arboleda"
"372","Campeche","Sphoeroides dorsalis","Sonda De Campeche Frente A La Laguna De Términos","1978","1984","Especimen preservado de Sphoeroides dorsalis en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"373","Campeche","Sphoeroides greeleyi","Pom- Atasa Y Palizada El Este, Laguna De Términos","1977","1977","Especimen preservado de Sphoeroides greeleyi en Campeche","Peces; Ictiologia; Presencia; Pom- Atasa Y Palizada El Este, Laguna De Términos"
"374","Campeche","Sphoeroides greeleyi","Punta Zacatal Y Estero Pargo, Laguna De Términos","1979","1979","Especimen preservado de Sphoeroides greeleyi en Campeche","Peces; Ictiologia; Presencia; Punta Zacatal Y Estero Pargo, Laguna De Términos"
"375","Campeche","Sphoeroides marmoratus","Boca De Puerto Real, Laguna De Términos","1979","1979","Especimen preservado de Sphoeroides marmoratus en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real, Laguna De Términos"
"376","Campeche","Sphoeroides marmoratus","Punta Del Rastro, Laguna De Términos","1977","1977","Especimen preservado de Sphoeroides marmoratus en Campeche","Peces; Ictiologia; Presencia; Punta Del Rastro, Laguna De Términos"
"377","Campeche","Sphoeroides nephelus","Laguna De Términos","1980","1980","Especimen preservado de Sphoeroides nephelus en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"378","Campeche","Sphoeroides nephelus","Sonda De Campeche Frente A La Laguna De Términos","1986","1986","Especimen preservado de Sphoeroides nephelus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"379","Campeche","Sphoeroides pachygaster","Estero Pargo, Laguna De Términos","1981","1981","Especimen preservado de Sphoeroides pachygaster en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"380","Campeche","Sphoeroides spengleri","Boca De Puerto Real, Laguna De Términos","1981","1981","Especimen preservado de Sphoeroides spengleri en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real, Laguna De Términos"
"381","Campeche","Sphoeroides spengleri","Estero Pargo, Laguna De Términos","1979","1979","Especimen preservado de Sphoeroides spengleri en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"382","Campeche","Sphoeroides testudineus","Punta Del Rastro, Laguna De Términos","1979","1979","Especimen preservado de Sphoeroides testudineus en Campeche","Peces; Ictiologia; Presencia; Punta Del Rastro, Laguna De Términos"
"383","Campeche","Sphoeroides testudineus","Punta Gorda, Laguna De Términos","1977","1977","Especimen preservado de Sphoeroides testudineus en Campeche","Peces; Ictiologia; Presencia; Punta Gorda, Laguna De Términos"
"384","Campeche","Sphyraena guachancho","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Sphyraena guachancho en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"385","Campeche","Sphyrna tiburo","Puerto Campeche","2006","2006","Especimen preservado de Sphyrna tiburo en Campeche","Peces; Ictiologia; Presencia; Puerto Campeche"
"386","Campeche","Sphyrna zygaena","Bahía De Campeche","1962","1962","Especimen preservado de Sphyrna zygaena en Campeche","Peces; Ictiologia; Presencia; Bahía De Campeche"
"387","Campeche","Stegastes acapulcoensis","Isla Pájaros En Poza Marea","2000","2000","Especimen preservado de Stegastes acapulcoensis en Campeche","Peces; Ictiologia; Presencia; Isla Pájaros En Poza Marea"
"388","Campeche","Stellifer colonensis","Sonda De Campeche Frente A La Laguna De Términos","1980","1980","Especimen preservado de Stellifer colonensis en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"389","Campeche","Stellifer lanceolatus","Boca Del Carmen, Sonda De Campeche","2001","2001","Especimen preservado de Stellifer lanceolatus en Campeche","Peces; Ictiologia; Presencia; Boca Del Carmen, Sonda De Campeche"
"390","Campeche","Stellifer lanceolatus","Sonda De Campeche","2008","2008","Especimen preservado de Stellifer lanceolatus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche"
"391","Campeche","Stenotomus caprinus","Sonda De Campeche","2001","2001","Especimen preservado de Stenotomus caprinus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche"
"392","Campeche","Stephanolepis hispidus","Boca De Puerto Real, Laguna De Términos","1977","1977","Especimen preservado de Stephanolepis hispidus en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real, Laguna De Términos"
"393","Campeche","Stephanolepis hispidus","Entre Punta Gorda Y San Julian, Laguna De Términos","1979","1979","Especimen preservado de Stephanolepis hispidus en Campeche","Peces; Ictiologia; Presencia; Entre Punta Gorda Y San Julian, Laguna De Términos"
"394","Campeche","Stephanolepis hispidus","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Stephanolepis hispidus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"395","Campeche","Strongylura marina","Punta Gorda, Laguna De Términos","1979","1979","Especimen preservado de Strongylura marina en Campeche","Peces; Ictiologia; Presencia; Punta Gorda, Laguna De Términos"
"396","Campeche","Syacium gunteri","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Syacium gunteri en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"397","Campeche","Syacium micrurum","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Syacium micrurum en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"398","Campeche","Syacium papillesum","Sonda De Campeche Frente A La Laguna De Términos","1985","1985","Especimen preservado de Syacium papillesum en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"399","Campeche","Symphurus civitatium","Laguna De Términos","1978","1983","Especimen preservado de Symphurus civitatium en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"400","Campeche","Symphurus parvus","Estero Pargo, Laguna De Términos","1981","1981","Especimen preservado de Symphurus parvus en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"401","Campeche","Symphurus pelicanus","Frente A Boca De Atasta, Laguna De Términos","1979","1979","Especimen preservado de Symphurus pelicanus en Campeche","Peces; Ictiologia; Presencia; Frente A Boca De Atasta, Laguna De Términos"
"402","Campeche","Symphurus plagiusa","Sonda De Campeche","1983","1983","Especimen preservado de Symphurus plagiusa en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche"
"403","Campeche","Synagrops spinosus","Laguna De Términos","2008","2008","Especimen preservado de Synagrops spinosus en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"404","Campeche","Synagrops spinosus","Sonda De Campeche Frente A La Laguna De Términos","1983","1983","Especimen preservado de Synagrops spinosus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"405","Campeche","Syngnathus floridae","Estero Pargo, Laguna De Términos","1984","1984","Especimen preservado de Syngnathus floridae en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"406","Campeche","Syngnathus louisianae","El Cayo, Laguna De Términos","2009","2009","Especimen preservado de Syngnathus louisianae en Campeche","Peces; Ictiologia; Presencia; El Cayo, Laguna De Términos"
"407","Campeche","Syngnathus louisianae","Estero Pargo, Laguna De Términos","1981","1981","Especimen preservado de Syngnathus louisianae en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"408","Campeche","Syngnathus makaxi","Estero Pargo, Laguna De Términos","1977","1977","Especimen preservado de Syngnathus makaxi en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"409","Campeche","Syngnathus makaxi","Laguna Pan-Lau","1977","1977","Especimen preservado de Syngnathus makaxi en Campeche","Peces; Ictiologia; Presencia; Laguna Pan-Lau"
"410","Campeche","Syngnathus pelagicus","Boca De Puerto Real, Laguna De Términos","1979","1979","Especimen preservado de Syngnathus pelagicus en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real, Laguna De Términos"
"411","Campeche","Syngnathus pelagicus","Laguna De Términos","1977","1977","Especimen preservado de Syngnathus pelagicus en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"412","Campeche","Syngnathus scovelli","Palizada Boca Chica, Laguna De Términos","1986","1986","Especimen preservado de Syngnathus scovelli en Campeche","Peces; Ictiologia; Presencia; Palizada Boca Chica, Laguna De Términos"
"413","Campeche","Synodus foetens","Boca De Atasta, Laguna De Términos","1979","1979","Especimen preservado de Synodus foetens en Campeche","Peces; Ictiologia; Presencia; Boca De Atasta, Laguna De Términos"
"414","Campeche","Synodus foetens","Punta Caracol, Laguna De Términos","1978","1978","Especimen preservado de Synodus foetens en Campeche","Peces; Ictiologia; Presencia; Punta Caracol, Laguna De Términos"
"415","Campeche","Synodus foetens","Sonda De Campeche","1976","1976","Especimen preservado de Synodus foetens en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche"
"416","Campeche","Synodus intermedius","Sonda De Campeche Frente A La Laguna De Términos","1981","1981","Especimen preservado de Synodus intermedius en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"417","Campeche","Synodus poeyi","Sonda De Campeche","1983","1983","Especimen preservado de Synodus poeyi en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche"
"418","Campeche","Thorichthys aureus","Sistema Palizada, Laguna De Términos","1986","1986","Especimen preservado de Thorichthys aureus en Campeche","Peces; Ictiologia; Presencia; Sistema Palizada, Laguna De Términos"
"419","Campeche","Thorichthys callolepis","Sistema Palizada, Boca Chica, Laguna De Términos","1984","1985","Especimen preservado de Thorichthys callolepis en Campeche","Peces; Ictiologia; Presencia; Sistema Palizada, Boca Chica, Laguna De Términos"
"420","Campeche","Trachinocephalus myops","Frente A Selva, Playa Campeche","2000","2000","Especimen preservado de Trachinocephalus myops en Campeche","Peces; Ictiologia; Presencia; Frente A Selva, Playa Campeche"
"421","Campeche","Trachinotus carolinus","Laguna De Términos","2008","2008","Especimen preservado de Trachinotus carolinus en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"422","Campeche","Trachinotus falcatus","Boca De Puerto Real, Laguna De Términos","1977","1977","Especimen preservado de Trachinotus falcatus en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real, Laguna De Términos"
"423","Campeche","Trachinotus falcatus","La Manigua, Laguna De Términos","1978","1978","Especimen preservado de Trachinotus falcatus en Campeche","Peces; Ictiologia; Presencia; La Manigua, Laguna De Términos"
"424","Campeche","Trachinotus falcatus","Punta El Rastro, Laguna De Términos","1979","1979","Especimen preservado de Trachinotus falcatus en Campeche","Peces; Ictiologia; Presencia; Punta El Rastro, Laguna De Términos"
"425","Campeche","Trachurus lathami","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Trachurus lathami en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"426","Campeche","Trichiurus lepturus","Boca De Atasta, Laguna De Términos","1977","1977","Especimen preservado de Trichiurus lepturus en Campeche","Peces; Ictiologia; Presencia; Boca De Atasta, Laguna De Términos"
"427","Campeche","Trichiurus lepturus","Entre Boca Nueva Y Cd. Del Carmen","1977","1977","Especimen preservado de Trichiurus lepturus en Campeche","Peces; Ictiologia; Presencia; Entre Boca Nueva Y Cd. Del Carmen"
"428","Campeche","Trichopsetta ventralis","Sonda De Campeche","1978","2008","Especimen preservado de Trichopsetta ventralis en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche"
"429","Campeche","Trinectes maculatus","Frente Isla Del Carmen","1977","1978","Especimen preservado de Trinectes maculatus en Campeche","Peces; Ictiologia; Presencia; Frente Isla Del Carmen"
"430","Campeche","Trinectes maculatus","Laguna Del Este, Laguna De Términos","1978","1978","Especimen preservado de Trinectes maculatus en Campeche","Peces; Ictiologia; Presencia; Laguna Del Este, Laguna De Términos"
"431","Campeche","Tylosurus crocodilus crocodilus","Puerto Real, Laguna De Términos","1979","1979","Especimen preservado de Tylosurus crocodilus crocodilus en Campeche","Peces; Ictiologia; Presencia; Puerto Real, Laguna De Términos"
"432","Campeche","Upeneus parvus","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Upeneus parvus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"433","Campeche","Urobatis jamaicensis","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Urobatis jamaicensis en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"434","Campeche","Urophycis cirrata","Sonda De Campeche Frente A La Laguna De Términos","1983","2008","Especimen preservado de Urophycis cirrata en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"435","Campeche","Vieja fenestrata","Desembocadura Del Río Candelaria Laguna De Palau, Laguna De Términos","1973","1973","Especimen preservado de Vieja fenestrata en Campeche","Peces; Ictiologia; Presencia; Desembocadura Del Río Candelaria Laguna De Palau, Laguna De Términos"
"436","Campeche","Vieja synspila","Río Palizada","1986","1986","Especimen preservado de Vieja synspila en Campeche","Peces; Ictiologia; Presencia; Río Palizada"
"437","Chiapas","Achirus klunzingeri","Pijijiapan","1972","1972","Especimen preservado de Achirus klunzingeri en Chiapas","Peces; Ictiologia; Presencia; Pijijiapan"
"438","Chiapas","Achirus scutum","Pijijiapan","1983","1983","Especimen preservado de Achirus scutum en Chiapas","Peces; Ictiologia; Presencia; Pijijiapan"
"439","Chiapas","Alopias pelagicus","Puerto Madero","2001","2001","Especimen preservado de Alopias pelagicus en Chiapas","Peces; Ictiologia; Presencia; Puerto Madero"
"440","Chiapas","Ariosoma gilberti","Golfo De Tehuantepec","1981","1981","Especimen preservado de Ariosoma gilberti en Chiapas","Peces; Ictiologia; Presencia; Golfo De Tehuantepec"
"441","Chiapas","Bagre panamensis","Embarcadero Las Garzas, Frente A Puerto Madero","2010","2010","Especimen preservado de Bagre panamensis en Chiapas","Peces; Ictiologia; Presencia; Embarcadero Las Garzas, Frente A Puerto Madero"
"442","Chiapas","Bagre pinnimaculatus","Puerto Madero","1991","1991","Especimen preservado de Bagre pinnimaculatus en Chiapas","Peces; Ictiologia; Presencia; Puerto Madero"
"443","Chiapas","Batrachoides waltersi","El Zapotal","1967","1967","Especimen preservado de Batrachoides waltersi en Chiapas","Peces; Ictiologia; Presencia; El Zapotal"
"444","Chiapas","Batrachoides waltersi","Frente A La Tapada","1983","1983","Especimen preservado de Batrachoides waltersi en Chiapas","Peces; Ictiologia; Presencia; Frente A La Tapada"
"445","Chiapas","Carcharhinus falciformis","Puerto Madero","2001","2001","Especimen preservado de Carcharhinus falciformis en Chiapas","Peces; Ictiologia; Presencia; Puerto Madero"
"446","Chiapas","Carcharhinus leucas","Puerto Madero","2000","2000","Especimen preservado de Carcharhinus leucas en Chiapas","Peces; Ictiologia; Presencia; Puerto Madero"
"447","Chiapas","Carcharhinus limbatus","Puerto Madero","2000","2000","Especimen preservado de Carcharhinus limbatus en Chiapas","Peces; Ictiologia; Presencia; Puerto Madero"
"448","Chiapas","Carcharhinus obscurus","Puerto Madero","2000","2000","Especimen preservado de Carcharhinus obscurus en Chiapas","Peces; Ictiologia; Presencia; Puerto Madero"
"449","Chiapas","Cathorops dasycephalus","Puerto Madero","2001","2001","Especimen preservado de Cathorops dasycephalus en Chiapas","Peces; Ictiologia; Presencia; Puerto Madero"
"450","Chiapas","Centropomus armatus","Pijijiapan","1972","1972","Especimen preservado de Centropomus armatus en Chiapas","Peces; Ictiologia; Presencia; Pijijiapan"
"451","Chiapas","Centropomus unionensis","Pijijiapan","1972","1972","Especimen preservado de Centropomus unionensis en Chiapas","Peces; Ictiologia; Presencia; Pijijiapan"
"452","Chiapas","Haemulon scudderi","Golfo De Tehuantepec","2003","2003","Especimen preservado de Haemulon scudderi en Chiapas","Peces; Ictiologia; Presencia; Golfo De Tehuantepec"
"453","Chiapas","Ictalurus furcatus","Río Pichucalco","2010","2010","Especimen preservado de Ictalurus furcatus en Chiapas","Peces; Ictiologia; Presencia; Río Pichucalco"
"454","Chiapas","Lepophidium pardale","Golfo De Tehuantepec","2003","2003","Especimen preservado de Lepophidium pardale en Chiapas","Peces; Ictiologia; Presencia; Golfo De Tehuantepec"
"455","Chiapas","Mustelus lunulatus","Puerto Madero","2000","2000","Especimen preservado de Mustelus lunulatus en Chiapas","Peces; Ictiologia; Presencia; Puerto Madero"
"456","Chiapas","Nasolamia velox","Puerto Madero","2000","2000","Especimen preservado de Nasolamia velox en Chiapas","Peces; Ictiologia; Presencia; Puerto Madero"
"457","Chiapas","Nebris occidentalis","Puerto Madero","2000","2000","Especimen preservado de Nebris occidentalis en Chiapas","Peces; Ictiologia; Presencia; Puerto Madero"
"458","Chiapas","Notarius kessleri","Embarcadero Las Garzas, Frente A Puerto Madero","2010","2010","Especimen preservado de Notarius kessleri en Chiapas","Peces; Ictiologia; Presencia; Embarcadero Las Garzas, Frente A Puerto Madero"
"459","Chiapas","Ophidion galeoides","Golfo De Tehuantepec","2003","2003","Especimen preservado de Ophidion galeoides en Chiapas","Peces; Ictiologia; Presencia; Golfo De Tehuantepec"
"460","Chiapas","Ophidion scrippsae","Golfo De Tehuantepec","2003","2003","Especimen preservado de Ophidion scrippsae en Chiapas","Peces; Ictiologia; Presencia; Golfo De Tehuantepec"
"461","Chiapas","Paralonchurus goodei","Puerto Madero","2001","2001","Especimen preservado de Paralonchurus goodei en Chiapas","Peces; Ictiologia; Presencia; Puerto Madero"
"462","Chiapas","Porichthys margaritatus","Frente Al Río Nicolás","1992","1992","Especimen preservado de Porichthys margaritatus en Chiapas","Peces; Ictiologia; Presencia; Frente Al Río Nicolás"
"463","Chiapas","Prionace glauca","Puerto Madero","2000","2000","Especimen preservado de Prionace glauca en Chiapas","Peces; Ictiologia; Presencia; Puerto Madero"
"464","Chiapas","Rhinobatos leucorhynchus","Golfo De Tehuantepec","1991","1991","Especimen preservado de Rhinobatos leucorhynchus en Chiapas","Peces; Ictiologia; Presencia; Golfo De Tehuantepec"
"465","Chiapas","Sciades platypogon","Embarcadero Las Garzas, Frente A Puerto Madero","2010","2010","Especimen preservado de Sciades platypogon en Chiapas","Peces; Ictiologia; Presencia; Embarcadero Las Garzas, Frente A Puerto Madero"
"466","Chiapas","Sciades troschelii","Puerto Madero","2010","2010","Especimen preservado de Sciades troschelii en Chiapas","Peces; Ictiologia; Presencia; Puerto Madero"
"467","Chiapas","Sphoeroides lobatus","Pijijiapan","1976","1976","Especimen preservado de Sphoeroides lobatus en Chiapas","Peces; Ictiologia; Presencia; Pijijiapan"
"468","Chiapas","Sphyrna lewini","Barra De San José, Puerto Madero","2000","2000","Especimen preservado de Sphyrna lewini en Chiapas","Peces; Ictiologia; Presencia; Barra De San José, Puerto Madero"
"469","Chiapas","Sphyrna tiburo","Puerto Madero","2000","2000","Especimen preservado de Sphyrna tiburo en Chiapas","Peces; Ictiologia; Presencia; Puerto Madero"
"470","Chiapas","Symphurus melasmatotheca","Golfo De Tehuantepec","2003","2003","Especimen preservado de Symphurus melasmatotheca en Chiapas","Peces; Ictiologia; Presencia; Golfo De Tehuantepec"
"471","Chiapas","Trinectes fimbriatus","Golfo De Tehuantepec, Frente A Playa Ballenato","2003","2003","Especimen preservado de Trinectes fimbriatus en Chiapas","Peces; Ictiologia; Presencia; Golfo De Tehuantepec, Frente A Playa Ballenato"
"472","Chihuahua","Carpiodes carpio","Presa La Boquilla Cuenca Río Conchos","1965","1965","Especimen preservado de Carpiodes carpio en Chihuahua","Peces; Ictiologia; Presencia; Presa La Boquilla Cuenca Río Conchos"
"473","Chihuahua","Cyprinella lutrensis","Río Bravo","1964","1964","Especimen preservado de Cyprinella lutrensis en Chihuahua","Peces; Ictiologia; Presencia; Río Bravo"
"474","Chihuahua","Dionda episcopa","Río Chiquito Noreste De Ojinaga","1930","1930","Especimen preservado de Dionda episcopa en Chihuahua","Peces; Ictiologia; Presencia; Río Chiquito Noreste De Ojinaga"
"475","Colima","Abudefduf troschelii","Playa La Audiencia, Manzanillo","2004","2004","Especimen preservado de Abudefduf troschelii en Colima","Peces; Ictiologia; Presencia; Playa La Audiencia, Manzanillo"
"476","Colima","Arothron meleagris","La Audiencia, Mazatlán","2004","2004","Especimen preservado de Arothron meleagris en Colima","Peces; Ictiologia; Presencia; La Audiencia, Mazatlán"
"477","Colima","Atractosteus tropicus","Manzanillo","1963","1963","Especimen preservado de Atractosteus tropicus en Colima","Peces; Ictiologia; Presencia; Manzanillo"
"478","Colima","Caranx caballus","Playa Azul Manzanillo","2004","2004","Especimen preservado de Caranx caballus en Colima","Peces; Ictiologia; Presencia; Playa Azul Manzanillo"
"479","Colima","Caranx caballus","Playa Azul, Manzanillo","2004","2004","Especimen preservado de Caranx caballus en Colima","Peces; Ictiologia; Presencia; Playa Azul, Manzanillo"
"480","Colima","Carcharhinus galapagensis","Isla Clarion, Isla Revillagigedo","1965","1965","Especimen preservado de Carcharhinus galapagensis en Colima","Peces; Ictiologia; Presencia; Isla Clarion, Isla Revillagigedo"
"481","Colima","Chromis alta","Playa La Audiencia","2004","2004","Especimen preservado de Chromis alta en Colima","Peces; Ictiologia; Presencia; Playa La Audiencia"
"482","Colima","Muraena lentiginosa","Bahía De Manzanillo","2000","2000","Especimen preservado de Muraena lentiginosa en Colima","Peces; Ictiologia; Presencia; Bahía De Manzanillo"
"483","Colima","Negaprion brevirostris","Barra De Navidad","1964","1964","Especimen preservado de Negaprion brevirostris en Colima","Peces; Ictiologia; Presencia; Barra De Navidad"
"484","Colima","Tylosurus pacificus","Manzanillo, Playa Azul","2004","2004","Especimen preservado de Tylosurus pacificus en Colima","Peces; Ictiologia; Presencia; Manzanillo, Playa Azul"
"485","Durango","Gila nigrescens","El Arenal, Cerca De Ciudad Durango","1963","1963","Especimen preservado de Gila nigrescens en Durango","Peces; Ictiologia; Presencia; El Arenal, Cerca De Ciudad Durango"
"486","Guerrero","Abudefduf saxatilis","Sistema Lagunar De Guerrero","1973","1973","Especimen preservado de Abudefduf saxatilis en Guerrero","Peces; Ictiologia; Presencia; Sistema Lagunar De Guerrero"
"487","Guerrero","Achirus scutum","Barra Chautengo","1983","1983","Especimen preservado de Achirus scutum en Guerrero","Peces; Ictiologia; Presencia; Barra Chautengo"
"488","Guerrero","Achirus scutum","Playa Paraíso","1983","1983","Especimen preservado de Achirus scutum en Guerrero","Peces; Ictiologia; Presencia; Playa Paraíso"
"489","Guerrero","Aetobatus narinari","Punta Maldonado","1998","1998","Especimen preservado de Aetobatus narinari en Guerrero","Peces; Ictiologia; Presencia; Punta Maldonado"
"490","Guerrero","Albula nemoptera","Entre Punta El Potosí Y Barra Valentín","1985","1985","Especimen preservado de Albula nemoptera en Guerrero","Peces; Ictiologia; Presencia; Entre Punta El Potosí Y Barra Valentín"
"491","Guerrero","Alectis ciliaris","Noroeste Punto El Descenso","1983","1983","Especimen preservado de Alectis ciliaris en Guerrero","Peces; Ictiologia; Presencia; Noroeste Punto El Descenso"
"492","Guerrero","Alphestes multiguttatus","Estero El Tular","1985","1985","Especimen preservado de Alphestes multiguttatus en Guerrero","Peces; Ictiologia; Presencia; Estero El Tular"
"493","Guerrero","Alphestes multiguttatus","Zihuatanejo","2007","2007","Especimen preservado de Alphestes multiguttatus en Guerrero","Peces; Ictiologia; Presencia; Zihuatanejo"
"494","Guerrero","Aluterus monocerus","Frente a Coyuca de Benitez, Gro.","1982","1982","Especimen preservado de Aluterus monocerus en Guerrero","Peces; Ictiologia; Presencia; Frente a Coyuca de Benitez, Gro."
"495","Guerrero","Aluterus monocerus","Laguna De Tres Palos","1985","1985","Especimen preservado de Aluterus monocerus en Guerrero","Peces; Ictiologia; Presencia; Laguna De Tres Palos"
"496","Guerrero","Aluterus scriptus","Punta Los Órganos","1983","1983","Especimen preservado de Aluterus scriptus en Guerrero","Peces; Ictiologia; Presencia; Punta Los Órganos"
"497","Guerrero","Anchoa argentivittata","Frente Laguna De Tres Palos, Barra Vieja","1998","1998","Especimen preservado de Anchoa argentivittata en Guerrero","Peces; Ictiologia; Presencia; Frente Laguna De Tres Palos, Barra Vieja"
"498","Guerrero","Ancylopsetta dendritica","Punta El Potosí","1982","1982","Especimen preservado de Ancylopsetta dendritica en Guerrero","Peces; Ictiologia; Presencia; Punta El Potosí"
"499","Guerrero","Ancylopsetta dendritica","Punta Maldonado","1985","1985","Especimen preservado de Ancylopsetta dendritica en Guerrero","Peces; Ictiologia; Presencia; Punta Maldonado"
"500","Guerrero","Anisotremus caesius","Petacalco","2000","2000","Especimen preservado de Anisotremus caesius en Guerrero","Peces; Ictiologia; Presencia; Petacalco"
"501","Guerrero","Anisotremus caesius","Zihuatanejo","2007","2007","Especimen preservado de Anisotremus caesius en Guerrero","Peces; Ictiologia; Presencia; Zihuatanejo"
"502","Guerrero","Anisotremus dovii","Punta Los Órganos","1982","1985","Especimen preservado de Anisotremus dovii en Guerrero","Peces; Ictiologia; Presencia; Punta Los Órganos"
"503","Guerrero","Anisotremus interruptus","Barra De Potosí","1998","1998","Especimen preservado de Anisotremus interruptus en Guerrero","Peces; Ictiologia; Presencia; Barra De Potosí"
"504","Guerrero","Anisotremus taeniatus","Puerto Escondido","1982","1982","Especimen preservado de Anisotremus taeniatus en Guerrero","Peces; Ictiologia; Presencia; Puerto Escondido"
"505","Guerrero","Antennarius avalonis","Estero El Tular","1982","1982","Especimen preservado de Antennarius avalonis en Guerrero","Peces; Ictiologia; Presencia; Estero El Tular"
