"","State/Province","Scientific name","County","Inicio","Fin","Titulo","Key"
"83","Campeche","Antennarius ocellatus","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Antennarius ocellatus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"84","Campeche","Antennarius radiosus","Isla Del Carmen","2008","2008","Especimen preservado de Antennarius radiosus en Campeche","Peces; Ictiologia; Presencia; Isla Del Carmen"
"85","Campeche","Archosargus probatocephalus","Laguna Pan-Lau","1976","1976","Especimen preservado de Archosargus probatocephalus en Campeche","Peces; Ictiologia; Presencia; Laguna Pan-Lau"
"86","Campeche","Archosargus probatocephalus","Punta Gorda, Laguna De Términos","1977","1977","Especimen preservado de Archosargus probatocephalus en Campeche","Peces; Ictiologia; Presencia; Punta Gorda, Laguna De Términos"
"87","Campeche","Archosargus rhomboidalis","Canal De San Juan, Laguna De Términos","1977","1977","Especimen preservado de Archosargus rhomboidalis en Campeche","Peces; Ictiologia; Presencia; Canal De San Juan, Laguna De Términos"
"88","Campeche","Archosargus rhomboidalis","Canal De San Julian, Laguna De Términos","1977","1977","Especimen preservado de Archosargus rhomboidalis en Campeche","Peces; Ictiologia; Presencia; Canal De San Julian, Laguna De Términos"
"89","Campeche","Archosargus rhomboidalis","Ensenada, Laguna De Términos","1979","1979","Especimen preservado de Archosargus rhomboidalis en Campeche","Peces; Ictiologia; Presencia; Ensenada, Laguna De Términos"
"90","Campeche","Archosargus rhomboidalis","Laguna De Términos","1977","1978","Especimen preservado de Archosargus rhomboidalis en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"91","Campeche","Archosargus rhomboidalis","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Archosargus rhomboidalis en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"92","Campeche","Argentina striata","Sonda De Campeche Frente A La Laguna De Términos","1983","1983","Especimen preservado de Argentina striata en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"93","Campeche","Ariomma bondi","Sonda De Campeche","1983","1983","Especimen preservado de Ariomma bondi en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche"
"94","Campeche","Ariopsis felis","Punta De Atasta, Laguna De Términos","1979","1979","Especimen preservado de Ariopsis felis en Campeche","Peces; Ictiologia; Presencia; Punta De Atasta, Laguna De Términos"
"95","Campeche","Ariosoma balearicum","Frente A La Laguna De Términos","1983","1983","Especimen preservado de Ariosoma balearicum en Campeche","Peces; Ictiologia; Presencia; Frente A La Laguna De Términos"
"96","Campeche","Bagre marinus","Laguna Pan-Lau","1977","1977","Especimen preservado de Bagre marinus en Campeche","Peces; Ictiologia; Presencia; Laguna Pan-Lau"
"97","Campeche","Bairdiella chrysoura","Boca De Puerto Real, Laguna De Términos","1976","1976","Especimen preservado de Bairdiella chrysoura en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real, Laguna De Términos"
"98","Campeche","Bairdiella ronchus","Estero Pargo, Laguna De Términos","1981","1981","Especimen preservado de Bairdiella ronchus en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"99","Campeche","Bairdiella ronchus","Frente A Isla Chinchorro, Laguna De Términos","1979","1979","Especimen preservado de Bairdiella ronchus en Campeche","Peces; Ictiologia; Presencia; Frente A Isla Chinchorro, Laguna De Términos"
