"","Sci_A","Sci_B","Com_A","Com_B","Scientific_Name","Commun_Name"
"36","Makaira","nigricans","Marlin","Azul del Atlantico","Makaira nigricans","Marlin Azul del Atlantico"
"37","Makaira","mazara","Marlin","Azul del Pazcifico","Makaira mazara","Marlin Azul del Pazcifico"
"38","Makaira","indica","Marlin","Negro","Makaira indica","Marlin Negro"
"39","Tetrapturus","audax","Marlin","Rayado","Tetrapturus audax","Marlin Rayado"
"40","Tetrapturus","albidus","Marlin","Blanco","Tetrapturus albidus","Marlin Blanco"
"41","Tetrapturus","angustirostris","Aguja","Corta","Tetrapturus angustirostris","Aguja Corta"
"42","Mytilus","californianus","Mejillon","o Choro","Mytilus californianus","Mejillon o Choro"
"43","Mytilus","galloprovinsialis","Mejillon",NA,"Mytilus galloprovinsialis","Mejillon NA"
"44","Cirujano","aleta;amarilla;barbero","Acanthurus","xanthopterus","Cirujano aleta;amarilla;barbero","Acanthurus xanthopterus"
"45","Prionurus","punctatus","Cochinito","punteado;puerco","Prionurus punctatus","Cochinito punteado;puerco"
"46","Albula","nemoptera","Macabi","de hebra","Albula nemoptera","Macabi de hebra"
"47","Ariopsis","dasycephalus","Bagre;barrigon;chihuil",NA,"Ariopsis dasycephalus","Bagre;barrigon;chihuil NA"
"48","Ariopsis","guatemalensis","Bagre","cuatete;chihuil","Ariopsis guatemalensis","Bagre cuatete;chihuil"
"49","Ariopsis","kessleri","Bagre","esculpido","Ariopsis kessleri","Bagre esculpido"
"50","Notarius","planiceps","Bagre;chihuil","cabeza","Notarius planiceps","Bagre;chihuil cabeza"
"51","Sciades","platypogon","Bagre;chihuil","cominate","Sciades platypogon","Bagre;chihuil cominate"
"52","Sciades","seemani","Bagre;chuihuil","tete","Sciades seemani","Bagre;chuihuil tete"
"53","Bagre","panamensis","Bagre","chihuil;tacazonte","Bagre panamensis","Bagre chihuil;tacazonte"
"54","Bagre","pinnimaculatus","Bagre","barbon,condor","Bagre pinnimaculatus","Bagre barbon,condor"
"55","Galeichthys","peruvianus","Bagre;chihuil","de","Galeichthys peruvianus","Bagre;chihuil de"
"56","Pseudobalistes","naufragium","Bota","negra","Pseudobalistes naufragium","Bota negra"
"57","Balistes","polylepis","Cochi;bota;pejepuerco","Huachinango","Balistes polylepis","Cochi;bota;pejepuerco Huachinango"
"58","Pseudobalistes","naufragium","Cochito","bota;bota","Pseudobalistes naufragium","Cochito bota;bota"
"59","Sufflamen","verres","Cochi","naranja;bota;pejepuerco","Sufflamen verres","Cochi naranja;bota;pejepuerco"
"60","Strongylura","exilis","Agujon","californiano;aguja","Strongylura exilis","Agujon californiano;aguja"
"61","Tylosurus","pacificus","Agujon",NA,"Tylosurus pacificus","Agujon NA"
"62","Bothus","constellatus","Lenguado","con Estrella","Bothus constellatus","Lenguado con Estrella"
"63","Carangoides","caballus","Cocinero;chile;verde;jurel bonito",NA,"Carangoides caballus","Cocinero;chile;verde;jurel bonito NA"
"64","Carangoides","otrynter","Jurel","de hebra;cocinero","Carangoides otrynter","Jurel de hebra;cocinero"
"65","Carangoides","vinctus","Jurel",NA,"Carangoides vinctus","Jurel NA"
"66","Caranx","caninus","Jurel","toro","Caranx caninus","Jurel toro"
"67","Caranx","sexfasciatus","Jurel","voraz;ojo de perra","Caranx sexfasciatus","Jurel voraz;ojo de perra"
"68","Chloroscombrus","orqueta","Jurel","de castilla;casabe","Chloroscombrus orqueta","Jurel de castilla;casabe"
"69","Decapterus","muroadsi","Macarela;jurel","mexicano;platano","Decapterus muroadsi","Macarela;jurel mexicano;platano"
"70","Elagatis","bipinnulata","Macarela","salmon;macarela de altura","Elagatis bipinnulata","Macarela salmon;macarela de altura"
"71","Gnathonodon","speciosus","Choncho","rayado","Gnathonodon speciosus","Choncho rayado"
"72","Hemicaranx","zelotes","Chocho;jurel","chumbo","Hemicaranx zelotes","Chocho;jurel chumbo"
"73","Oligoplites","altus","Pina","bocona;cuchillo;chaqueta de cuero","Oligoplites altus","Pina bocona;cuchillo;chaqueta de cuero"
"74","Oligoplites","refulgens","Sardina","pina","Oligoplites refulgens","Sardina pina"
"75","Oligoplites","saurus","Pina","delgada","Oligoplites saurus","Pina delgada"
"76","Selar","crumenophthalmus","Chicharo","ojoton","Selar crumenophthalmus","Chicharo ojoton"
"77","Selene","brevoortii","Jorobado","mexicano;toston","Selene brevoortii","Jorobado mexicano;toston"
"78","Selene","oerstedii","Jorobado","carite;chancla","Selene oerstedii","Jorobado carite;chancla"
"79","Selene","peruviana","Jorobado","espejo;papelillo;caballo","Selene peruviana","Jorobado espejo;papelillo;caballo"
"80","Seriola","lalandi","Medregal","cola amarilla","Seriola lalandi","Medregal cola amarilla"
"81","Seriola","peruana","Medregal","fortuno;piriri","Seriola peruana","Medregal fortuno;piriri"
"82","Seriola","rivoliana","Medregal","limon;pez","Seriola rivoliana","Medregal limon;pez"
"83","Trachinotus","paitensis","Pampano","paloma","Trachinotus paitensis","Pampano paloma"
"84","Trachinotus","rhodopus","Pampano","fino;pampano","Trachinotus rhodopus","Pampano fino;pampano"
"85","Trachurus","symmetricus","Charrito","Sierras","Trachurus symmetricus","Charrito Sierras"
"86","Carcharhinus","falciformis","Tiburon","Lenguados","Carcharhinus falciformis","Tiburon Lenguados"
"87","Rhizoprionodon","longurio","Cazon","bironche","Rhizoprionodon longurio","Cazon bironche"
"88","Centropomus","armatus","Robalo","espina larga","Centropomus armatus","Robalo espina larga"
"89","Centropomus","medius","Robalo","aleta orieta","Centropomus medius","Robalo aleta orieta"
"90","Centropomus","nigrescens","Robaloprieto;robalo","piedra","Centropomus nigrescens","Robaloprieto;robalo piedra"
"91","Centropomus","robalito","Robalo","aleta amarilla","Centropomus robalito","Robalo aleta amarilla"
"92","Centropomus","unionensis","Robalo","serrano","Centropomus unionensis","Robalo serrano"
"93","Centropomus","viridis","Robalo","plateado;robalo garabato","Centropomus viridis","Robalo plateado;robalo garabato"
"94","Harengula","thrissina","Sardinita","plumilla","Harengula thrissina","Sardinita plumilla"
"95","Lile","gracilis","Sardinita","agua dulce","Lile gracilis","Sardinita agua dulce"
"96","Lile","stolifera","Sardinita","banda plateada","Lile stolifera","Sardinita banda plateada"
"97","Opisthonema","bulleri","Sardina","crinuda azul","Opisthonema bulleri","Sardina crinuda azul"
"98","Opisthonema","libertate","Sardina","crinuda","Opisthonema libertate","Sardina crinuda"
"99","Opisthonema","medirastre","Sardina","crinuda machete","Opisthonema medirastre","Sardina crinuda machete"
"100","Pliosteostema","lutipinnis","Sardina,arenquilla","aleta amarilla","Pliosteostema lutipinnis","Sardina,arenquilla aleta amarilla"
"101","Sardinops","caerulaeus","Sardina","del noroeste","Sardinops caerulaeus","Sardina del noroeste"
"102","Coryphaena","equiselis","Dorado","enano","Coryphaena equiselis","Dorado enano"
"103","Coryphaena","hippurus","Dorado","Sierras","Coryphaena hippurus","Dorado Sierras"
"104","Chanos","chanos","Sabalote","Lisas","Chanos chanos","Sabalote Lisas"
"105","Dasyatis","dipterura","Raya","latigo comun","Dasyatis dipterura","Raya latigo comun"
"106","Dasyatis","longus","Mantarraya","Rayas","Dasyatis longus","Mantarraya Rayas"
"107","Himantura","pacifica","Raya","coluda del Pacifico","Himantura pacifica","Raya coluda del Pacifico"
"108","Diodon","holocanthus","Pez","erizo mapache","Diodon holocanthus","Pez erizo mapache"
"109","Diodon","hystrix","Pez","erizo pecoso","Diodon hystrix","Pez erizo pecoso"
"110","Dormitator","latifrons","Popoyote;puyeki;dormilon",NA,"Dormitator latifrons","Popoyote;puyeki;dormilon NA"
"111","Gobiomorus","maculatus","Guavina","manchada","Gobiomorus maculatus","Guavina manchada"
"112","Elops","affinis","Machete","del Pacifico","Elops affinis","Machete del Pacifico"
"113","Rhacochilus","toxotes","Mojarra","labios de hule","Rhacochilus toxotes","Mojarra labios de hule"
"114","Anchoa","ischana","Anchoveta;anchoa","chicotera chicotera","Anchoa ischana","Anchoveta;anchoa chicotera chicotera"
"115","Anchovia","macrolepidota","Anchoveta",NA,"Anchovia macrolepidota","Anchoveta NA"
"116","Cetengraulis","mysticetus","Sardina","bocona;boqueron","Cetengraulis mysticetus","Sardina bocona;boqueron"
"117","Engraulis","mordax","Anchoveta","Sardina","Engraulis mordax","Anchoveta Sardina"
"118","Chaetodipterus","zonatus","Zopilote;peluquero;chavelito;chambo;zapatero","Huachinango","Chaetodipterus zonatus","Zopilote;peluquero;chavelito;chambo;zapatero Huachinango"
"119","Parapsettus","panamensis","Mona","Sierras","Parapsettus panamensis","Mona Sierras"
"120","Fistularia","commersonii","Trompeta;corneta","pintada","Fistularia commersonii","Trompeta;corneta pintada"
"121","Diapterus","aureolus","Mojarra","palometa","Diapterus aureolus","Mojarra palometa"
"122","Diapterus","brevirostris","Mojarra","aletas amarilla;mojarra","Diapterus brevirostris","Mojarra aletas amarilla;mojarra"
"123","Eucinostomus","currani","Mojarra","tricolor","Eucinostomus currani","Mojarra tricolor"
"124","Eucinostomus","dowii","Mojarra","cantilena;mojarra blanca","Eucinostomus dowii","Mojarra cantilena;mojarra blanca"
"125","Eucinostomus","entomelas","Mojarra","mancha negra","Eucinostomus entomelas","Mojarra mancha negra"
"126","Eucinostomus","gracilis","Mojarra","charrita","Eucinostomus gracilis","Mojarra charrita"
"127","Eugerres","axillaris","Mojarra","malacapa","Eugerres axillaris","Mojarra malacapa"
"128","Eugerres","brevimanus","Mojarra","aleta corta","Eugerres brevimanus","Mojarra aleta corta"
"129","Gerres","cinereus","Mojarra","bandera;mojarra rayada","Gerres cinereus","Mojarra bandera;mojarra rayada"
"130","Gymnura","crebripunctata","Raya","mariposa;raya aletilla","Gymnura crebripunctata","Raya mariposa;raya aletilla"
"131","Gymnura","marmorata","Raya","mariposa californiana","Gymnura marmorata","Raya mariposa californiana"
"132","Anisotremus","interruptus","Burro","bacoco;mojarra chopa","Anisotremus interruptus","Burro bacoco;mojarra chopa"
"133","Anisotremus","taeniatus","Burro","bandera","Anisotremus taeniatus","Burro bandera"
"134","Haemulon","flaviguttatum","Ronco","chano;burro manchas amarillas","Haemulon flaviguttatum","Ronco chano;burro manchas amarillas"
"135","Haemulon","maculicauda","Burro","rasposo","Haemulon maculicauda","Burro rasposo"
"136","Haemulon","scudderii","mojarra","amarilla","Haemulon scudderii","mojarra amarilla"
"137","Haemulon","sexfasciatum","Burro","almejero;guzga,mojarra","Haemulon sexfasciatum","Burro almejero;guzga,mojarra"
"138","Haemulopsis","leuciscus","Ronco","roncacho","Haemulopsis leuciscus","Ronco roncacho"
"139","Microleidotus","brevipinna","Sarangola","Sierras","Microleidotus brevipinna","Sarangola Sierras"
"140","Microlepidotus","inornatus","Ronco","rayadillo","Microlepidotus inornatus","Ronco rayadillo"
"141","Orthopristis","chalceus","Burrito","corcovado","Orthopristis chalceus","Burrito corcovado"
"142","Orthopristis","reddingi","Burrito;ronco","rayado,mojarra hedionda","Orthopristis reddingi","Burrito;ronco rayado,mojarra hedionda"
"143","Haemulopsis","leuciscus","Burro","rayadito","Haemulopsis leuciscus","Burro rayadito"
"144","Pomadasys","macracanthus","Burro","bandeado","Pomadasys macracanthus","Burro bandeado"
"145","Pomadasys","panamensis","Ronco","mapache;burro","Pomadasys panamensis","Ronco mapache;burro"
"146","Xenichthys","xanti","Chula;jiguagua;salmonete","Huachinango","Xenichthys xanti","Chula;jiguagua;salmonete Huachinango"
"147","Hyporhamphus","gilli","Pajarito","choelo","Hyporhamphus gilli","Pajarito choelo"
"148","Hyporhamphus","nao","Pajarito","blanco","Hyporhamphus nao","Pajarito blanco"
"149","Hyporhamphus","rosae","Pajarito","californiano","Hyporhamphus rosae","Pajarito californiano"
"150","Hyporhamphus","snyderi","Pajarito","choca","Hyporhamphus snyderi","Pajarito choca"
"151","Ophiodon","elongatus","Lingcod","Baquetas","Ophiodon elongatus","Lingcod Baquetas"
"152","Kathetostoma","averruncus","Miracielo","buldog;aguado","Kathetostoma averruncus","Miracielo buldog;aguado"
"153","Girella","nigricans","Chopa","negra","Girella nigricans","Chopa negra"
"154","Hermosilla","azurea","Chopa","bonita","Hermosilla azurea","Chopa bonita"
"155","Kyphosus","analogus","Chopa","rayada","Kyphosus analogus","Chopa rayada"
"156","Kyphosus","elegans","Chopa","de Cortes","Kyphosus elegans","Chopa de Cortes"
"157","Medialuna","californiensis","Chopa","medialuna","Medialuna californiensis","Chopa medialuna"
"158","Sectator","ocyurus","Chopa","salema;zulema","Sectator ocyurus","Chopa salema;zulema"
"159","Bodianus","diplotaenia","Vieja","mexicana","Bodianus diplotaenia","Vieja mexicana"
"160","Caulolatilus","hubbsi","Blanquillo","Pierna","Caulolatilus hubbsi","Blanquillo Pierna"
"161","Caulolatilus","princeps","Pierna;blanquillo","Pierna","Caulolatilus princeps","Pierna;blanquillo Pierna"
"162","Merluccius","angustimanus","Merluza","enana","Merluccius angustimanus","Merluza enana"
"163","Merluccius","productus","Merluza","nortena","Merluccius productus","Merluza nortena"
"164","Manta","birostris","Mantarraya;manta","gigante","Manta birostris","Mantarraya;manta gigante"
"165","Mobula","japanica","Manta","arpon","Mobula japanica","Manta arpon"
"166","Mobula","munkiana","Manta","chica","Mobula munkiana","Manta chica"
"167","Mobula","tarapacana","Manta","tarapacana","Mobula tarapacana","Manta tarapacana"
"168","Mobula","thurstoni","Manta","doblada","Mobula thurstoni","Manta doblada"
"169","Aluterus","scriptus","Lija","garrapatera;bota trompa","Aluterus scriptus","Lija garrapatera;bota trompa"
"170","Mugil","cephalus","Lisa","rayada;lisa cabezona","Mugil cephalus","Lisa rayada;lisa cabezona"
"171","Mugil","curema","Lisa","blanca;liseta;lebrancha","Mugil curema","Lisa blanca;liseta;lebrancha"
"172","Mugil","hospes","Lisa","hospe","Mugil hospes","Lisa hospe"
"173","Mulloidichthys","dentatus","Chivo","amarillo","Mulloidichthys dentatus","Chivo amarillo"
"174","Pseudupeneus","grandisquamis","Chivo","escamosos;chivato;salmonete chico","Pseudupeneus grandisquamis","Chivo escamosos;chivato;salmonete chico"
"175","Aetobatus","narinari","Chucho","pintado o Aguila real","Aetobatus narinari","Chucho pintado o Aguila real"
"176","Myliobatis","californica","Tecolote;raya","murcielago","Myliobatis californica","Tecolote;raya murcielago"
"177","Myliobatis","fitchi","Mantarraya","Raya","Myliobatis fitchi","Mantarraya Raya"
"178","Myliobatis","longirostris","Raya","aguila picuda","Myliobatis longirostris","Raya aguila picuda"
"179","Narcine","entemedor","Guitarra","electrica","Narcine entemedor","Guitarra electrica"
"180","Narcine","vermiculatus","Guitarra","electrica","Narcine vermiculatus","Guitarra electrica"
"181","Nematistius","pectoralis","Pejegallo;gallo","Sierras","Nematistius pectoralis","Pejegallo;gallo Sierras"
"182","Brotula","clarkae","Lengua","rosada","Brotula clarkae","Lengua rosada"
"183","Ancylopssetta","dendritica","Lenguado","tres ojos","Ancylopssetta dendritica","Lenguado tres ojos"
"184","Citharichthys","gilberti","Lenguado","bonito","Citharichthys gilberti","Lenguado bonito"
"185","Citharichthys","xanthostigma","Lenguado","alon","Citharichthys xanthostigma","Lenguado alon"
"186","Cyclopsetta","querna","Lenguado","Lenguados","Cyclopsetta querna","Lenguado Lenguados"
"187","Hippoglossina","stomata","Lenguado","bocon","Hippoglossina stomata","Lenguado bocon"
"188","Hippoglossina","tetropthalmas","Lenguado","cuatrojos","Hippoglossina tetropthalmas","Lenguado cuatrojos"
"189","Paralichthys","aestuarius","Lenguado","de Cortes","Paralichthys aestuarius","Lenguado de Cortes"
"190","Paralichthys","californicus","Lenguado","californiano","Paralichthys californicus","Lenguado californiano"
"191","Raya","chillona;raya","coreana","Raya","Raya chillona;raya","coreana Raya"
"192","Rhinobatos","glaucostigma","Payaso","pinto;guitarra punteada","Rhinobatos glaucostigma","Payaso pinto;guitarra punteada"
"193","Rhinobatos","leucorhynchus","Guitarra","trompa blanca","Rhinobatos leucorhynchus","Guitarra trompa blanca"
"194","Rhinobatos","productus","Payaso;guitarra","Raya","Rhinobatos productus","Payaso;guitarra Raya"
"195","Zapteryx","exasperata","Guitarra","rayada","Zapteryx exasperata","Guitarra rayada"
"196","Rhinoptera","steindachneri","Manta","gavilan","Rhinoptera steindachneri","Manta gavilan"
"197","Nicholsina","denticulata","Periquito","lunares turquesa","Nicholsina denticulata","Periquito lunares turquesa"
"198","Scarus","perrico","Loro","azul","Scarus perrico","Loro azul"
"199","Scarus","rubroviolacea","Loro","rojo","Scarus rubroviolacea","Loro rojo"
"200","Atractoscion","nobilis","Corvina","blanca","Atractoscion nobilis","Corvina blanca"
"201","Bairdiella","armata","Corvineta","armada","Bairdiella armata","Corvineta armada"
"202","Bairdiella","icistia","Corvineta","ronco","Bairdiella icistia","Corvineta ronco"
"203","Cynoscion","albus","Corvina","chiapaneca","Cynoscion albus","Corvina chiapaneca"
"204","Cynoscion","nannus","Corvina","enana","Cynoscion nannus","Corvina enana"
"205","Cynoscion","othonopterus","Corvina","golfina","Cynoscion othonopterus","Corvina golfina"
"206","Cynoscion","parvipinnis","corvina","azul;curvina aleta corta","Cynoscion parvipinnis","corvina azul;curvina aleta corta"
"207","Cynoscion","phoxocephalus","Corvina","picuda;corvina de Oaxaca","Cynoscion phoxocephalus","Corvina picuda;corvina de Oaxaca"
"208","Cynoscion","reticulatus","Corvina","rayada","Cynoscion reticulatus","Corvina rayada"
"209","Cynoscion","squamipinnis","Corvina","blanda","Cynoscion squamipinnis","Corvina blanda"
"210","Cynoscion","stolzmanni","Corvina","coliamarilla","Cynoscion stolzmanni","Corvina coliamarilla"
"211","Cynoscion","xanthulus","Corvina","boca anaranjada","Cynoscion xanthulus","Corvina boca anaranjada"
"212","Cheilotrema","saturnum","Raton","de Baja","Cheilotrema saturnum","Raton de Baja"
"213","Larimus","acclivis","Corvineta","boquinete","Larimus acclivis","Corvineta boquinete"
"214","Larimus","efulgens","Corvina","chata","Larimus efulgens","Corvina chata"
"215","Menticirhus","panamensis","Berrugata","gurrubata","Menticirhus panamensis","Berrugata gurrubata"
"216","Menticirrhus","nasus","Berrugata","real","Menticirrhus nasus","Berrugata real"
"217","Menticirrhus","paitensis","Berrugata","chula","Menticirrhus paitensis","Berrugata chula"
"218","Menticirrhus","undulatus","Berrugata","californiana","Menticirrhus undulatus","Berrugata californiana"
"219","Micropogonias","altipinnis","Chano","sureno","Micropogonias altipinnis","Chano sureno"
"220","Micropogonias","ectenes","Berrugata;yolo","Corvinas","Micropogonias ectenes","Berrugata;yolo Corvinas"
"221","Micropogonias","megalops","Chano","norteno","Micropogonias megalops","Chano norteno"
"222","Ophioscion","strabo","Corvineta","bizca","Ophioscion strabo","Corvineta bizca"
"223","Roncador","stearnsii","Corvina","diente chico","Roncador stearnsii","Corvina diente chico"
"224","Umbrina","roncador","Berrugata","aleta amarilla","Umbrina roncador","Berrugata aleta amarilla"
"225","Umbrina","xanti","Berrugata","roncadora","Umbrina xanti","Berrugata roncadora"
"226","Auxis","rochei","Melvera","Sierras","Auxis rochei","Melvera Sierras"
"227","Auxis","thazard","Melva;chula","Sierras","Auxis thazard","Melva;chula Sierras"
"228","Euthynnus","lineatus","Barrilete","negro","Euthynnus lineatus","Barrilete negro"
"229","Katsuwonus","pelamis","Barrilete","listado","Katsuwonus pelamis","Barrilete listado"
"230","Sarda","chiliensis","Bonito","del Pacifico oriental","Sarda chiliensis","Bonito del Pacifico oriental"
"231","Sarda","orientalis","Chula","Sierras","Sarda orientalis","Chula Sierras"
"232","Scomber","japonicus","Macarela","estornino","Scomber japonicus","Macarela estornino"
"233","Scomberomorus","concolor","Sierra","del cortes","Scomberomorus concolor","Sierra del cortes"
"234","Scomberomorus","sierra","Sierra","del Pacifico","Scomberomorus sierra","Sierra del Pacifico"
"235","Scorpaena","guttata","Lapon","californiano;escorpion","Scorpaena guttata","Lapon californiano;escorpion"
"236","Scorpaena","mystes","Lapon;escorpion;rascacio","Baquetas","Scorpaena mystes","Lapon;escorpion;rascacio Baquetas"
"237","Scorpaenodes","xyris","Rocote","arcoiris","Scorpaenodes xyris","Rocote arcoiris"
"238","Sebastes","atrovirens","Rocote","sargacero","Sebastes atrovirens","Rocote sargacero"
"239","Sebastes","constellatus","Rocote","estrella","Sebastes constellatus","Rocote estrella"
"240","Sebastes","miniatus","Rocote","colorado","Sebastes miniatus","Rocote colorado"
"241","Sebastes","paucispinis","Rocote","bocaccio","Sebastes paucispinis","Rocote bocaccio"
"242","Sebastes","rosaceus","Rosado","rosado","Sebastes rosaceus","Rosado rosado"
"243","Sebastes","rubrivinctus","Rocote","bandera","Sebastes rubrivinctus","Rocote bandera"
"244","Alphestes","immaculatus","Guaseta","del Pacifico","Alphestes immaculatus","Guaseta del Pacifico"
"245","Cephalopholis","panamensis","Enjambre","Huachinango","Cephalopholis panamensis","Enjambre Huachinango"
"246","Dermatolepis","dermatolepis","Cabrilla","cueruda","Dermatolepis dermatolepis","Cabrilla cueruda"
"247","Diplectrum","eumelum","Carabonita","Baquetas","Diplectrum eumelum","Carabonita Baquetas"
"248","Diplectrum","euryplectrum","Serrano","extranjero","Diplectrum euryplectrum","Serrano extranjero"
"249","Diplectrum","labarum","Espinudo","Baquetas","Diplectrum labarum","Espinudo Baquetas"
"250","Diplectrum","macropoma","Cabaicucho","Baquetas","Diplectrum macropoma","Cabaicucho Baquetas"
"251","Diplectrum","pacificum","Serrano;cabicucho","Corvinas","Diplectrum pacificum","Serrano;cabicucho Corvinas"
"252","Epinephelus","acanthistius","Baquetas","Baquetas","Epinephelus acanthistius","Baquetas Baquetas"
"253","Epinephelus","analogus","Cabrilla","pinta","Epinephelus analogus","Cabrilla pinta"
"254","Epinephelus","itajara","Mero","guasa;cherna","Epinephelus itajara","Mero guasa;cherna"
"255","Epinephelus","labriformis","Cabrilla","piedrera;maranguana","Epinephelus labriformis","Cabrilla piedrera;maranguana"
"256","Epinephelus","niphobles","Baqueta","ploma","Epinephelus niphobles","Baqueta ploma"
"257","Hemanthias","peruanus","Cabrilla","doblecola;antenado","Hemanthias peruanus","Cabrilla doblecola;antenado"
"258","Mycteroperca","jordani","Baya","Baquetas","Mycteroperca jordani","Baya Baquetas"
"259","Mycteroperca","prionura","Garropa",NA,"Mycteroperca prionura","Garropa NA"
"260","Mycteroperca","rosacea","Cabrilla","sardinera;mitan","Mycteroperca rosacea","Cabrilla sardinera;mitan"
"261","Mycteroperca","xenarcha","Cabrilla","plomuda;estacuda","Mycteroperca xenarcha","Cabrilla plomuda;estacuda"
"262","Paralabrax","auroguttatus","Cabrilla","extranjera;lucero","Paralabrax auroguttatus","Cabrilla extranjera;lucero"
"263","Paralabrax","clathratus","Cabrilla","sargacera;verdillo","Paralabrax clathratus","Cabrilla sargacera;verdillo"
"264","Paralabrax","loro","Cabrilla","cachete","Paralabrax loro","Cabrilla cachete"
"265","Paralabrax","maculatofasciatus","Cabrilla","de","Paralabrax maculatofasciatus","Cabrilla de"
"266","Paralabrax","nebulifer","Verdillo;cabrilla","verde","Paralabrax nebulifer","Verdillo;cabrilla verde"
"267","Paranthias","colonus","Sandia;crica;tijerilla","Baquetas","Paranthias colonus","Sandia;crica;tijerilla Baquetas"
"268","Serranus","huascarii","Serrano","bandera","Serranus huascarii","Serrano bandera"
"269","Stereolepis","gigas","Pescada;pescara","Baquetas","Stereolepis gigas","Pescada;pescara Baquetas"
"270","Calamus","brachysomus","Mojarra","mueluda","Calamus brachysomus","Mojarra mueluda"
"271","Sphyraena","ensis","Barracuda","mexicana","Sphyraena ensis","Barracuda mexicana"
"272","Sphyraena","lucasana","Barracuda","de","Sphyraena lucasana","Barracuda de"
"273","Sphyrna","lewini","Tiburon","martillo","Sphyrna lewini","Tiburon martillo"
"274","Squatina","californica","Angelote;tiburon","angel","Squatina californica","Angelote;tiburon angel"
"275","Peprilus","medius","Palometa","Jureles","Peprilus medius","Palometa Jureles"
"276","Peprilus","simillimus","Palometa","Jureles","Peprilus simillimus","Palometa Jureles"
"277","Peprilus","snyderi","Palometa","salema;pampanito","Peprilus snyderi","Palometa salema;pampanito"
"278","Synodus","scituliceps","Chile","arpon,caiman,iguana","Synodus scituliceps","Chile arpon,caiman,iguana"
"279","Sphoeroides","angusticeps","Botete","cabeza","Sphoeroides angusticeps","Botete cabeza"
"280","Sphoeroides","annulatus","Botete","diana","Sphoeroides annulatus","Botete diana"
"281","Sphoeroides","sechurae","Botete","peruano;tamborin","Sphoeroides sechurae","Botete peruano;tamborin"
"282","Mustelus","californicus","Tiburon","mamon","Mustelus californicus","Tiburon mamon"
"283","Mustelus","henlei","Tiburon","mamon","Mustelus henlei","Tiburon mamon"
"284","Mustelus","lunulatus","Tiburon","mamon","Mustelus lunulatus","Tiburon mamon"
"285","Prionotus","horrens","Vaca","Huachinango","Prionotus horrens","Vaca Huachinango"
"286","Kathetostoma","averruncus","Miracielo","buldog;aguado","Kathetostoma averruncus","Miracielo buldog;aguado"
"287","Urobatis","halleri","Raya","moteada","Urobatis halleri","Raya moteada"
"288","Urobatis","maculatus","Raya","lija","Urobatis maculatus","Raya lija"
"289","Urotrygon","rogersi","Raya","gris","Urotrygon rogersi","Raya gris"
"290","Epinephelus","acanthistius",NA,NA,"Epinephelus acanthistius","NA NA"
"291","Epinephelus","niphobles",NA,NA,"Epinephelus niphobles","NA NA"
"292","Paralabrax","nebulifer",NA,NA,"Paralabrax nebulifer","NA NA"
"293","Paralabrax","clathratus",NA,NA,"Paralabrax clathratus","NA NA"
"294","Paralabrax","auroguttatus",NA,NA,"Paralabrax auroguttatus","NA NA"
"295","amarillo","Paralabrax",NA,NA,"amarillo Paralabrax","NA NA"
"296","Paralabrax","maculatofasciatus",NA,NA,"Paralabrax maculatofasciatus","NA NA"
"297","Epinephelus","analogus",NA,NA,"Epinephelus analogus","NA NA"
"298","Mycteroperca","jordani",NA,NA,"Mycteroperca jordani","NA NA"
"299","Mycteroperca","rosacea",NA,NA,"Mycteroperca rosacea","NA NA"
"300","Epinephelus","labriformis",NA,NA,"Epinephelus labriformis","NA NA"
"301","Epinephelus","panamensis",NA,NA,"Epinephelus panamensis","NA NA"
"302","Mycteroperca","xenarcha",NA,NA,"Mycteroperca xenarcha","NA NA"
"303","Dermatolepis","dermatolepis",NA,NA,"Dermatolepis dermatolepis","NA NA"
"304","Stereolepis","gigas",NA,NA,"Stereolepis gigas","NA NA"
"305","Epinephelus","itajara",NA,NA,"Epinephelus itajara","NA NA"
"306","Cephalopholis","panamensis",NA,NA,"Cephalopholis panamensis","NA NA"
"307","Mycteroperca","prionura",NA,NA,"Mycteroperca prionura","NA NA"
"308","Squatina","californica",NA,NA,"Squatina californica","NA NA"
"309","Mustelus","californicus",NA,NA,"Mustelus californicus","NA NA"
"310","Mustelus","lunulatus",NA,NA,"Mustelus lunulatus","NA NA"
"311","Mustelus","henlei",NA,NA,"Mustelus henlei","NA NA"
"312","Rhizoprionodon","longurio",NA,NA,"Rhizoprionodon longurio","NA NA"
"313","Rhinobatos","productus",NA,NA,"Rhinobatos productus","NA NA"
"314","Sebastes","paucispinis",NA,NA,"Sebastes paucispinis","NA NA"
"315","Sebastes","atrovirens",NA,NA,"Sebastes atrovirens","NA NA"
"316","Scorpaenodes","xyris",NA,NA,"Scorpaenodes xyris","NA NA"
"317","Sebastes","constellatus",NA,NA,"Sebastes constellatus","NA NA"
"318","Sebastes","miniatus",NA,NA,"Sebastes miniatus","NA NA"
"319","Sebastes","rosaceus",NA,NA,"Sebastes rosaceus","NA NA"
"320","Sebastes","rubrivinctus",NA,NA,"Sebastes rubrivinctus","NA NA"
"321","Semicosssyphus","pulcher",NA,NA,"Semicosssyphus pulcher","NA NA"
"322","Diplectrum","euryplectrum",NA,NA,"Diplectrum euryplectrum","NA NA"
"323","Diplectrum","eumelum",NA,NA,"Diplectrum eumelum","NA NA"
