"","Sci_A","Sci_B","Com_A","Com_B","Scientific_Name","Commun_Name"
"881","Rhinobatos","lentiginosus","Guitarra,","diablo","Rhinobatos lentiginosus","Guitarra, diablo"
"882","Syacium","gunteri","Lenguado","arenoso","Syacium gunteri","Lenguado arenoso"
"883","Synodus","foetens","Chile,","iguano","Synodus foetens","Chile, iguano"
"884","Upeneus","parvus","Chivo","rayuelo,","Upeneus parvus","Chivo rayuelo,"
"885","Lutjanus","campechanus","Huachinango","de","Lutjanus campechanus","Huachinango de"
"886","Lutjanus","vivanus","Huachinango","ojo","Lutjanus vivanus","Huachinango ojo"
"887","Lutjanus","buccanella","Huachinango","aleta","Lutjanus buccanella","Huachinango aleta"
"888","Etelis","oculatus","Huachinango","de","Etelis oculatus","Huachinango de"
"889","Ocyurus","chrysurus","Canane",NA,"Ocyurus chrysurus","Canane NA"
"890","Lutjanus","synagris","Rubia,","villajaiba","Lutjanus synagris","Rubia, villajaiba"
"891","parguete","Lutjanus","Pargo","mulato,","parguete Lutjanus","Pargo mulato,"
"892","caballera","Lutjanus","Pargo","perro,","caballera Lutjanus","Pargo perro,"
"893","Lutjanus","cyanopterus","Cubera",NA,"Lutjanus cyanopterus","Cubera NA"
"894","Rhomboplites","aurorubens","Besugo",NA,"Rhomboplites aurorubens","Besugo NA"
"895","Lutjanus","analis","Pargo","criollo,","Lutjanus analis","Pargo criollo,"
"896","Lutjanus","purpureus","Pargo","rojo","Lutjanus purpureus","Pargo rojo"
"897","Lutjanus","apodus","Pargo",NA,"Lutjanus apodus","Pargo NA"
"898","Neomerinthe","hemingwayi","Rascacio",NA,"Neomerinthe hemingwayi","Rascacio NA"
"899","Brotula","barbata","Lengua,","brotula,","Brotula barbata","Lengua, brotula,"
"900","Calamus","bajonado","Mojarron",NA,"Calamus bajonado","Mojarron NA"
"901","Calamus","nodosus","Tigre,","mojarron","Calamus nodosus","Tigre, mojarron"
"902","Calamus","proridens","Tigre,","pluma","Calamus proridens","Tigre, pluma"
"903","Calamus","spp","Plumas,","mojarrones,","Calamus spp","Plumas, mojarrones,"
"904","Caranx","hippos","Jurel","amarillo,","Caranx hippos","Jurel amarillo,"
"905","Caranx","latus","Jurel","blanco,","Caranx latus","Jurel blanco,"
"906","Cephalopholis","fulva","Cabrilla","roja","Cephalopholis fulva","Cabrilla roja"
"907","Dasyatis","americana","Raya","grande","Dasyatis americana","Raya grande"
"908","Epinephelus","adscensionis","Cabrilla,","payaso","Epinephelus adscensionis","Cabrilla, payaso"
"909","Mycteroperca","venenosa","Mero","Epinephelus","Mycteroperca venenosa","Mero Epinephelus"
"910","Lairon","Ophycthus",NA,NA,"Lairon Ophycthus","NA NA"
"911","Pomacanthus","arcuatus",NA,NA,"Pomacanthus arcuatus","NA NA"
"912","Pomacanthus","paru",NA,NA,"Pomacanthus paru","NA NA"
"913","Priacanthus","arenatus",NA,NA,"Priacanthus arenatus","NA NA"
"914","Prionotus","evolans",NA,NA,"Prionotus evolans","NA NA"
"915","Prionotus","punctatus",NA,NA,"Prionotus punctatus","NA NA"
"916","Rachycentrum","canadum",NA,NA,"Rachycentrum canadum","NA NA"
"917","Epinephelus","nigritus","Fiat",NA,"Epinephelus nigritus","Fiat NA"
"918","Epinephelus","niveatus","Cherna","pinta","Epinephelus niveatus","Cherna pinta"
"919","Euthynnus","alletteratus","Bonito",NA,"Euthynnus alletteratus","Bonito NA"
"920","Haemulon","aurolineatum","Ronco","jeniguaro","Haemulon aurolineatum","Ronco jeniguaro"
"921","Haemulon","bonariensis","Ronco","prieto","Haemulon bonariensis","Ronco prieto"
"922","Haemulon","chrysargyreum","Ronco","boquichica","Haemulon chrysargyreum","Ronco boquichica"
"923","Haemulon","flavolineatum","Ronco","condenado","Haemulon flavolineatum","Ronco condenado"
"924","Caranx","latus","Jurel","blanco","Caranx latus","Jurel blanco"
"925","Caranx","hippos","Jurel","amarillo,","Caranx hippos","Jurel amarillo,"
"926","Caranx","chrysos","Cojinuda,","cojinua","Caranx chrysos","Cojinuda, cojinua"
"927","Alectis","ciliaris","Pampano","de hebra","Alectis ciliaris","Pampano de hebra"
"928","Archosargus","probatocephalus","Sargo",NA,"Archosargus probatocephalus","Sargo NA"
"929","Archosargus","rhomboidalis","Postha",NA,"Archosargus rhomboidalis","Postha NA"
"930","Arius","felis","Bagre","o","Arius felis","Bagre o"
"931","Brotula","barbata","Lengua,","brotula,","Brotula barbata","Lengua, brotula,"
"932","Calamus","bajonado","Pluma,","mojarron","Calamus bajonado","Pluma, mojarron"
"933","Carcharhinus","brevipinna","Tiburon","aleta","Carcharhinus brevipinna","Tiburon aleta"
"934","Carcharhinus","falciformis","Tiburon","prieto","Carcharhinus falciformis","Tiburon prieto"
"935","Carcharhinus","limbatus","Tiburon","puntas","Carcharhinus limbatus","Tiburon puntas"
"936","Mugil","cephalus",NA,NA,"Mugil cephalus","NA NA"
"937","Ocyurus","chrysurus",NA,NA,"Ocyurus chrysurus","NA NA"
"938","Pogonias","cromis",NA,NA,"Pogonias cromis","NA NA"
"939","Priacanthus","arenatus",NA,NA,"Priacanthus arenatus","NA NA"
"940","Rachycentrum","canadun",NA,NA,"Rachycentrum canadun","NA NA"
"941","Raja","texana",NA,NA,"Raja texana","NA NA"
"942","Rhizoprionodon","terraenovae",NA,NA,"Rhizoprionodon terraenovae","NA NA"
"943","Sciaenops","ocellatus",NA,NA,"Sciaenops ocellatus","NA NA"
"944","Scomberomorus","maculatus",NA,NA,"Scomberomorus maculatus","NA NA"
"945","Seriola","dumerili",NA,NA,"Seriola dumerili","NA NA"
"946","Trachinotus","carolinus",NA,NA,"Trachinotus carolinus","NA NA"
"947","Trachinotus","falcatus",NA,NA,"Trachinotus falcatus","NA NA"
"948","Trichiurus","lepturus",NA,NA,"Trichiurus lepturus","NA NA"
"949","Carcharhinus","leucas","Tiburon","toro,","Carcharhinus leucas","Tiburon toro,"
"950","Conodon","nobilis","Ronco","amarillo,","Conodon nobilis","Ronco amarillo,"
"951","Cynoscion","arenarius","Trucha","blanca,","Cynoscion arenarius","Trucha blanca,"
"952","Cynoscion","nebulosus","Trucha","pinta,","Cynoscion nebulosus","Trucha pinta,"
"953","Dasyatis","americana","Raya,","latigo","Dasyatis americana","Raya, latigo"
"954","Elops","saurus","Macabi,","machete","Elops saurus","Macabi, machete"
"955","alleteratus","Cazon","Bonito","Euthynus","alleteratus Cazon","Bonito Euthynus"
"956","Haemulon","plumieri","Boquilla,","chac-chi","Haemulon plumieri","Boquilla, chac-chi"
"957","Lagocephalus","laevigatus","Conejo","blanco,","Lagocephalus laevigatus","Conejo blanco,"
"958","Lutjanus","analis","Cubera,","pargo","Lutjanus analis","Cubera, pargo"
"959","Lutjanus","campechanus","Huachinango","de","Lutjanus campechanus","Huachinango de"
"960","Lutjanus","cyanopterus","Cubera",NA,"Lutjanus cyanopterus","Cubera NA"
"961","Lutjanus","griseus","Pargo","mulato,","Lutjanus griseus","Pargo mulato,"
"962","Lutjanus","jocu","Pargo","perro,","Lutjanus jocu","Pargo perro,"
"963","Lutjanus","synagris","Villajaiba,","rubia","Lutjanus synagris","Villajaiba, rubia"
"964","Mycteroperca","microlepis","Abadejo,","negrillo","Mycteroperca microlepis","Abadejo, negrillo"
"965","Mycteroperca","venenosa","Mero","aceitero,","Mycteroperca venenosa","Mero aceitero,"
"966","Mugil","cephalus","Lisa",NA,"Mugil cephalus","Lisa NA"
