"","P_Venta","P_Menudeo","P_Destino","P_Estado","P_Punto"
"97","Precio de Venta de Langosta entera cocida en el Origen (1998-2016)","Precio de Menudeo de Langosta entera cocida (1998-2016)","Precio de Langosta entera cocida en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"98","Precio de Venta de Langosta entera cruda en el Origen (1998-2016)","Precio de Menudeo de Langosta entera cruda (1998-2016)","Precio de Langosta entera cruda en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"99","Precio de Venta de Langostino en el Origen (1998-2016)","Precio de Menudeo de Langostino (1998-2016)","Precio de Langostino en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"100","Precio de Venta de Tenazas de cangrejo en el Origen (1998-2016)","Precio de Menudeo de Tenazas de cangrejo (1998-2016)","Precio de Tenazas de cangrejo en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"101","Precio de Venta de Abulon en el Origen (1998-2016)","Precio de Menudeo de Abulon (1998-2016)","Precio de Abulon en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"102","Precio de Venta de Almeja campeche en el Origen (1998-2016)","Precio de Menudeo de Almeja campeche (1998-2016)","Precio de Almeja campeche en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"103","Precio de Venta de Almeja casco en el Origen (1998-2016)","Precio de Menudeo de Almeja casco (1998-2016)","Precio de Almeja casco en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"104","Precio de Venta de Almeja chirla en el Origen (1998-2016)","Precio de Menudeo de Almeja chirla (1998-2016)","Precio de Almeja chirla en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"105","Precio de Venta de Almeja chocolata en el Origen (1998-2016)","Precio de Menudeo de Almeja chocolata (1998-2016)","Precio de Almeja chocolata en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"106","Precio de Venta de Almeja gallo en el Origen (1998-2016)","Precio de Menudeo de Almeja gallo (1998-2016)","Precio de Almeja gallo en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"107","Precio de Venta de Almeja negra en el Origen (1998-2016)","Precio de Menudeo de Almeja negra (1998-2016)","Precio de Almeja negra en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"108","Precio de Venta de Almeja patademula en el Origen (1998-2016)","Precio de Menudeo de Almeja patademula (1998-2016)","Precio de Almeja patademula en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"109","Precio de Venta de Ancas de rana en el Origen (1998-2016)","Precio de Menudeo de Ancas de rana (1998-2016)","Precio de Ancas de rana en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"110","Precio de Venta de Calamar americano en el Origen (1998-2016)","Precio de Menudeo de Calamar americano (1998-2016)","Precio de Calamar americano en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"111","Precio de Venta de Calamar gigante en el Origen (1998-2016)","Precio de Menudeo de Calamar gigante (1998-2016)","Precio de Calamar gigante en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"112","Precio de Venta de Callo de almeja en el Origen (1998-2016)","Precio de Menudeo de Callo de almeja (1998-2016)","Precio de Callo de almeja en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"113","Precio de Venta de Callo de hacha en el Origen (1998-2016)","Precio de Menudeo de Callo de hacha (1998-2016)","Precio de Callo de hacha en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"114","Precio de Venta de Caracol en el Origen (1998-2016)","Precio de Menudeo de Caracol (1998-2016)","Precio de Caracol en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"115","Precio de Venta de Caraco lburro en el Origen (1998-2016)","Precio de Menudeo de Caraco lburro (1998-2016)","Precio de Caraco lburro en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"116","Precio de Venta de Caraco lchico en el Origen (1998-2016)","Precio de Menudeo de Caraco lchico (1998-2016)","Precio de Caraco lchico en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"117","Precio de Venta de Ostion con concha en el Origen (1998-2016)","Precio de Menudeo de Ostion con concha (1998-2016)","Precio de Ostion con concha en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"118","Precio de Venta de Pulpo con visceras en el Origen (1998-2016)","Precio de Menudeo de Pulpo con visceras (1998-2016)","Precio de Pulpo con visceras en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"119","Precio de Venta de Pulpo congelado en el Origen (1998-2016)","Precio de Menudeo de Pulpo congelado (1998-2016)","Precio de Pulpo congelado en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"120","Precio de Venta de Pulpo fresco en el Origen (1998-2016)","Precio de Menudeo de Pulpo fresco (1998-2016)","Precio de Pulpo fresco en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"121","Precio de Venta de Pulpo sin visceras en el Origen (1998-2016)","Precio de Menudeo de Pulpo sin visceras (1998-2016)","Precio de Pulpo sin visceras en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"122","Precio de Venta de Bacalao en el Origen (1998-2016)","Precio de Menudeo de Bacalao (1998-2016)","Precio de Bacalao en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"123","Precio de Venta de Bonito en el Origen (1998-2016)","Precio de Menudeo de Bonito (1998-2016)","Precio de Bonito en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"124","Precio de Venta de Calamar en el Origen (1998-2016)","Precio de Menudeo de Calamar (1998-2016)","Precio de Calamar en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"125","Precio de Venta de Curbina en el Origen (1998-2016)","Precio de Menudeo de Curbina (1998-2016)","Precio de Curbina en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"126","Precio de Venta de Cherna aleta amarilla en el Origen (1998-2016)","Precio de Menudeo de Cherna aleta amarilla (1998-2016)","Precio de Cherna aleta amarilla en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"127","Precio de Venta de Cherna aleta prieta en el Origen (1998-2016)","Precio de Menudeo de Cherna aleta prieta (1998-2016)","Precio de Cherna aleta prieta en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"128","Precio de Venta de Chucumite en el Origen (1998-2016)","Precio de Menudeo de Chucumite (1998-2016)","Precio de Chucumite en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"129","Precio de Venta de Filete de carpa en el Origen (1998-2016)","Precio de Menudeo de Filete de carpa (1998-2016)","Precio de Filete de carpa en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"130","Precio de Venta de Filete de cazonotiburon en el Origen (1998-2016)","Precio de Menudeo de Filete de cazonotiburon (1998-2016)","Precio de Filete de cazonotiburon en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"131","Precio de Venta de Filete de huachinango en el Origen (1998-2016)","Precio de Menudeo de Filete de huachinango (1998-2016)","Precio de Filete de huachinango en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"132","Precio de Venta de Filete de mero en el Origen (1998-2016)","Precio de Menudeo de Filete de mero (1998-2016)","Precio de Filete de mero en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"133","Precio de Venta de Filete de tilapia en el Origen (1998-2016)","Precio de Menudeo de Filete de tilapia (1998-2016)","Precio de Filete de tilapia en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"134","Precio de Venta de Lenguado en el Origen (1998-2016)","Precio de Menudeo de Lenguado (1998-2016)","Precio de Lenguado en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"135","Precio de Venta de Lisa en el Origen (1998-2016)","Precio de Menudeo de Lisa (1998-2016)","Precio de Lisa en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"136","Precio de Venta de Lobina en el Origen (1998-2016)","Precio de Menudeo de Lobina (1998-2016)","Precio de Lobina en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"137","Precio de Venta de Mantarraya en el Origen (1998-2016)","Precio de Menudeo de Mantarraya (1998-2016)","Precio de Mantarraya en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"138","Precio de Venta de Medregal en el Origen (1998-2016)","Precio de Menudeo de Medregal (1998-2016)","Precio de Medregal en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"139","Precio de Venta de Mojarra blanca en el Origen (1998-2016)","Precio de Menudeo de Mojarra blanca (1998-2016)","Precio de Mojarra blanca en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"140","Precio de Venta de Mojarra rayada en el Origen (1998-2016)","Precio de Menudeo de Mojarra rayada (1998-2016)","Precio de Mojarra rayada en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"141","Precio de Venta de Plateado en el Origen (1998-2016)","Precio de Menudeo de Plateado (1998-2016)","Precio de Plateado en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"142","Precio de Venta de Raya en el Origen (1998-2016)","Precio de Menudeo de Raya (1998-2016)","Precio de Raya en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"143","Precio de Venta de Robaleta en el Origen (1998-2016)","Precio de Menudeo de Robaleta (1998-2016)","Precio de Robaleta en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"144","Precio de Venta de Ronco amarillo en el Origen (1998-2016)","Precio de Menudeo de Ronco amarillo (1998-2016)","Precio de Ronco amarillo en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"145","Precio de Venta de Trucha en el Origen (1998-2016)","Precio de Menudeo de Trucha (1998-2016)","Precio de Trucha en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
