Especie,Region,Comun
Serranus psittacinus,RGI,Cabrilla falsa / Serrano rayado
Sphoeroides annulatus,RGI,Botete diana
Sphoeroides lobatus,RGI,Botete verrugoso / Botete narizon
Sphyraena sp.,RGI,
Stegastes acapulcoensis,RGI,Damisela acapulquena
Stegastes rectifraenum,RGI,Damisela / Damisela de Cortes
Sufflamen verres,RGI,Cochito naranja
Thalassoma lucasanum,RGI,Viejita arcoiris
Urobatis concentricus,RGI,Manta redonda
Urobatis sp.,RGI,
Anisotremus davidsoni,PBC,Sargo rayado
Caulolatilus princeps,PBC,Pez blanco
Chromis punctipinnis,PBC,Castaneta herrera
Embiotoca jacksoni,PBC,Mojarra negra
Girella nigricans,PBC,Chopa verde
Heterodontus francisci,PBC,Tiburon cornudo
Hypsypops rubicundus,PBC,Garibaldi
Mycteroperca xenarcha,PBC,Garropa jaspeada
Mycteroperca sp.,PBC,
Ophiodon elongatus,PBC,Molva
Oxyjulis californica,PBC,Senorita
Paralabrax clathratus,PBC,Cabrilla sargacera
Paralabrax nebulifer,PBC,Verdillo
Rhacochilus vacca,PBC,Mojarra muellera 
Rhinobatos productus,PBC,Guitarra viola
Scorpaenichthys marmoratus,PBC,Cabezon
Sebastes auriculatus,PBC,Rocote moreno
Sebastes carnatus,PBC,Rocote amarillo
Sebastes chrysomelas,PBC,Rocote mulato
Sebastes flavidus,PBC,Rocote cola amarilla
Sebastes rastrelliger,PBC,Rocote olivo
Sebastes serranoides,PBC,Rocote falsa cabrilla
Seastes sp.,PBC,
Semicossyphus pulcher,PBC,Vieja californiana
Squatina californica,PBC,Angelote del Pacifico
Stereolepis gigas,PBC,Mero pescada
Halichoeres semicinctus,PBC,Vieja puntos negros / Senorita roquera
 Mycteroperca jordani,PBC,Baya
Diadema antillarum,SAM,Erizo negro
Eucidaris tribuloides,SAM,Erizo lapiz
Holothuroidea sp.,SAM,Pepino de mar
Octopus sp.,SAM,Pulpo
Erizo sp.,SAM,Erizo
Panulirus argus,SAM,Langosta espinosa
Panulirus guttatus,SAM,Langosta
Pterois volitans,SAM,Pez leon
Stenopus hispidus,SAM,Camaron boxeador
Strombus gigas,SAM,Caracol rosado
Tripneustes esculentus,SAM,Erizo blanco
Antipathes galapagensis,RGI,Coral negro
Acanthaster planci,RGI,Corona de espinas
Arbacia stellata,RGI,Erizo negro
Asteropsis carinifera,RGI,Estrella Verde
Astrodictyum sp.,RGI,Siempre viva
Centrostephanus coronatus,RGI,Erizo corona 
Chama sp.,RGI,Catarro
Choromytilus chorus,RGI,Choro/Mejillon
Diadema mexicanum,RGI,Erizo bandeado
Echinaster (Othilia) tenuispinus,RGI,Estrella puntas negras
Echinometra vanbrunti,RGI,Erizo morado
Eucidaris thouarsii,RGI,Erizo Lapiz
Gorgonidae sp.,RGI,Corales blandos
Heliaster kubiniji,RGI,Estrella sol
Hexaplex erythrostomus,RGI,Caracol chino rosa
Hexaplex nigritus,RGI,Caracol chino negro
Hexaplex princeps,RGI,Caracol chino / Caracol chino rosado
Holothuria sp.,RGI,Pepino de mar
Hyotissa hyotis,RGI,Ostion
Isostichopus fuscus,RGI,Pepino de mar
Lejaster/Tamaria,RGI,Estrella morada 
Lobatus galeatus,RGI,Caracol amarillo
Mithrodia bradleyi,RGI,Estrella bradley
Mytilus sp.,RGI,Choro/Mejillon
Nidorellia armata,RGI,Estrella galleta
Nodipecten subnodosus,RGI,Almeja mano de leon
Octopus bimaculatus,RGI,Pulpo lunarejo
Octopus sp.,RGI,Pulpo verde
