area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,tonnes,landed_value
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1977,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,0.200117177,293.3717808
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1977,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,0.789496632,1157.402062
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1978,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,1.730479131,2536.882405
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1978,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,1248.468041,1830254.148
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1979,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,172.2918002,252579.7791
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1980,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,USA,Industrial,Landings,Reported,355.5818699,1464286.14
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1981,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,1.950825881,2859.910741
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1981,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,USA,Industrial,Landings,Reported,638.8547308,2643580.876
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1982,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,188.3224869,276080.7658
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1983,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,249.9251206,366390.2268
